,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,537.38,0.00,982.37,0.00,28.68,0.00,235.92,189.90,0.00,0.00,0.00,0.00,0.00
February,488.77,0.00,876.71,0.00,48.75,0.00,6.75,648.94,0.00,0.00,0.00,0.00,0.00
March,560.72,0.00,987.58,0.00,142.58,0.00,0.00,1980.38,0.00,0.00,0.00,0.00,0.00
April,491.03,0.00,911.11,0.00,246.48,0.00,0.00,3703.90,0.00,0.00,0.00,0.00,0.00
May,560.72,0.00,987.58,0.00,353.72,0.00,0.00,5507.54,0.00,0.00,0.00,0.00,0.00
June,536.74,0.00,950.62,0.00,360.34,0.00,0.00,5587.23,0.00,0.00,0.00,0.00,0.00
July,515.02,0.00,948.06,0.00,275.75,0.00,0.00,4085.71,0.00,0.00,0.00,0.00,0.00
August,560.72,0.00,987.58,0.00,279.81,0.00,0.00,4099.85,0.00,0.00,0.00,0.00,0.00
September,514.37,0.00,916.31,0.00,264.78,0.00,0.00,3900.44,0.00,0.00,0.00,0.00,0.00
October,537.38,0.00,982.37,0.00,183.51,0.00,0.00,2610.84,0.00,0.00,0.00,0.00,0.00
November,536.74,0.00,950.62,0.00,79.40,0.00,0.00,1075.44,0.00,0.00,0.00,0.00,0.00
December,515.02,0.00,948.06,0.00,28.18,0.00,125.34,303.56,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,6354.61,,11428.99,,2291.98,,368.01,33693.73,,,,,
Minimum of Months,488.77,0.00,876.71,0.00,28.18,0.00,0.00,189.90,0.00,0.00,0.00,0.00,0.00
Maximum of Months,560.72,0.00,987.58,0.00,360.34,0.00,235.92,5587.23,0.00,0.00,0.00,0.00,0.00
