Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.746747E+02,0.000000E+00,5.030733E-02,0.000000E+00,1.023246E+03,0.000000E+00,5.281447E-02,0.000000E+00,7.058612E+02,0.000000E+00,3.642686E-02,0.000000E+00,1.160532E+03,0.000000E+00,5.990063E-02,0.000000E+00,3.962334E+03,0.000000E+00,2.044648E-01,0.000000E+00
00:30:00,1.083256E+03,0.000000E+00,5.591422E-02,0.000000E+00,1.123986E+03,0.000000E+00,5.801661E-02,0.000000E+00,8.010139E+02,0.000000E+00,4.133610E-02,0.000000E+00,1.301706E+03,0.000000E+00,6.719029E-02,0.000000E+00,4.218627E+03,0.000000E+00,2.176833E-01,0.000000E+00
00:45:00,1.158253E+03,0.000000E+00,5.978765E-02,0.000000E+00,1.199226E+03,0.000000E+00,6.190253E-02,0.000000E+00,8.935376E+02,0.000000E+00,4.610959E-02,0.000000E+00,1.403955E+03,0.000000E+00,7.247079E-02,0.000000E+00,4.467480E+03,0.000000E+00,2.305175E-01,0.000000E+00
01:00:00,1.229235E+03,0.000000E+00,6.345373E-02,0.000000E+00,1.270631E+03,0.000000E+00,6.559045E-02,0.000000E+00,9.832282E+02,0.000000E+00,5.073677E-02,0.000000E+00,1.500243E+03,0.000000E+00,7.744348E-02,0.000000E+00,4.708764E+03,0.000000E+00,2.429607E-01,0.000000E+00
01:15:00,1.220318E+03,0.000000E+00,6.299342E-02,0.000000E+00,1.267760E+03,0.000000E+00,6.544227E-02,0.000000E+00,1.016074E+03,0.000000E+00,5.243126E-02,0.000000E+00,1.485506E+03,0.000000E+00,7.668272E-02,0.000000E+00,4.773478E+03,0.000000E+00,2.462979E-01,0.000000E+00
01:30:00,1.208414E+03,0.000000E+00,6.237876E-02,0.000000E+00,1.262530E+03,0.000000E+00,6.517214E-02,0.000000E+00,1.047932E+03,0.000000E+00,5.407467E-02,0.000000E+00,1.467399E+03,0.000000E+00,7.574777E-02,0.000000E+00,4.837354E+03,0.000000E+00,2.495911E-01,0.000000E+00
01:45:00,1.228149E+03,0.000000E+00,6.339718E-02,0.000000E+00,1.280242E+03,0.000000E+00,6.608619E-02,0.000000E+00,1.080723E+03,0.000000E+00,5.576612E-02,0.000000E+00,1.485035E+03,0.000000E+00,7.665776E-02,0.000000E+00,4.901295E+03,0.000000E+00,2.528877E-01,0.000000E+00
02:00:00,1.249808E+03,0.000000E+00,6.451506E-02,0.000000E+00,1.299162E+03,0.000000E+00,6.706261E-02,0.000000E+00,1.114831E+03,0.000000E+00,5.752556E-02,0.000000E+00,1.505433E+03,0.000000E+00,7.771048E-02,0.000000E+00,4.966466E+03,0.000000E+00,2.562482E-01,0.000000E+00
02:15:00,1.272657E+03,0.000000E+00,6.569432E-02,0.000000E+00,1.319094E+03,0.000000E+00,6.809125E-02,0.000000E+00,1.150988E+03,0.000000E+00,5.939074E-02,0.000000E+00,1.527301E+03,0.000000E+00,7.883898E-02,0.000000E+00,5.033258E+03,0.000000E+00,2.596927E-01,0.000000E+00
02:30:00,1.337036E+03,0.000000E+00,6.901731E-02,0.000000E+00,1.369555E+03,0.000000E+00,7.069573E-02,0.000000E+00,1.188998E+03,0.000000E+00,6.135148E-02,0.000000E+00,1.596502E+03,0.000000E+00,8.241078E-02,0.000000E+00,5.102200E+03,0.000000E+00,2.632484E-01,0.000000E+00
02:45:00,1.407867E+03,0.000000E+00,7.267344E-02,0.000000E+00,1.424800E+03,0.000000E+00,7.354726E-02,0.000000E+00,1.227239E+03,0.000000E+00,6.332408E-02,0.000000E+00,1.673534E+03,0.000000E+00,8.638692E-02,0.000000E+00,5.172670E+03,0.000000E+00,2.668830E-01,0.000000E+00
