Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.234836E+02,0.000000E+00,4.765722E-02,0.000000E+00,1.450140E+03,0.000000E+00,7.483332E-02,0.000000E+00,1.659660E+03,0.000000E+00,8.564595E-02,0.000000E+00,1.349121E+03,0.000000E+00,6.961956E-02,0.000000E+00,4.800938E+03,0.000000E+00,2.477137E-01,0.000000E+00
00:30:00,1.061895E+03,0.000000E+00,5.479843E-02,0.000000E+00,1.585077E+03,0.000000E+00,8.179515E-02,0.000000E+00,1.793910E+03,0.000000E+00,9.257210E-02,0.000000E+00,1.482088E+03,0.000000E+00,7.647991E-02,0.000000E+00,5.102745E+03,0.000000E+00,2.632711E-01,0.000000E+00
00:45:00,1.198851E+03,0.000000E+00,6.186439E-02,0.000000E+00,1.720197E+03,0.000000E+00,8.876641E-02,0.000000E+00,1.927955E+03,0.000000E+00,9.948774E-02,0.000000E+00,1.615752E+03,0.000000E+00,8.337618E-02,0.000000E+00,5.397866E+03,0.000000E+00,2.784814E-01,0.000000E+00
01:00:00,1.334016E+03,0.000000E+00,6.883782E-02,0.000000E+00,1.855304E+03,0.000000E+00,9.573700E-02,0.000000E+00,2.061654E+03,0.000000E+00,1.063855E-01,0.000000E+00,1.749804E+03,0.000000E+00,9.029244E-02,0.000000E+00,5.684670E+03,0.000000E+00,2.932597E-01,0.000000E+00
01:15:00,1.392821E+03,0.000000E+00,7.187184E-02,0.000000E+00,1.914664E+03,0.000000E+00,9.880010E-02,0.000000E+00,2.119397E+03,0.000000E+00,1.093651E-01,0.000000E+00,1.809612E+03,0.000000E+00,9.337873E-02,0.000000E+00,5.773816E+03,0.000000E+00,2.978441E-01,0.000000E+00
01:30:00,1.448907E+03,0.000000E+00,7.476523E-02,0.000000E+00,1.974265E+03,0.000000E+00,1.018755E-01,0.000000E+00,2.177282E+03,0.000000E+00,1.123519E-01,0.000000E+00,1.869783E+03,0.000000E+00,9.648356E-02,0.000000E+00,5.864884E+03,0.000000E+00,3.025308E-01,0.000000E+00
01:45:00,1.505442E+03,0.000000E+00,7.768104E-02,0.000000E+00,2.034034E+03,0.000000E+00,1.049594E-01,0.000000E+00,2.235247E+03,0.000000E+00,1.153427E-01,0.000000E+00,1.930227E+03,0.000000E+00,9.960236E-02,0.000000E+00,5.958418E+03,0.000000E+00,3.073514E-01,0.000000E+00
02:00:00,1.562477E+03,0.000000E+00,8.062335E-02,0.000000E+00,2.093897E+03,0.000000E+00,1.080482E-01,0.000000E+00,2.293230E+03,0.000000E+00,1.183344E-01,0.000000E+00,1.990853E+03,0.000000E+00,1.027306E-01,0.000000E+00,6.055971E+03,0.000000E+00,3.123855E-01,0.000000E+00
02:15:00,1.620962E+03,0.000000E+00,8.364087E-02,0.000000E+00,2.153991E+03,0.000000E+00,1.111489E-01,0.000000E+00,2.351377E+03,0.000000E+00,1.213346E-01,0.000000E+00,2.051786E+03,0.000000E+00,1.058746E-01,0.000000E+00,6.155749E+03,0.000000E+00,3.175438E-01,0.000000E+00
02:30:00,1.682690E+03,0.000000E+00,8.682611E-02,0.000000E+00,2.214173E+03,0.000000E+00,1.142542E-01,0.000000E+00,2.409559E+03,0.000000E+00,1.243367E-01,0.000000E+00,2.112870E+03,0.000000E+00,1.090265E-01,0.000000E+00,6.256420E+03,0.000000E+00,3.227474E-01,0.000000E+00
