Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.044873E+03,0.000000E+00,5.392785E-02,0.000000E+00,9.736297E+02,0.000000E+00,5.024382E-02,0.000000E+00,1.147007E+03,0.000000E+00,5.919101E-02,0.000000E+00,9.390123E+02,0.000000E+00,4.845748E-02,0.000000E+00,4.485667E+03,0.000000E+00,2.314621E-01,0.000000E+00
00:30:00,1.128138E+03,0.000000E+00,5.822544E-02,0.000000E+00,1.073025E+03,0.000000E+00,5.537165E-02,0.000000E+00,1.253212E+03,0.000000E+00,6.467056E-02,0.000000E+00,1.036817E+03,0.000000E+00,5.350281E-02,0.000000E+00,4.795582E+03,0.000000E+00,2.474443E-01,0.000000E+00
00:45:00,1.210688E+03,0.000000E+00,6.248605E-02,0.000000E+00,1.173236E+03,0.000000E+00,6.054163E-02,0.000000E+00,1.360284E+03,0.000000E+00,7.019483E-02,0.000000E+00,1.134996E+03,0.000000E+00,5.856766E-02,0.000000E+00,5.101128E+03,0.000000E+00,2.632004E-01,0.000000E+00
01:00:00,1.292460E+03,0.000000E+00,6.670656E-02,0.000000E+00,1.274317E+03,0.000000E+00,6.575657E-02,0.000000E+00,1.468006E+03,0.000000E+00,7.575261E-02,0.000000E+00,1.233696E+03,0.000000E+00,6.365952E-02,0.000000E+00,5.401808E+03,0.000000E+00,2.787046E-01,0.000000E+00
01:15:00,1.328731E+03,0.000000E+00,6.857844E-02,0.000000E+00,1.321235E+03,0.000000E+00,6.817784E-02,0.000000E+00,1.516678E+03,0.000000E+00,7.826424E-02,0.000000E+00,1.279102E+03,0.000000E+00,6.600274E-02,0.000000E+00,5.502000E+03,0.000000E+00,2.838708E-01,0.000000E+00
01:30:00,1.365812E+03,0.000000E+00,7.049213E-02,0.000000E+00,1.369132E+03,0.000000E+00,7.064945E-02,0.000000E+00,1.565963E+03,0.000000E+00,8.080738E-02,0.000000E+00,1.325736E+03,0.000000E+00,6.840941E-02,0.000000E+00,5.602561E+03,0.000000E+00,2.890546E-01,0.000000E+00
01:45:00,1.403671E+03,0.000000E+00,7.244595E-02,0.000000E+00,1.417925E+03,0.000000E+00,7.316727E-02,0.000000E+00,1.615772E+03,0.000000E+00,8.337748E-02,0.000000E+00,1.373415E+03,0.000000E+00,7.086985E-02,0.000000E+00,5.703344E+03,0.000000E+00,2.942493E-01,0.000000E+00
02:00:00,1.442277E+03,0.000000E+00,7.443833E-02,0.000000E+00,1.467494E+03,0.000000E+00,7.572504E-02,0.000000E+00,1.666020E+03,0.000000E+00,8.597021E-02,0.000000E+00,1.422038E+03,0.000000E+00,7.337894E-02,0.000000E+00,5.804115E+03,0.000000E+00,2.994432E-01,0.000000E+00
02:15:00,1.480558E+03,0.000000E+00,7.641392E-02,0.000000E+00,1.517765E+03,0.000000E+00,7.831907E-02,0.000000E+00,1.716725E+03,0.000000E+00,8.858649E-02,0.000000E+00,1.471568E+03,0.000000E+00,7.593475E-02,0.000000E+00,5.904571E+03,0.000000E+00,3.046206E-01,0.000000E+00
02:30:00,1.518483E+03,0.000000E+00,7.837111E-02,0.000000E+00,1.568636E+03,0.000000E+00,8.094402E-02,0.000000E+00,1.767816E+03,0.000000E+00,9.122273E-02,0.000000E+00,1.521824E+03,0.000000E+00,7.852808E-02,0.000000E+00,6.004192E+03,0.000000E+00,3.097545E-01,0.000000E+00
