,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,908.78,0.00,1551.07,0.00,62.80,0.00,800.49,0.00,0.00,0.00,0.00,0.00,0.00
February,826.56,0.00,1384.24,0.00,18.33,0.00,131.23,109.86,0.00,0.00,0.00,0.00,0.00
March,948.25,0.00,1559.29,0.00,68.07,0.00,9.81,956.25,0.00,0.00,0.00,0.00,0.00
April,830.39,0.00,1438.55,0.00,170.74,0.00,0.00,2583.32,0.00,0.00,0.00,0.00,0.00
May,948.25,0.00,1559.29,0.00,274.91,0.00,0.00,4285.49,0.00,0.00,0.00,0.00,0.00
June,907.69,0.00,1500.94,0.00,294.10,0.00,0.00,4569.42,0.00,0.00,0.00,0.00,0.00
July,870.95,0.00,1496.90,0.00,232.68,0.00,0.00,3456.59,0.00,0.00,0.00,0.00,0.00
August,948.25,0.00,1559.29,0.00,234.64,0.00,0.00,3454.25,0.00,0.00,0.00,0.00,0.00
September,869.86,0.00,1446.77,0.00,214.73,0.00,0.00,3177.77,0.00,0.00,0.00,0.00,0.00
October,908.78,0.00,1551.07,0.00,114.88,0.00,0.00,1648.00,0.00,0.00,0.00,0.00,0.00
November,907.69,0.00,1500.94,0.00,25.75,0.00,22.03,343.12,0.00,0.00,0.00,0.00,0.00
December,870.95,0.00,1496.90,0.00,42.88,0.00,560.04,5.42,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10746.42,,18045.24,,1754.50,,1523.60,24589.48,,,,,
Minimum of Months,826.56,0.00,1384.24,0.00,18.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,948.25,0.00,1559.29,0.00,294.10,0.00,800.49,4569.42,0.00,0.00,0.00,0.00,0.00
