Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.041423E+02,0.000000E+00,4.665869E-02,0.000000E+00,1.384937E+03,0.000000E+00,7.146776E-02,0.000000E+00,1.578071E+03,0.000000E+00,8.143477E-02,0.000000E+00,1.292138E+03,0.000000E+00,6.667818E-02,0.000000E+00,4.854199E+03,0.000000E+00,2.504410E-01,0.000000E+00
00:30:00,1.029808E+03,0.000000E+00,5.314204E-02,0.000000E+00,1.507179E+03,0.000000E+00,7.777445E-02,0.000000E+00,1.699291E+03,0.000000E+00,8.768850E-02,0.000000E+00,1.412692E+03,0.000000E+00,7.289793E-02,0.000000E+00,5.118424E+03,0.000000E+00,2.640528E-01,0.000000E+00
00:45:00,1.153982E+03,0.000000E+00,5.954837E-02,0.000000E+00,1.629418E+03,0.000000E+00,8.408098E-02,0.000000E+00,1.820169E+03,0.000000E+00,9.392462E-02,0.000000E+00,1.533706E+03,0.000000E+00,7.914138E-02,0.000000E+00,5.374752E+03,0.000000E+00,2.772529E-01,0.000000E+00
01:00:00,1.276385E+03,0.000000E+00,6.586310E-02,0.000000E+00,1.751489E+03,0.000000E+00,9.037875E-02,0.000000E+00,1.940584E+03,0.000000E+00,1.001368E-01,0.000000E+00,1.654895E+03,0.000000E+00,8.539378E-02,0.000000E+00,5.624572E+03,0.000000E+00,2.901079E-01,0.000000E+00
01:15:00,1.328407E+03,0.000000E+00,6.854698E-02,0.000000E+00,1.803720E+03,0.000000E+00,9.307396E-02,0.000000E+00,1.991221E+03,0.000000E+00,1.027497E-01,0.000000E+00,1.707554E+03,0.000000E+00,8.811108E-02,0.000000E+00,5.694294E+03,0.000000E+00,2.936897E-01,0.000000E+00
01:30:00,1.378765E+03,0.000000E+00,7.114476E-02,0.000000E+00,1.856167E+03,0.000000E+00,9.578008E-02,0.000000E+00,2.041986E+03,0.000000E+00,1.053690E-01,0.000000E+00,1.760534E+03,0.000000E+00,9.084479E-02,0.000000E+00,5.766114E+03,0.000000E+00,2.973877E-01,0.000000E+00
01:45:00,1.428050E+03,0.000000E+00,7.368669E-02,0.000000E+00,1.908766E+03,0.000000E+00,9.849402E-02,0.000000E+00,2.092825E+03,0.000000E+00,1.079920E-01,0.000000E+00,1.813759E+03,0.000000E+00,9.359106E-02,0.000000E+00,5.840861E+03,0.000000E+00,3.012457E-01,0.000000E+00
02:00:00,1.477631E+03,0.000000E+00,7.624405E-02,0.000000E+00,1.961456E+03,0.000000E+00,1.012126E-01,0.000000E+00,2.143686E+03,0.000000E+00,1.106162E-01,0.000000E+00,1.867153E+03,0.000000E+00,9.634605E-02,0.000000E+00,5.917098E+03,0.000000E+00,3.051934E-01,0.000000E+00
02:15:00,1.528200E+03,0.000000E+00,7.885289E-02,0.000000E+00,2.014286E+03,0.000000E+00,1.039384E-01,0.000000E+00,2.194630E+03,0.000000E+00,1.132446E-01,0.000000E+00,1.920752E+03,0.000000E+00,9.911163E-02,0.000000E+00,5.993663E+03,0.000000E+00,3.091580E-01,0.000000E+00
02:30:00,1.580801E+03,0.000000E+00,8.156699E-02,0.000000E+00,2.067236E+03,0.000000E+00,1.066706E-01,0.000000E+00,2.245645E+03,0.000000E+00,1.158769E-01,0.000000E+00,1.974529E+03,0.000000E+00,1.018864E-01,0.000000E+00,6.070605E+03,0.000000E+00,3.131374E-01,0.000000E+00
02:45:00,1.635158E+03,0.000000E+00,8.437229E-02,0.000000E+00,2.120288E+03,0.000000E+00,1.094079E-01,0.000000E+00,2.296720E+03,0.000000E+00,1.185122E-01,0.000000E+00,2.028454E+03,0.000000E+00,1.046689E-01,0.000000E+00,6.147989E+03,0.000000E+00,3.171365E-01,0.000000E+00
03:00:00,1.690236E+03,0.000000E+00,8.721477E-02,0.000000E+00,2.173404E+03,0.000000E+00,1.121487E-01,0.000000E+00,2.347826E+03,0.000000E+00,1.211492E-01,0.000000E+00,2.082487E+03,0.000000E+00,1.074569E-01,0.000000E+00,6.225803E+03,0.000000E+00,3.211559E-01,0.000000E+00
03:15:00,1.745878E+03,0.000000E+00,9.008622E-02,0.000000E+00,2.226534E+03,0.000000E+00,1.148901E-01,0.000000E+00,2.398914E+03,0.000000E+00,1.237853E-01,0.000000E+00,2.136571E+03,0.000000E+00,1.102476E-01,0.000000E+00,6.304084E+03,0.000000E+00,3.251983E-01,0.000000E+00
03:30:00,1.801919E+03,0.000000E+00,9.297811E-02,0.000000E+00,2.279620E+03,0.000000E+00,1.176293E-01,0.000000E+00,2.449932E+03,0.000000E+00,1.264177E-01,0.000000E+00,2.190643E+03,0.000000E+00,1.130377E-01,0.000000E+00,6.382770E+03,0.000000E+00,3.292609E-01,0.000000E+00
03:45:00,1.858213E+03,0.000000E+00,9.588293E-02,0.000000E+00,2.332612E+03,0.000000E+00,1.203636E-01,0.000000E+00,2.500836E+03,0.000000E+00,1.290442E-01,0.000000E+00,2.244647E+03,0.000000E+00,1.158242E-01,0.000000E+00,6.461784E+03,0.000000E+00,3.333394E-01,0.000000E+00
04:00:00,1.914665E+03,0.000000E+00,9.879583E-02,0.000000E+00,2.385487E+03,0.000000E+00,1.230917E-01,0.000000E+00,2.551608E+03,0.000000E+00,1.316638E-01,0.000000E+00,2.298556E+03,0.000000E+00,1.186057E-01,0.000000E+00,6.541091E+03,0.000000E+00,3.374321E-01,0.000000E+00
04:15:00,1.971204E+03,0.000000E+00,1.017131E-01,0.000000E+00,2.438230E+03,0.000000E+00,1.258129E-01,0.000000E+00,2.602236E+03,0.000000E+00,1.342759E-01,0.000000E+00,2.352351E+03,0.000000E+00,1.213812E-01,0.000000E+00,6.620680E+03,0.000000E+00,3.415383E-01,0.000000E+00
04:30:00,2.027769E+03,0.000000E+00,1.046315E-01,0.000000E+00,2.490824E+03,0.000000E+00,1.285264E-01,0.000000E+00,2.652706E+03,0.000000E+00,1.368796E-01,0.000000E+00,2.406011E+03,0.000000E+00,1.241497E-01,0.000000E+00,6.700524E+03,0.000000E+00,3.456568E-01,0.000000E+00
04:45:00,2.084306E+03,0.000000E+00,1.075485E-01,0.000000E+00,2.543257E+03,0.000000E+00,1.312314E-01,0.000000E+00,2.703007E+03,0.000000E+00,1.394746E-01,0.000000E+00,2.459520E+03,0.000000E+00,1.269103E-01,0.000000E+00,6.780610E+03,0.000000E+00,3.497876E-01,0.000000E+00
05:00:00,2.140772E+03,0.000000E+00,1.104617E-01,0.000000E+00,2.595514E+03,0.000000E+00,1.339273E-01,0.000000E+00,2.753129E+03,0.000000E+00,1.420604E-01,0.000000E+00,2.512862E+03,0.000000E+00,1.296623E-01,0.000000E+00,6.860913E+03,0.000000E+00,3.539297E-01,0.000000E+00
05:15:00,2.197049E+03,0.000000E+00,1.133652E-01,0.000000E+00,2.647505E+03,0.000000E+00,1.366095E-01,0.000000E+00,2.802983E+03,0.000000E+00,1.446323E-01,0.000000E+00,2.565944E+03,0.000000E+00,1.324008E-01,0.000000E+00,6.941011E+03,0.000000E+00,3.580612E-01,0.000000E+00
05:30:00,2.253101E+03,0.000000E+00,1.162570E-01,0.000000E+00,2.699218E+03,0.000000E+00,1.392774E-01,0.000000E+00,2.852559E+03,0.000000E+00,1.471898E-01,0.000000E+00,2.618751E+03,0.000000E+00,1.351251E-01,0.000000E+00,7.020874E+03,0.000000E+00,3.621808E-01,0.000000E+00
05:45:00,2.308896E+03,0.000000E+00,1.191357E-01,0.000000E+00,2.750642E+03,0.000000E+00,1.419304E-01,0.000000E+00,2.901847E+03,0.000000E+00,1.497325E-01,0.000000E+00,2.671270E+03,0.000000E+00,1.378346E-01,0.000000E+00,7.100475E+03,0.000000E+00,3.662867E-01,0.000000E+00
06:00:00,2.364407E+03,0.000000E+00,1.219996E-01,0.000000E+00,2.801766E+03,0.000000E+00,1.445679E-01,0.000000E+00,2.950837E+03,0.000000E+00,1.522599E-01,0.000000E+00,2.723489E+03,0.000000E+00,1.405286E-01,0.000000E+00,7.179785E+03,0.000000E+00,3.703776E-01,0.000000E+00
06:15:00,2.146738E+03,0.000000E+00,1.107679E-01,0.000000E+00,2.579681E+03,0.000000E+00,1.331082E-01,0.000000E+00,2.726638E+03,0.000000E+00,1.406911E-01,0.000000E+00,2.502501E+03,0.000000E+00,1.291256E-01,0.000000E+00,5.663140E+03,0.000000E+00,2.921394E-01,0.000000E+00
06:30:00,1.925514E+03,0.000000E+00,9.935504E-02,0.000000E+00,2.354016E+03,0.000000E+00,1.214661E-01,0.000000E+00,2.498885E+03,0.000000E+00,1.289412E-01,0.000000E+00,2.277936E+03,0.000000E+00,1.175403E-01,0.000000E+00,4.137685E+03,0.000000E+00,2.134529E-01,0.000000E+00
06:45:00,1.700569E+03,0.000000E+00,8.775126E-02,0.000000E+00,2.124637E+03,0.000000E+00,1.096340E-01,0.000000E+00,2.267447E+03,0.000000E+00,1.170031E-01,0.000000E+00,2.049656E+03,0.000000E+00,1.057648E-01,0.000000E+00,2.602313E+03,0.000000E+00,1.342555E-01,0.000000E+00
07:00:00,1.471811E+03,0.000000E+00,7.595163E-02,0.000000E+00,1.891452E+03,0.000000E+00,9.760689E-02,0.000000E+00,2.032234E+03,0.000000E+00,1.048718E-01,0.000000E+00,1.817569E+03,0.000000E+00,9.379419E-02,0.000000E+00,1.057126E+03,0.000000E+00,5.455229E-02,0.000000E+00
07:15:00,1.511997E+03,0.000000E+00,7.802965E-02,0.000000E+00,1.927260E+03,0.000000E+00,9.946040E-02,0.000000E+00,2.066033E+03,0.000000E+00,1.066221E-01,0.000000E+00,1.854470E+03,0.000000E+00,9.570385E-02,0.000000E+00,1.098113E+03,0.000000E+00,5.667398E-02,0.000000E+00
07:30:00,1.547161E+03,0.000000E+00,7.984700E-02,0.000000E+00,1.956408E+03,0.000000E+00,1.009687E-01,0.000000E+00,2.096459E+03,0.000000E+00,1.081969E-01,0.000000E+00,1.887884E+03,0.000000E+00,9.743207E-02,0.000000E+00,1.137740E+03,0.000000E+00,5.871989E-02,0.000000E+00
07:45:00,1.563180E+03,0.000000E+00,8.067574E-02,0.000000E+00,1.955319E+03,0.000000E+00,1.009154E-01,0.000000E+00,2.121842E+03,0.000000E+00,1.095102E-01,0.000000E+00,1.916143E+03,0.000000E+00,9.889329E-02,0.000000E+00,1.176828E+03,0.000000E+00,6.073786E-02,0.000000E+00
08:00:00,1.554618E+03,0.000000E+00,8.023543E-02,0.000000E+00,1.921233E+03,0.000000E+00,9.915825E-02,0.000000E+00,2.140313E+03,0.000000E+00,1.104658E-01,0.000000E+00,1.937382E+03,0.000000E+00,9.999154E-02,0.000000E+00,1.213780E+03,0.000000E+00,6.264552E-02,0.000000E+00
08:15:00,1.519139E+03,1.943063E+03,7.840552E-02,1.316770E-01,1.855737E+03,2.091748E+03,9.577926E-02,1.381490E-01,2.150621E+03,2.020953E+03,1.109994E-01,1.361102E-01,1.950523E+03,2.136029E+03,1.006712E-01,1.448993E-01,1.247460E+03,3.861788E+03,6.438428E-02,2.998921E-01
08:30:00,1.457987E+03,4.936621E+03,7.525032E-02,4.214245E-01,1.762595E+03,5.508125E+03,9.097294E-02,4.676631E-01,2.154172E+03,5.115985E+03,1.111837E-01,4.352041E-01,1.957319E+03,5.113813E+03,1.010231E-01,4.317241E-01,1.277779E+03,1.011862E+04,6.594953E-02,9.016604E-01
08:45:00,1.382541E+03,7.530419E+03,7.135701E-02,6.746073E-01,1.661349E+03,8.486040E+03,8.574794E-02,7.577833E-01,2.153165E+03,7.786154E+03,1.111325E-01,6.956259E-01,1.960163E+03,7.704106E+03,1.011706E-01,6.839058E-01,1.304714E+03,1.551450E+04,6.734003E-02,1.427262E+00
09:00:00,1.297265E+03,9.978852E+03,6.695611E-02,9.141424E-01,1.557489E+03,1.132005E+04,8.038777E-02,1.034773E+00,2.149572E+03,1.029422E+04,1.109475E-01,9.409024E-01,1.960951E+03,1.015995E+04,1.012117E-01,9.239004E-01,1.329204E+03,2.058237E+04,6.860435E-02,1.922900E+00
09:15:00,1.192727E+03,1.037808E+04,6.156088E-02,1.011838E+00,1.442220E+03,1.195655E+04,7.443854E-02,1.163666E+00,2.135426E+03,1.065933E+04,1.102177E-01,1.038413E+00,1.951196E+03,1.038382E+04,1.007086E-01,1.009992E+00,1.351229E+03,2.152690E+04,6.974142E-02,2.093676E+00
09:30:00,1.069938E+03,9.650671E+03,5.522349E-02,9.440969E-01,1.319434E+03,1.119189E+04,6.810118E-02,1.093873E+00,2.111197E+03,9.861217E+03,1.089673E-01,9.643243E-01,1.930850E+03,9.700538E+03,9.965873E-02,9.479093E-01,1.369370E+03,1.987601E+04,7.067797E-02,1.943134E+00
