Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.061178E+03,0.000000E+00,1.063652E-01,0.000000E+00,2.494546E+03,0.000000E+00,1.287290E-01,0.000000E+00,2.682024E+03,0.000000E+00,1.384036E-01,0.000000E+00,2.436503E+03,0.000000E+00,1.257337E-01,0.000000E+00,6.325481E+03,0.000000E+00,3.263927E-01,0.000000E+00
00:30:00,2.175420E+03,0.000000E+00,1.122584E-01,0.000000E+00,2.603811E+03,0.000000E+00,1.343651E-01,0.000000E+00,2.787782E+03,0.000000E+00,1.438586E-01,0.000000E+00,2.546069E+03,0.000000E+00,1.313854E-01,0.000000E+00,6.586580E+03,0.000000E+00,3.398559E-01,0.000000E+00
00:45:00,2.288708E+03,0.000000E+00,1.181024E-01,0.000000E+00,2.712154E+03,0.000000E+00,1.399536E-01,0.000000E+00,2.892634E+03,0.000000E+00,1.492669E-01,0.000000E+00,2.654728E+03,0.000000E+00,1.369903E-01,0.000000E+00,6.841614E+03,0.000000E+00,3.530060E-01,0.000000E+00
01:00:00,2.400975E+03,0.000000E+00,1.238937E-01,0.000000E+00,2.819517E+03,0.000000E+00,1.454916E-01,0.000000E+00,2.996523E+03,0.000000E+00,1.546253E-01,0.000000E+00,2.762422E+03,0.000000E+00,1.425453E-01,0.000000E+00,7.090541E+03,0.000000E+00,3.658406E-01,0.000000E+00
01:15:00,2.444885E+03,0.000000E+00,1.261594E-01,0.000000E+00,2.858989E+03,0.000000E+00,1.475283E-01,0.000000E+00,3.033479E+03,0.000000E+00,1.565321E-01,0.000000E+00,2.802540E+03,0.000000E+00,1.446153E-01,0.000000E+00,7.155858E+03,0.000000E+00,3.692093E-01,0.000000E+00
01:30:00,2.488659E+03,0.000000E+00,1.284179E-01,0.000000E+00,2.898386E+03,0.000000E+00,1.495608E-01,0.000000E+00,3.070386E+03,0.000000E+00,1.584361E-01,0.000000E+00,2.842598E+03,0.000000E+00,1.466820E-01,0.000000E+00,7.221409E+03,0.000000E+00,3.725889E-01,0.000000E+00
01:45:00,2.532273E+03,0.000000E+00,1.306680E-01,0.000000E+00,2.937692E+03,0.000000E+00,1.515885E-01,0.000000E+00,3.107229E+03,0.000000E+00,1.603367E-01,0.000000E+00,2.882577E+03,0.000000E+00,1.487445E-01,0.000000E+00,7.287189E+03,0.000000E+00,3.759805E-01,0.000000E+00
02:00:00,2.575696E+03,0.000000E+00,1.329082E-01,0.000000E+00,2.976882E+03,0.000000E+00,1.536103E-01,0.000000E+00,3.143981E+03,0.000000E+00,1.622326E-01,0.000000E+00,2.922450E+03,0.000000E+00,1.508015E-01,0.000000E+00,7.353160E+03,0.000000E+00,3.793824E-01,0.000000E+00
02:15:00,2.619085E+03,0.000000E+00,1.351467E-01,0.000000E+00,3.016124E+03,0.000000E+00,1.556348E-01,0.000000E+00,3.180806E+03,0.000000E+00,1.641324E-01,0.000000E+00,2.962381E+03,0.000000E+00,1.528615E-01,0.000000E+00,7.419269E+03,0.000000E+00,3.827920E-01,0.000000E+00
02:30:00,2.662417E+03,0.000000E+00,1.373824E-01,0.000000E+00,3.055403E+03,0.000000E+00,1.576614E-01,0.000000E+00,3.217687E+03,0.000000E+00,1.660351E-01,0.000000E+00,3.002352E+03,0.000000E+00,1.549239E-01,0.000000E+00,7.485485E+03,0.000000E+00,3.862076E-01,0.000000E+00
