Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.142853E+02,0.000000E+00,3.170129E-02,0.000000E+00,9.471251E+02,0.000000E+00,4.887271E-02,0.000000E+00,1.084050E+03,0.000000E+00,5.593999E-02,0.000000E+00,9.243450E+02,0.000000E+00,4.769730E-02,0.000000E+00,4.842136E+03,0.000000E+00,2.497979E-01,0.000000E+00
00:30:00,7.004368E+02,0.000000E+00,3.614633E-02,0.000000E+00,1.021968E+03,0.000000E+00,5.273347E-02,0.000000E+00,1.163473E+03,0.000000E+00,6.003722E-02,0.000000E+00,9.973372E+02,0.000000E+00,5.146211E-02,0.000000E+00,5.068966E+03,0.000000E+00,2.614826E-01,0.000000E+00
00:45:00,7.861982E+02,0.000000E+00,4.057116E-02,0.000000E+00,1.097331E+03,0.000000E+00,5.662116E-02,0.000000E+00,1.242800E+03,0.000000E+00,6.412952E-02,0.000000E+00,1.070347E+03,0.000000E+00,5.522797E-02,0.000000E+00,5.289151E+03,0.000000E+00,2.728234E-01,0.000000E+00
01:00:00,8.714186E+02,0.000000E+00,4.496797E-02,0.000000E+00,1.173531E+03,0.000000E+00,6.055226E-02,0.000000E+00,1.321928E+03,0.000000E+00,6.821149E-02,0.000000E+00,1.143425E+03,0.000000E+00,5.899750E-02,0.000000E+00,5.502602E+03,0.000000E+00,2.838156E-01,0.000000E+00
01:15:00,9.067542E+02,0.000000E+00,4.679108E-02,0.000000E+00,1.204561E+03,0.000000E+00,6.215352E-02,0.000000E+00,1.353720E+03,0.000000E+00,6.985193E-02,0.000000E+00,1.173650E+03,0.000000E+00,6.055753E-02,0.000000E+00,5.551101E+03,0.000000E+00,2.863115E-01,0.000000E+00
01:30:00,9.421685E+02,0.000000E+00,4.861813E-02,0.000000E+00,1.236138E+03,0.000000E+00,6.378291E-02,0.000000E+00,1.385874E+03,0.000000E+00,7.151092E-02,0.000000E+00,1.204510E+03,0.000000E+00,6.215003E-02,0.000000E+00,5.599729E+03,0.000000E+00,2.888118E-01,0.000000E+00
01:45:00,9.775707E+02,0.000000E+00,5.044449E-02,0.000000E+00,1.268238E+03,0.000000E+00,6.543913E-02,0.000000E+00,1.418346E+03,0.000000E+00,7.318625E-02,0.000000E+00,1.235949E+03,0.000000E+00,6.377223E-02,0.000000E+00,5.648411E+03,0.000000E+00,2.913148E-01,0.000000E+00
02:00:00,1.012863E+03,0.000000E+00,5.226513E-02,0.000000E+00,1.300800E+03,0.000000E+00,6.711927E-02,0.000000E+00,1.451090E+03,0.000000E+00,7.487560E-02,0.000000E+00,1.267922E+03,0.000000E+00,6.542201E-02,0.000000E+00,5.697095E+03,0.000000E+00,2.938176E-01,0.000000E+00
02:15:00,1.047992E+03,0.000000E+00,5.407727E-02,0.000000E+00,1.333795E+03,0.000000E+00,6.882177E-02,0.000000E+00,1.484127E+03,0.000000E+00,7.658012E-02,0.000000E+00,1.300460E+03,0.000000E+00,6.710097E-02,0.000000E+00,5.745700E+03,0.000000E+00,2.963159E-01,0.000000E+00
02:30:00,1.082873E+03,0.000000E+00,5.587655E-02,0.000000E+00,1.367172E+03,0.000000E+00,7.054396E-02,0.000000E+00,1.517418E+03,0.000000E+00,7.829780E-02,0.000000E+00,1.333447E+03,0.000000E+00,6.880316E-02,0.000000E+00,5.794147E+03,0.000000E+00,2.988052E-01,0.000000E+00
