Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.433274E+03,0.000000E+00,7.396186E-02,0.000000E+00,1.736112E+03,0.000000E+00,8.958951E-02,0.000000E+00,1.892496E+03,0.000000E+00,9.765963E-02,0.000000E+00,1.711211E+03,0.000000E+00,8.830447E-02,0.000000E+00,5.364798E+03,0.000000E+00,2.768057E-01,0.000000E+00
00:30:00,1.509628E+03,0.000000E+00,7.790036E-02,0.000000E+00,1.811179E+03,0.000000E+00,9.346138E-02,0.000000E+00,1.965793E+03,0.000000E+00,1.014401E-01,0.000000E+00,1.785434E+03,0.000000E+00,9.213282E-02,0.000000E+00,5.591234E+03,0.000000E+00,2.884790E-01,0.000000E+00
00:45:00,1.585281E+03,0.000000E+00,8.180267E-02,0.000000E+00,1.885521E+03,0.000000E+00,9.729584E-02,0.000000E+00,2.038365E+03,0.000000E+00,1.051831E-01,0.000000E+00,1.858970E+03,0.000000E+00,9.592575E-02,0.000000E+00,5.810907E+03,0.000000E+00,2.998031E-01,0.000000E+00
01:00:00,1.660198E+03,0.000000E+00,8.566694E-02,0.000000E+00,1.959109E+03,0.000000E+00,1.010914E-01,0.000000E+00,2.110184E+03,0.000000E+00,1.088872E-01,0.000000E+00,1.931788E+03,0.000000E+00,9.968154E-02,0.000000E+00,6.023797E+03,0.000000E+00,3.107769E-01,0.000000E+00
01:15:00,1.687591E+03,0.000000E+00,8.708031E-02,0.000000E+00,1.984935E+03,0.000000E+00,1.024239E-01,0.000000E+00,2.134766E+03,0.000000E+00,1.101555E-01,0.000000E+00,1.957462E+03,0.000000E+00,1.010062E-01,0.000000E+00,6.070731E+03,0.000000E+00,3.131967E-01,0.000000E+00
01:30:00,1.715116E+03,0.000000E+00,8.850031E-02,0.000000E+00,2.010886E+03,0.000000E+00,1.037626E-01,0.000000E+00,2.159476E+03,0.000000E+00,1.114302E-01,0.000000E+00,1.983292E+03,0.000000E+00,1.023387E-01,0.000000E+00,6.117792E+03,0.000000E+00,3.156219E-01,0.000000E+00
01:45:00,1.742752E+03,0.000000E+00,8.992594E-02,0.000000E+00,2.036944E+03,0.000000E+00,1.051068E-01,0.000000E+00,2.184298E+03,0.000000E+00,1.127106E-01,0.000000E+00,2.009260E+03,0.000000E+00,1.036782E-01,0.000000E+00,6.165002E+03,0.000000E+00,3.180550E-01,0.000000E+00
02:00:00,1.770472E+03,0.000000E+00,9.135592E-02,0.000000E+00,2.063089E+03,0.000000E+00,1.064555E-01,0.000000E+00,2.209210E+03,0.000000E+00,1.139956E-01,0.000000E+00,2.035340E+03,0.000000E+00,1.050236E-01,0.000000E+00,6.212344E+03,0.000000E+00,3.204956E-01,0.000000E+00
02:15:00,1.798315E+03,0.000000E+00,9.279236E-02,0.000000E+00,2.089367E+03,0.000000E+00,1.078111E-01,0.000000E+00,2.234258E+03,0.000000E+00,1.152878E-01,0.000000E+00,2.061576E+03,0.000000E+00,1.063771E-01,0.000000E+00,6.259791E+03,0.000000E+00,3.229420E-01,0.000000E+00
02:30:00,1.826259E+03,0.000000E+00,9.423405E-02,0.000000E+00,2.115757E+03,0.000000E+00,1.091727E-01,0.000000E+00,2.259421E+03,0.000000E+00,1.165860E-01,0.000000E+00,2.087945E+03,0.000000E+00,1.077375E-01,0.000000E+00,6.307331E+03,0.000000E+00,3.253938E-01,0.000000E+00
02:45:00,1.854281E+03,0.000000E+00,9.567976E-02,0.000000E+00,2.142242E+03,0.000000E+00,1.105392E-01,0.000000E+00,2.284681E+03,0.000000E+00,1.178892E-01,0.000000E+00,2.114428E+03,0.000000E+00,1.091039E-01,0.000000E+00,6.354942E+03,0.000000E+00,3.278494E-01,0.000000E+00
03:00:00,1.882360E+03,0.000000E+00,9.712846E-02,0.000000E+00,2.168806E+03,0.000000E+00,1.119097E-01,0.000000E+00,2.310022E+03,0.000000E+00,1.191967E-01,0.000000E+00,2.141006E+03,0.000000E+00,1.104752E-01,0.000000E+00,6.402620E+03,0.000000E+00,3.303084E-01,0.000000E+00
03:15:00,1.910442E+03,0.000000E+00,9.857733E-02,0.000000E+00,2.195399E+03,0.000000E+00,1.132818E-01,0.000000E+00,2.335393E+03,0.000000E+00,1.205057E-01,0.000000E+00,2.167627E+03,0.000000E+00,1.118487E-01,0.000000E+00,6.450342E+03,0.000000E+00,3.327697E-01,0.000000E+00
03:30:00,1.938513E+03,0.000000E+00,1.000256E-01,0.000000E+00,2.222009E+03,0.000000E+00,1.146548E-01,0.000000E+00,2.360784E+03,0.000000E+00,1.218158E-01,0.000000E+00,2.194280E+03,0.000000E+00,1.132239E-01,0.000000E+00,6.498106E+03,0.000000E+00,3.352331E-01,0.000000E+00
03:45:00,1.966560E+03,0.000000E+00,1.014727E-01,0.000000E+00,2.248631E+03,0.000000E+00,1.160282E-01,0.000000E+00,2.386188E+03,0.000000E+00,1.231264E-01,0.000000E+00,2.220955E+03,0.000000E+00,1.146001E-01,0.000000E+00,6.545900E+03,0.000000E+00,3.376976E-01,0.000000E+00
04:00:00,1.994574E+03,0.000000E+00,1.029178E-01,0.000000E+00,2.275258E+03,0.000000E+00,1.174019E-01,0.000000E+00,2.411599E+03,0.000000E+00,1.244373E-01,0.000000E+00,2.247647E+03,0.000000E+00,1.159771E-01,0.000000E+00,6.593726E+03,0.000000E+00,3.401631E-01,0.000000E+00
04:15:00,2.022548E+03,0.000000E+00,1.043609E-01,0.000000E+00,2.301891E+03,0.000000E+00,1.187758E-01,0.000000E+00,2.437018E+03,0.000000E+00,1.257485E-01,0.000000E+00,2.274354E+03,0.000000E+00,1.173548E-01,0.000000E+00,6.641603E+03,0.000000E+00,3.426306E-01,0.000000E+00
04:30:00,2.050473E+03,0.000000E+00,1.058013E-01,0.000000E+00,2.328527E+03,0.000000E+00,1.201497E-01,0.000000E+00,2.462442E+03,0.000000E+00,1.270598E-01,0.000000E+00,2.301075E+03,0.000000E+00,1.187331E-01,0.000000E+00,6.689534E+03,0.000000E+00,3.451003E-01,0.000000E+00
