Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.021585E+03,0.000000E+00,1.043218E-01,0.000000E+00,2.447551E+03,0.000000E+00,1.263036E-01,0.000000E+00,2.631206E+03,0.000000E+00,1.357809E-01,0.000000E+00,2.390565E+03,0.000000E+00,1.233628E-01,0.000000E+00,6.190981E+03,0.000000E+00,3.194510E-01,0.000000E+00
00:30:00,2.133682E+03,0.000000E+00,1.101044E-01,0.000000E+00,2.554753E+03,0.000000E+00,1.318333E-01,0.000000E+00,2.734971E+03,0.000000E+00,1.411331E-01,0.000000E+00,2.498065E+03,0.000000E+00,1.289079E-01,0.000000E+00,6.446971E+03,0.000000E+00,3.326505E-01,0.000000E+00
00:45:00,2.244819E+03,0.000000E+00,1.158374E-01,0.000000E+00,2.661024E+03,0.000000E+00,1.373149E-01,0.000000E+00,2.837820E+03,0.000000E+00,1.464380E-01,0.000000E+00,2.604650E+03,0.000000E+00,1.344058E-01,0.000000E+00,6.696789E+03,0.000000E+00,3.455314E-01,0.000000E+00
01:00:00,2.354932E+03,0.000000E+00,1.215175E-01,0.000000E+00,2.766309E+03,0.000000E+00,1.427456E-01,0.000000E+00,2.939699E+03,0.000000E+00,1.516928E-01,0.000000E+00,2.710261E+03,0.000000E+00,1.398534E-01,0.000000E+00,6.940395E+03,0.000000E+00,3.580914E-01,0.000000E+00
01:15:00,2.397822E+03,0.000000E+00,1.237306E-01,0.000000E+00,2.804835E+03,0.000000E+00,1.447335E-01,0.000000E+00,2.975755E+03,0.000000E+00,1.535532E-01,0.000000E+00,2.749420E+03,0.000000E+00,1.418739E-01,0.000000E+00,7.002964E+03,0.000000E+00,3.613183E-01,0.000000E+00
01:30:00,2.440582E+03,0.000000E+00,1.259367E-01,0.000000E+00,2.843289E+03,0.000000E+00,1.467173E-01,0.000000E+00,3.011766E+03,0.000000E+00,1.554109E-01,0.000000E+00,2.788523E+03,0.000000E+00,1.438912E-01,0.000000E+00,7.065746E+03,0.000000E+00,3.645549E-01,0.000000E+00
01:45:00,2.483190E+03,0.000000E+00,1.281348E-01,0.000000E+00,2.881657E+03,0.000000E+00,1.486966E-01,0.000000E+00,3.047717E+03,0.000000E+00,1.572655E-01,0.000000E+00,2.827549E+03,0.000000E+00,1.459046E-01,0.000000E+00,7.128742E+03,0.000000E+00,3.678029E-01,0.000000E+00
02:00:00,2.525615E+03,0.000000E+00,1.303236E-01,0.000000E+00,2.919914E+03,0.000000E+00,1.506703E-01,0.000000E+00,3.083584E+03,0.000000E+00,1.591157E-01,0.000000E+00,2.866474E+03,0.000000E+00,1.479127E-01,0.000000E+00,7.191917E+03,0.000000E+00,3.710605E-01,0.000000E+00
02:15:00,2.568011E+03,0.000000E+00,1.325108E-01,0.000000E+00,2.958224E+03,0.000000E+00,1.526467E-01,0.000000E+00,3.119526E+03,0.000000E+00,1.609699E-01,0.000000E+00,2.905458E+03,0.000000E+00,1.499239E-01,0.000000E+00,7.255221E+03,0.000000E+00,3.743254E-01,0.000000E+00
02:30:00,2.610355E+03,0.000000E+00,1.346956E-01,0.000000E+00,2.996572E+03,0.000000E+00,1.546252E-01,0.000000E+00,3.155527E+03,0.000000E+00,1.628273E-01,0.000000E+00,2.944484E+03,0.000000E+00,1.519374E-01,0.000000E+00,7.318627E+03,0.000000E+00,3.775960E-01,0.000000E+00
