Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.632725E+00,0.000000E+00,4.455697E-04,0.000000E+00,2.757562E+02,0.000000E+00,1.423197E-02,0.000000E+00,1.328570E+01,0.000000E+00,6.857243E-04,0.000000E+00,1.800343E+03,0.000000E+00,9.291133E-02,0.000000E+00
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.189060E+01,0.000000E+00,1.129857E-03,0.000000E+00,3.392211E+02,0.000000E+00,1.750704E-02,0.000000E+00,3.065638E+01,0.000000E+00,1.582283E-03,0.000000E+00,1.976724E+03,0.000000E+00,1.020106E-01,0.000000E+00
00:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.939919E+01,0.000000E+00,2.033533E-03,0.000000E+00,3.962628E+02,0.000000E+00,2.045056E-02,0.000000E+00,5.241584E+01,0.000000E+00,2.705355E-03,0.000000E+00,2.125338E+03,0.000000E+00,1.096767E-01,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.171946E+01,0.000000E+00,3.185549E-03,0.000000E+00,4.460242E+02,0.000000E+00,2.301829E-02,0.000000E+00,7.883289E+01,0.000000E+00,4.068811E-03,0.000000E+00,2.246103E+03,0.000000E+00,1.159055E-01,0.000000E+00
01:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.448061E+01,0.000000E+00,4.360299E-03,0.000000E+00,4.608201E+02,0.000000E+00,2.378169E-02,0.000000E+00,1.009109E+02,0.000000E+00,5.208288E-03,0.000000E+00,2.260305E+03,0.000000E+00,1.166373E-01,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.117896E+02,0.000000E+00,5.769748E-03,0.000000E+00,4.797772E+02,0.000000E+00,2.475979E-02,0.000000E+00,1.278897E+02,0.000000E+00,6.600685E-03,0.000000E+00,2.279487E+03,0.000000E+00,1.176261E-01,0.000000E+00
01:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.439657E+02,0.000000E+00,7.430358E-03,0.000000E+00,5.028510E+02,0.000000E+00,2.595027E-02,0.000000E+00,1.595272E+02,0.000000E+00,8.233482E-03,0.000000E+00,2.303498E+03,0.000000E+00,1.188639E-01,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.803680E+02,0.000000E+00,9.309046E-03,0.000000E+00,5.299885E+02,0.000000E+00,2.735039E-02,0.000000E+00,1.954835E+02,0.000000E+00,1.008913E-02,0.000000E+00,2.332243E+03,0.000000E+00,1.203459E-01,0.000000E+00
02:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.198002E+02,0.000000E+00,1.134404E-02,0.000000E+00,5.600605E+02,0.000000E+00,2.890185E-02,0.000000E+00,2.345398E+02,0.000000E+00,1.210471E-02,0.000000E+00,2.379967E+03,0.000000E+00,1.228070E-01,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.620969E+02,0.000000E+00,1.352679E-02,0.000000E+00,5.929232E+02,0.000000E+00,3.059722E-02,0.000000E+00,2.765945E+02,0.000000E+00,1.427495E-02,0.000000E+00,2.446714E+03,0.000000E+00,1.262494E-01,0.000000E+00
