Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.206178E+02,0.000000E+00,3.202800E-02,0.000000E+00,9.455669E+02,0.000000E+00,4.879195E-02,0.000000E+00,1.080587E+03,0.000000E+00,5.576113E-02,0.000000E+00,9.234859E+02,0.000000E+00,4.765275E-02,0.000000E+00,4.850485E+03,0.000000E+00,2.502228E-01,0.000000E+00
00:30:00,7.050375E+02,0.000000E+00,3.638364E-02,0.000000E+00,1.019143E+03,0.000000E+00,5.258735E-02,0.000000E+00,1.158495E+03,0.000000E+00,5.978021E-02,0.000000E+00,9.951463E+02,0.000000E+00,5.134882E-02,0.000000E+00,5.074962E+03,0.000000E+00,2.617854E-01,0.000000E+00
00:45:00,7.890419E+02,0.000000E+00,4.071777E-02,0.000000E+00,1.093259E+03,0.000000E+00,5.641073E-02,0.000000E+00,1.236262E+03,0.000000E+00,6.379195E-02,0.000000E+00,1.066806E+03,0.000000E+00,5.504504E-02,0.000000E+00,5.292724E+03,0.000000E+00,2.730005E-01,0.000000E+00
01:00:00,8.724791E+02,0.000000E+00,4.502254E-02,0.000000E+00,1.168019E+03,0.000000E+00,6.026761E-02,0.000000E+00,1.313787E+03,0.000000E+00,6.779119E-02,0.000000E+00,1.138522E+03,0.000000E+00,5.874424E-02,0.000000E+00,5.503696E+03,0.000000E+00,2.838642E-01,0.000000E+00
01:15:00,9.068074E+02,0.000000E+00,4.679366E-02,0.000000E+00,1.198170E+03,0.000000E+00,6.182349E-02,0.000000E+00,1.344655E+03,0.000000E+00,6.938393E-02,0.000000E+00,1.167902E+03,0.000000E+00,6.026066E-02,0.000000E+00,5.550778E+03,0.000000E+00,2.862868E-01,0.000000E+00
01:30:00,9.412138E+02,0.000000E+00,4.856869E-02,0.000000E+00,1.228846E+03,0.000000E+00,6.340634E-02,0.000000E+00,1.375871E+03,0.000000E+00,7.099452E-02,0.000000E+00,1.197890E+03,0.000000E+00,6.180810E-02,0.000000E+00,5.597973E+03,0.000000E+00,2.887132E-01,0.000000E+00
01:45:00,9.756121E+02,0.000000E+00,5.034323E-02,0.000000E+00,1.260024E+03,0.000000E+00,6.501501E-02,0.000000E+00,1.407394E+03,0.000000E+00,7.262088E-02,0.000000E+00,1.228430E+03,0.000000E+00,6.338399E-02,0.000000E+00,5.645222E+03,0.000000E+00,2.911421E-01,0.000000E+00
02:00:00,1.009910E+03,0.000000E+00,5.211251E-02,0.000000E+00,1.291648E+03,0.000000E+00,6.664672E-02,0.000000E+00,1.439180E+03,0.000000E+00,7.426079E-02,0.000000E+00,1.259485E+03,0.000000E+00,6.498635E-02,0.000000E+00,5.692481E+03,0.000000E+00,2.935714E-01,0.000000E+00
02:15:00,1.044060E+03,0.000000E+00,5.387414E-02,0.000000E+00,1.323690E+03,0.000000E+00,6.830001E-02,0.000000E+00,1.471250E+03,0.000000E+00,7.591540E-02,0.000000E+00,1.291085E+03,0.000000E+00,6.661693E-02,0.000000E+00,5.739682E+03,0.000000E+00,2.959972E-01,0.000000E+00
02:30:00,1.077954E+03,0.000000E+00,5.562250E-02,0.000000E+00,1.356100E+03,0.000000E+00,6.997237E-02,0.000000E+00,1.503566E+03,0.000000E+00,7.758278E-02,0.000000E+00,1.323119E+03,0.000000E+00,6.826994E-02,0.000000E+00,5.786761E+03,0.000000E+00,2.984162E-01,0.000000E+00
02:45:00,1.111675E+03,0.000000E+00,5.736187E-02,0.000000E+00,1.388834E+03,0.000000E+00,7.166143E-02,0.000000E+00,1.536094E+03,0.000000E+00,7.926110E-02,0.000000E+00,1.355536E+03,0.000000E+00,6.994270E-02,0.000000E+00,5.833642E+03,0.000000E+00,3.008231E-01,0.000000E+00
03:00:00,1.145194E+03,0.000000E+00,5.909082E-02,0.000000E+00,1.421851E+03,0.000000E+00,7.336506E-02,0.000000E+00,1.568802E+03,0.000000E+00,8.094873E-02,0.000000E+00,1.388289E+03,0.000000E+00,7.163277E-02,0.000000E+00,5.880217E+03,0.000000E+00,3.032115E-01,0.000000E+00
03:15:00,1.178499E+03,0.000000E+00,6.080877E-02,0.000000E+00,1.455078E+03,0.000000E+00,7.507955E-02,0.000000E+00,1.601628E+03,0.000000E+00,8.264245E-02,0.000000E+00,1.421300E+03,0.000000E+00,7.333618E-02,0.000000E+00,5.926298E+03,0.000000E+00,3.055706E-01,0.000000E+00
03:30:00,1.211582E+03,0.000000E+00,6.251520E-02,0.000000E+00,1.488482E+03,0.000000E+00,7.680319E-02,0.000000E+00,1.634548E+03,0.000000E+00,8.434102E-02,0.000000E+00,1.454533E+03,0.000000E+00,7.505098E-02,0.000000E+00,5.971946E+03,0.000000E+00,3.079007E-01,0.000000E+00
03:45:00,1.244213E+03,0.000000E+00,6.419826E-02,0.000000E+00,1.522035E+03,0.000000E+00,7.853444E-02,0.000000E+00,1.667541E+03,0.000000E+00,8.604334E-02,0.000000E+00,1.487952E+03,0.000000E+00,7.677538E-02,0.000000E+00,6.017652E+03,0.000000E+00,3.102264E-01,0.000000E+00
04:00:00,1.276205E+03,0.000000E+00,6.584815E-02,0.000000E+00,1.555713E+03,0.000000E+00,8.027205E-02,0.000000E+00,1.700591E+03,0.000000E+00,8.774851E-02,0.000000E+00,1.521532E+03,0.000000E+00,7.850794E-02,0.000000E+00,6.064793E+03,0.000000E+00,3.126257E-01,0.000000E+00
04:15:00,1.306955E+03,0.000000E+00,6.743357E-02,0.000000E+00,1.589499E+03,0.000000E+00,8.201517E-02,0.000000E+00,1.733687E+03,0.000000E+00,8.945594E-02,0.000000E+00,1.555251E+03,0.000000E+00,8.024761E-02,0.000000E+00,6.114069E+03,0.000000E+00,3.151534E-01,0.000000E+00
04:30:00,1.337497E+03,0.000000E+00,6.900753E-02,0.000000E+00,1.623376E+03,0.000000E+00,8.376285E-02,0.000000E+00,1.766814E+03,0.000000E+00,9.116488E-02,0.000000E+00,1.589088E+03,0.000000E+00,8.199332E-02,0.000000E+00,6.165068E+03,0.000000E+00,3.177945E-01,0.000000E+00
04:45:00,1.368304E+03,0.000000E+00,7.059575E-02,0.000000E+00,1.657327E+03,0.000000E+00,8.551435E-02,0.000000E+00,1.799961E+03,0.000000E+00,9.287480E-02,0.000000E+00,1.623027E+03,0.000000E+00,8.374417E-02,0.000000E+00,6.217063E+03,0.000000E+00,3.205071E-01,0.000000E+00
05:00:00,1.399755E+03,0.000000E+00,7.221776E-02,0.000000E+00,1.691337E+03,0.000000E+00,8.726883E-02,0.000000E+00,1.833115E+03,0.000000E+00,9.458510E-02,0.000000E+00,1.657047E+03,0.000000E+00,8.549923E-02,0.000000E+00,6.268678E+03,0.000000E+00,3.232097E-01,0.000000E+00
05:15:00,1.432552E+03,0.000000E+00,7.390987E-02,0.000000E+00,1.725317E+03,0.000000E+00,8.902182E-02,0.000000E+00,1.866195E+03,0.000000E+00,9.629155E-02,0.000000E+00,1.691060E+03,0.000000E+00,8.725389E-02,0.000000E+00,6.319014E+03,0.000000E+00,3.258366E-01,0.000000E+00
05:30:00,1.465863E+03,0.000000E+00,7.562950E-02,0.000000E+00,1.759253E+03,0.000000E+00,9.077250E-02,0.000000E+00,1.899190E+03,0.000000E+00,9.799365E-02,0.000000E+00,1.725047E+03,0.000000E+00,8.900727E-02,0.000000E+00,6.368477E+03,0.000000E+00,3.284047E-01,0.000000E+00
05:45:00,1.499452E+03,0.000000E+00,7.736309E-02,0.000000E+00,1.793129E+03,0.000000E+00,9.252012E-02,0.000000E+00,1.932090E+03,0.000000E+00,9.969088E-02,0.000000E+00,1.758993E+03,0.000000E+00,9.075851E-02,0.000000E+00,6.417401E+03,0.000000E+00,3.309367E-01,0.000000E+00
06:00:00,1.533256E+03,0.000000E+00,7.910755E-02,0.000000E+00,1.826933E+03,0.000000E+00,9.426400E-02,0.000000E+00,1.964887E+03,0.000000E+00,1.013828E-01,0.000000E+00,1.792884E+03,0.000000E+00,9.250688E-02,0.000000E+00,6.465929E+03,0.000000E+00,3.334444E-01,0.000000E+00
06:15:00,1.295390E+03,0.000000E+00,6.683506E-02,0.000000E+00,1.588805E+03,0.000000E+00,8.197715E-02,0.000000E+00,1.725722E+03,0.000000E+00,8.904226E-02,0.000000E+00,1.554859E+03,0.000000E+00,8.022543E-02,0.000000E+00,4.918461E+03,0.000000E+00,2.536440E-01,0.000000E+00
06:30:00,1.055561E+03,0.000000E+00,5.446294E-02,0.000000E+00,1.348485E+03,0.000000E+00,6.957918E-02,0.000000E+00,1.484334E+03,0.000000E+00,7.658912E-02,0.000000E+00,1.314661E+03,0.000000E+00,6.783372E-02,0.000000E+00,3.362597E+03,0.000000E+00,1.734116E-01,0.000000E+00
06:45:00,8.135813E+02,0.000000E+00,4.198001E-02,0.000000E+00,1.105837E+03,0.000000E+00,5.706160E-02,0.000000E+00,1.240598E+03,0.000000E+00,6.401550E-02,0.000000E+00,1.072147E+03,0.000000E+00,5.532309E-02,0.000000E+00,1.796933E+03,0.000000E+00,9.267296E-02,0.000000E+00
07:00:00,5.694084E+02,0.000000E+00,2.938413E-02,0.000000E+00,8.608405E+02,0.000000E+00,4.442327E-02,0.000000E+00,9.944911E+02,0.000000E+00,5.132015E-02,0.000000E+00,8.272992E+02,0.000000E+00,4.269240E-02,0.000000E+00,2.215849E+02,0.000000E+00,1.143441E-02,0.000000E+00
07:15:00,5.948468E+02,0.000000E+00,3.069893E-02,0.000000E+00,8.853446E+02,0.000000E+00,4.569065E-02,0.000000E+00,1.017867E+03,0.000000E+00,5.252974E-02,0.000000E+00,8.519631E+02,0.000000E+00,4.396792E-02,0.000000E+00,2.325972E+02,0.000000E+00,1.200494E-02,0.000000E+00
07:30:00,6.189001E+02,0.000000E+00,3.194079E-02,0.000000E+00,9.077609E+02,0.000000E+00,4.684871E-02,0.000000E+00,1.040123E+03,0.000000E+00,5.367992E-02,0.000000E+00,8.755408E+02,0.000000E+00,4.518583E-02,0.000000E+00,2.423694E+02,0.000000E+00,1.250937E-02,0.000000E+00
07:45:00,6.376158E+02,0.000000E+00,3.290710E-02,0.000000E+00,9.211040E+02,0.000000E+00,4.753827E-02,0.000000E+00,1.060776E+03,0.000000E+00,5.474702E-02,0.000000E+00,8.975626E+02,0.000000E+00,4.632325E-02,0.000000E+00,2.522144E+02,0.000000E+00,1.301754E-02,0.000000E+00
08:00:00,6.490570E+02,0.000000E+00,3.349798E-02,0.000000E+00,9.245804E+02,0.000000E+00,4.771847E-02,0.000000E+00,1.079179E+03,0.000000E+00,5.569781E-02,0.000000E+00,9.174238E+02,0.000000E+00,4.734904E-02,0.000000E+00,2.618134E+02,0.000000E+00,1.351300E-02,0.000000E+00
08:15:00,6.524643E+02,1.510284E+03,3.367422E-02,1.056923E-01,9.175958E+02,1.569880E+03,4.735864E-02,1.084211E-01,1.094892E+03,1.533028E+03,5.650951E-02,1.069621E-01,9.348015E+02,1.523161E+03,4.824655E-02,1.058031E-01,2.710202E+02,2.311303E+03,1.398823E-02,1.935494E-01
08:30:00,6.480707E+02,3.950634E+03,3.344780E-02,3.412356E-01,9.010853E+02,4.183632E+03,4.650703E-02,3.601761E-01,1.108292E+03,4.010013E+03,5.720175E-02,3.458779E-01,9.501316E+02,4.040471E+03,4.903830E-02,3.486214E-01,2.798228E+02,5.595794E+03,1.444259E-02,5.126817E-01
08:45:00,6.386959E+02,6.058156E+03,3.296426E-02,5.466656E-01,8.819766E+02,6.446969E+03,4.552119E-02,5.805559E-01,1.120043E+03,6.145726E+03,5.780873E-02,5.539856E-01,9.640222E+02,6.213090E+03,4.975565E-02,5.603274E-01,2.882209E+02,8.440764E+03,1.487608E-02,7.908806E-01
09:00:00,6.258220E+02,8.040328E+03,3.230007E-02,7.404845E-01,8.618708E+02,8.583742E+03,4.448378E-02,7.893835E-01,1.130619E+03,8.150577E+03,5.835493E-02,7.499928E-01,9.768086E+02,8.256426E+03,5.041594E-02,7.600944E-01,2.961807E+02,1.111812E+04,1.528694E-02,1.053087E+00
09:15:00,6.061181E+02,8.418551E+03,3.128331E-02,8.196915E-01,8.379579E+02,9.055818E+03,4.324978E-02,8.808374E-01,1.136920E+03,8.523562E+03,5.868041E-02,8.296321E-01,9.851871E+02,8.679903E+03,5.084866E-02,8.448674E-01,3.035084E+02,1.134757E+04,1.566517E-02,1.108453E+00
09:30:00,5.795706E+02,7.797743E+03,2.991329E-02,7.623876E-01,8.110841E+02,8.414042E+03,4.186290E-02,8.222328E-01,1.138772E+03,7.879420E+03,5.877624E-02,7.702538E-01,9.888431E+02,8.037872E+03,5.103758E-02,7.857418E-01,3.098226E+02,1.049636E+04,1.599110E-02,1.027728E+00
