Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.410629E+03,0.000000E+00,7.279312E-02,0.000000E+00,1.707110E+03,0.000000E+00,8.809271E-02,0.000000E+00,1.860056E+03,0.000000E+00,9.598539E-02,0.000000E+00,1.682825E+03,0.000000E+00,8.683949E-02,0.000000E+00,5.302173E+03,0.000000E+00,2.735719E-01,0.000000E+00
00:30:00,1.485624E+03,0.000000E+00,7.666146E-02,0.000000E+00,1.780850E+03,0.000000E+00,9.189615E-02,0.000000E+00,1.932068E+03,0.000000E+00,9.969952E-02,0.000000E+00,1.755743E+03,0.000000E+00,9.060049E-02,0.000000E+00,5.526544E+03,0.000000E+00,2.851384E-01,0.000000E+00
00:45:00,1.559898E+03,0.000000E+00,8.049263E-02,0.000000E+00,1.853847E+03,0.000000E+00,9.566117E-02,0.000000E+00,2.003336E+03,0.000000E+00,1.033753E-01,0.000000E+00,1.827954E+03,0.000000E+00,9.432503E-02,0.000000E+00,5.744100E+03,0.000000E+00,2.963530E-01,0.000000E+00
01:00:00,1.633419E+03,0.000000E+00,8.428489E-02,0.000000E+00,1.926072E+03,0.000000E+00,9.938638E-02,0.000000E+00,2.073832E+03,0.000000E+00,1.070112E-01,0.000000E+00,1.899428E+03,0.000000E+00,9.801146E-02,0.000000E+00,5.954821E+03,0.000000E+00,3.072146E-01,0.000000E+00
01:15:00,1.660101E+03,0.000000E+00,8.566158E-02,0.000000E+00,1.951220E+03,0.000000E+00,1.006839E-01,0.000000E+00,2.097764E+03,0.000000E+00,1.082459E-01,0.000000E+00,1.924426E+03,0.000000E+00,9.930125E-02,0.000000E+00,6.000631E+03,0.000000E+00,3.095764E-01,0.000000E+00
01:30:00,1.686914E+03,0.000000E+00,8.704477E-02,0.000000E+00,1.976490E+03,0.000000E+00,1.019875E-01,0.000000E+00,2.121820E+03,0.000000E+00,1.094868E-01,0.000000E+00,1.949577E+03,0.000000E+00,1.005987E-01,0.000000E+00,6.046553E+03,0.000000E+00,3.119427E-01,0.000000E+00
01:45:00,1.713835E+03,0.000000E+00,8.843353E-02,0.000000E+00,2.001866E+03,0.000000E+00,1.032965E-01,0.000000E+00,2.145986E+03,0.000000E+00,1.107333E-01,0.000000E+00,1.974863E+03,0.000000E+00,1.019030E-01,0.000000E+00,6.092611E+03,0.000000E+00,3.143163E-01,0.000000E+00
02:00:00,1.740840E+03,0.000000E+00,8.982663E-02,0.000000E+00,2.027326E+03,0.000000E+00,1.046099E-01,0.000000E+00,2.170240E+03,0.000000E+00,1.119845E-01,0.000000E+00,2.000259E+03,0.000000E+00,1.032131E-01,0.000000E+00,6.138791E+03,0.000000E+00,3.166968E-01,0.000000E+00
02:15:00,1.767967E+03,0.000000E+00,9.122612E-02,0.000000E+00,2.052917E+03,0.000000E+00,1.059300E-01,0.000000E+00,2.194627E+03,0.000000E+00,1.132425E-01,0.000000E+00,2.025807E+03,0.000000E+00,1.045311E-01,0.000000E+00,6.185067E+03,0.000000E+00,3.190828E-01,0.000000E+00
02:30:00,1.795195E+03,0.000000E+00,9.263085E-02,0.000000E+00,2.078618E+03,0.000000E+00,1.072560E-01,0.000000E+00,2.219128E+03,0.000000E+00,1.145065E-01,0.000000E+00,2.051486E+03,0.000000E+00,1.058560E-01,0.000000E+00,6.231427E+03,0.000000E+00,3.214737E-01,0.000000E+00
02:45:00,1.822501E+03,0.000000E+00,9.403965E-02,0.000000E+00,2.104414E+03,0.000000E+00,1.085869E-01,0.000000E+00,2.243724E+03,0.000000E+00,1.157755E-01,0.000000E+00,2.077277E+03,0.000000E+00,1.071866E-01,0.000000E+00,6.277854E+03,0.000000E+00,3.238681E-01,0.000000E+00
03:00:00,1.849866E+03,0.000000E+00,9.545150E-02,0.000000E+00,2.130287E+03,0.000000E+00,1.099219E-01,0.000000E+00,2.268400E+03,0.000000E+00,1.170487E-01,0.000000E+00,2.103163E+03,0.000000E+00,1.085222E-01,0.000000E+00,6.324341E+03,0.000000E+00,3.262656E-01,0.000000E+00
