Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.061959E+02,0.000000E+00,4.676497E-02,0.000000E+00,1.422777E+03,0.000000E+00,7.342096E-02,0.000000E+00,1.625496E+03,0.000000E+00,8.388256E-02,0.000000E+00,1.325170E+03,0.000000E+00,6.838326E-02,0.000000E+00,4.825951E+03,0.000000E+00,2.489968E-01,0.000000E+00
00:30:00,1.039493E+03,0.000000E+00,5.364224E-02,0.000000E+00,1.552337E+03,0.000000E+00,8.010528E-02,0.000000E+00,1.754226E+03,0.000000E+00,9.052390E-02,0.000000E+00,1.452880E+03,0.000000E+00,7.497228E-02,0.000000E+00,5.110843E+03,0.000000E+00,2.636792E-01,0.000000E+00
00:45:00,1.171327E+03,0.000000E+00,6.044390E-02,0.000000E+00,1.681997E+03,0.000000E+00,8.679479E-02,0.000000E+00,1.882690E+03,0.000000E+00,9.715151E-02,0.000000E+00,1.581192E+03,0.000000E+00,8.159240E-02,0.000000E+00,5.388675E+03,0.000000E+00,2.779947E-01,0.000000E+00
01:00:00,1.301399E+03,0.000000E+00,6.715449E-02,0.000000E+00,1.811577E+03,0.000000E+00,9.348008E-02,0.000000E+00,2.010755E+03,0.000000E+00,1.037585E-01,0.000000E+00,1.709800E+03,0.000000E+00,8.822769E-02,0.000000E+00,5.657897E+03,0.000000E+00,2.918619E-01,0.000000E+00
01:15:00,1.357634E+03,0.000000E+00,7.005582E-02,0.000000E+00,1.867955E+03,0.000000E+00,9.638932E-02,0.000000E+00,2.065517E+03,0.000000E+00,1.065842E-01,0.000000E+00,1.766617E+03,0.000000E+00,9.115959E-02,0.000000E+00,5.737928E+03,0.000000E+00,2.959717E-01,0.000000E+00
01:30:00,1.412072E+03,0.000000E+00,7.286419E-02,0.000000E+00,1.924564E+03,0.000000E+00,9.931028E-02,0.000000E+00,2.120414E+03,0.000000E+00,1.094168E-01,0.000000E+00,1.823780E+03,0.000000E+00,9.410918E-02,0.000000E+00,5.820023E+03,0.000000E+00,3.001953E-01,0.000000E+00
01:45:00,1.465532E+03,0.000000E+00,7.562167E-02,0.000000E+00,1.981336E+03,0.000000E+00,1.022395E-01,0.000000E+00,2.175391E+03,0.000000E+00,1.122534E-01,0.000000E+00,1.881204E+03,0.000000E+00,9.707217E-02,0.000000E+00,5.904654E+03,0.000000E+00,3.045579E-01,0.000000E+00
02:00:00,1.519323E+03,0.000000E+00,7.839638E-02,0.000000E+00,2.038200E+03,0.000000E+00,1.051735E-01,0.000000E+00,2.230387E+03,0.000000E+00,1.150910E-01,0.000000E+00,1.938807E+03,0.000000E+00,1.000443E-01,0.000000E+00,5.993270E+03,0.000000E+00,3.091337E-01,0.000000E+00
02:15:00,1.574263E+03,0.000000E+00,8.123085E-02,0.000000E+00,2.095289E+03,0.000000E+00,1.081192E-01,0.000000E+00,2.285543E+03,0.000000E+00,1.179368E-01,0.000000E+00,1.996706E+03,0.000000E+00,1.030318E-01,0.000000E+00,6.082748E+03,0.000000E+00,3.137659E-01,0.000000E+00
02:30:00,1.631384E+03,0.000000E+00,8.417820E-02,0.000000E+00,2.152469E+03,0.000000E+00,1.110696E-01,0.000000E+00,2.340739E+03,0.000000E+00,1.207848E-01,0.000000E+00,2.054756E+03,0.000000E+00,1.060271E-01,0.000000E+00,6.172769E+03,0.000000E+00,3.184212E-01,0.000000E+00
