Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.169700E+03,0.000000E+00,1.119661E-01,0.000000E+00,2.633693E+03,0.000000E+00,1.359103E-01,0.000000E+00,2.833153E+03,0.000000E+00,1.462033E-01,0.000000E+00,2.572582E+03,0.000000E+00,1.327567E-01,0.000000E+00,6.758589E+03,0.000000E+00,3.487453E-01,0.000000E+00
00:30:00,2.290394E+03,0.000000E+00,1.181922E-01,0.000000E+00,2.749087E+03,0.000000E+00,1.418627E-01,0.000000E+00,2.944821E+03,0.000000E+00,1.519632E-01,0.000000E+00,2.688281E+03,0.000000E+00,1.387248E-01,0.000000E+00,7.036629E+03,0.000000E+00,3.630827E-01,0.000000E+00
00:45:00,2.410150E+03,0.000000E+00,1.243700E-01,0.000000E+00,2.863582E+03,0.000000E+00,1.477686E-01,0.000000E+00,3.055603E+03,0.000000E+00,1.576774E-01,0.000000E+00,2.803101E+03,0.000000E+00,1.446476E-01,0.000000E+00,7.308956E+03,0.000000E+00,3.771252E-01,0.000000E+00
01:00:00,2.528899E+03,0.000000E+00,1.304958E-01,0.000000E+00,2.977117E+03,0.000000E+00,1.536251E-01,0.000000E+00,3.165437E+03,0.000000E+00,1.633426E-01,0.000000E+00,2.916976E+03,0.000000E+00,1.505216E-01,0.000000E+00,7.575515E+03,0.000000E+00,3.908697E-01,0.000000E+00
01:15:00,2.575851E+03,0.000000E+00,1.329185E-01,0.000000E+00,3.019391E+03,0.000000E+00,1.558064E-01,0.000000E+00,3.205047E+03,0.000000E+00,1.653864E-01,0.000000E+00,2.959936E+03,0.000000E+00,1.527383E-01,0.000000E+00,7.649961E+03,0.000000E+00,3.947096E-01,0.000000E+00
01:30:00,2.622648E+03,0.000000E+00,1.353329E-01,0.000000E+00,3.061580E+03,0.000000E+00,1.579829E-01,0.000000E+00,3.244591E+03,0.000000E+00,1.674264E-01,0.000000E+00,3.002827E+03,0.000000E+00,1.549512E-01,0.000000E+00,7.724703E+03,0.000000E+00,3.985635E-01,0.000000E+00
01:45:00,2.669264E+03,0.000000E+00,1.377379E-01,0.000000E+00,3.103664E+03,0.000000E+00,1.601540E-01,0.000000E+00,3.284049E+03,0.000000E+00,1.694619E-01,0.000000E+00,3.045628E+03,0.000000E+00,1.571593E-01,0.000000E+00,7.799722E+03,0.000000E+00,4.024318E-01,0.000000E+00
02:00:00,2.715662E+03,0.000000E+00,1.401317E-01,0.000000E+00,3.145616E+03,0.000000E+00,1.623183E-01,0.000000E+00,3.323386E+03,0.000000E+00,1.714912E-01,0.000000E+00,3.088307E+03,0.000000E+00,1.593611E-01,0.000000E+00,7.874969E+03,0.000000E+00,4.063123E-01,0.000000E+00
02:15:00,2.762010E+03,0.000000E+00,1.425229E-01,0.000000E+00,3.187614E+03,0.000000E+00,1.644850E-01,0.000000E+00,3.362764E+03,0.000000E+00,1.735226E-01,0.000000E+00,3.131041E+03,0.000000E+00,1.615658E-01,0.000000E+00,7.950380E+03,0.000000E+00,4.102018E-01,0.000000E+00
02:30:00,2.808280E+03,0.000000E+00,1.449102E-01,0.000000E+00,3.229640E+03,0.000000E+00,1.666534E-01,0.000000E+00,3.402108E+03,0.000000E+00,1.755524E-01,0.000000E+00,3.173809E+03,0.000000E+00,1.637724E-01,0.000000E+00,8.025909E+03,0.000000E+00,4.140980E-01,0.000000E+00
