Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.068238E+03,0.000000E+00,5.512656E-02,0.000000E+00,1.598040E+03,0.000000E+00,8.246651E-02,0.000000E+00,1.411799E+03,0.000000E+00,7.285494E-02,0.000000E+00,1.491986E+03,0.000000E+00,7.699325E-02,0.000000E+00,4.694396E+03,0.000000E+00,2.422331E-01,0.000000E+00
00:30:00,1.226621E+03,0.000000E+00,6.329782E-02,0.000000E+00,1.763045E+03,0.000000E+00,9.097996E-02,0.000000E+00,1.556149E+03,0.000000E+00,8.030225E-02,0.000000E+00,1.655103E+03,0.000000E+00,8.540939E-02,0.000000E+00,5.053863E+03,0.000000E+00,2.607702E-01,0.000000E+00
00:45:00,1.385040E+03,0.000000E+00,7.147117E-02,0.000000E+00,1.928608E+03,0.000000E+00,9.952221E-02,0.000000E+00,1.701721E+03,0.000000E+00,8.781277E-02,0.000000E+00,1.819233E+03,0.000000E+00,9.387779E-02,0.000000E+00,5.407714E+03,0.000000E+00,2.790164E-01,0.000000E+00
01:00:00,1.543816E+03,0.000000E+00,7.966307E-02,0.000000E+00,2.094458E+03,0.000000E+00,1.080792E-01,0.000000E+00,1.848980E+03,0.000000E+00,9.541037E-02,0.000000E+00,1.984025E+03,0.000000E+00,1.023803E-01,0.000000E+00,5.754809E+03,0.000000E+00,2.969124E-01,0.000000E+00
01:15:00,1.622205E+03,0.000000E+00,8.370852E-02,0.000000E+00,2.170275E+03,0.000000E+00,1.119916E-01,0.000000E+00,1.919765E+03,0.000000E+00,9.906333E-02,0.000000E+00,2.060376E+03,0.000000E+00,1.063202E-01,0.000000E+00,5.875520E+03,0.000000E+00,3.031338E-01,0.000000E+00
01:30:00,1.701982E+03,0.000000E+00,8.782552E-02,0.000000E+00,2.246324E+03,0.000000E+00,1.159158E-01,0.000000E+00,1.991387E+03,0.000000E+00,1.027592E-01,0.000000E+00,2.137077E+03,0.000000E+00,1.102781E-01,0.000000E+00,5.997968E+03,0.000000E+00,3.094373E-01,0.000000E+00
01:45:00,1.782846E+03,0.000000E+00,9.199839E-02,0.000000E+00,2.322508E+03,0.000000E+00,1.198469E-01,0.000000E+00,2.063661E+03,0.000000E+00,1.064887E-01,0.000000E+00,2.214016E+03,0.000000E+00,1.142482E-01,0.000000E+00,6.122702E+03,0.000000E+00,3.158651E-01,0.000000E+00
02:00:00,1.864489E+03,0.000000E+00,9.621130E-02,0.000000E+00,2.398732E+03,0.000000E+00,1.237800E-01,0.000000E+00,2.136423E+03,0.000000E+00,1.102432E-01,0.000000E+00,2.291083E+03,0.000000E+00,1.182248E-01,0.000000E+00,6.250935E+03,0.000000E+00,3.224780E-01,0.000000E+00
02:15:00,1.946911E+03,0.000000E+00,1.004643E-01,0.000000E+00,2.475159E+03,0.000000E+00,1.277235E-01,0.000000E+00,2.209738E+03,0.000000E+00,1.140263E-01,0.000000E+00,2.368426E+03,0.000000E+00,1.222157E-01,0.000000E+00,6.386073E+03,0.000000E+00,3.294517E-01,0.000000E+00
02:30:00,2.029823E+03,0.000000E+00,1.047427E-01,0.000000E+00,2.551623E+03,0.000000E+00,1.316691E-01,0.000000E+00,2.283370E+03,0.000000E+00,1.178258E-01,0.000000E+00,2.445869E+03,0.000000E+00,1.262117E-01,0.000000E+00,6.522719E+03,0.000000E+00,3.365122E-01,0.000000E+00
