Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.833403E+03,0.000000E+00,1.462179E-01,0.000000E+00,3.274102E+03,0.000000E+00,1.689601E-01,0.000000E+00,3.182969E+03,0.000000E+00,1.642573E-01,0.000000E+00,3.205462E+03,0.000000E+00,1.654181E-01,0.000000E+00,8.208397E+03,0.000000E+00,4.235674E-01,0.000000E+00
00:30:00,2.985554E+03,0.000000E+00,1.540670E-01,0.000000E+00,3.416100E+03,0.000000E+00,1.762849E-01,0.000000E+00,3.314496E+03,0.000000E+00,1.710417E-01,0.000000E+00,3.347679E+03,0.000000E+00,1.727542E-01,0.000000E+00,8.546385E+03,0.000000E+00,4.409979E-01,0.000000E+00
00:45:00,3.136764E+03,0.000000E+00,1.618675E-01,0.000000E+00,3.557328E+03,0.000000E+00,1.835701E-01,0.000000E+00,3.445451E+03,0.000000E+00,1.777967E-01,0.000000E+00,3.489078E+03,0.000000E+00,1.800481E-01,0.000000E+00,8.879864E+03,0.000000E+00,4.581957E-01,0.000000E+00
01:00:00,3.286861E+03,0.000000E+00,1.696105E-01,0.000000E+00,3.697731E+03,0.000000E+00,1.908126E-01,0.000000E+00,3.575787E+03,0.000000E+00,1.845197E-01,0.000000E+00,3.629596E+03,0.000000E+00,1.872965E-01,0.000000E+00,9.208739E+03,0.000000E+00,4.751556E-01,0.000000E+00
01:15:00,3.347556E+03,0.000000E+00,1.727423E-01,0.000000E+00,3.752248E+03,0.000000E+00,1.936258E-01,0.000000E+00,3.626688E+03,0.000000E+00,1.871462E-01,0.000000E+00,3.684535E+03,0.000000E+00,1.901314E-01,0.000000E+00,9.315643E+03,0.000000E+00,4.806705E-01,0.000000E+00
01:30:00,3.408071E+03,0.000000E+00,1.758644E-01,0.000000E+00,3.806712E+03,0.000000E+00,1.964360E-01,0.000000E+00,3.677668E+03,0.000000E+00,1.897766E-01,0.000000E+00,3.739532E+03,0.000000E+00,1.929690E-01,0.000000E+00,9.423039E+03,0.000000E+00,4.862097E-01,0.000000E+00
01:45:00,3.468444E+03,0.000000E+00,1.789791E-01,0.000000E+00,3.861094E+03,0.000000E+00,1.992418E-01,0.000000E+00,3.728688E+03,0.000000E+00,1.924089E-01,0.000000E+00,3.794485E+03,0.000000E+00,1.958043E-01,0.000000E+00,9.530860E+03,0.000000E+00,4.917705E-01,0.000000E+00
02:00:00,3.528738E+03,0.000000E+00,1.820899E-01,0.000000E+00,3.915354E+03,0.000000E+00,2.020413E-01,0.000000E+00,3.779697E+03,0.000000E+00,1.950407E-01,0.000000E+00,3.849350E+03,0.000000E+00,1.986350E-01,0.000000E+00,9.639013E+03,0.000000E+00,4.973488E-01,0.000000E+00
02:15:00,3.589306E+03,0.000000E+00,1.852149E-01,0.000000E+00,3.969715E+03,0.000000E+00,2.048461E-01,0.000000E+00,3.830860E+03,0.000000E+00,1.976805E-01,0.000000E+00,3.904340E+03,0.000000E+00,2.014724E-01,0.000000E+00,9.747388E+03,0.000000E+00,5.029390E-01,0.000000E+00
02:30:00,3.649833E+03,0.000000E+00,1.883380E-01,0.000000E+00,4.024158E+03,0.000000E+00,2.076553E-01,0.000000E+00,3.882132E+03,0.000000E+00,2.003260E-01,0.000000E+00,3.959433E+03,0.000000E+00,2.043150E-01,0.000000E+00,9.855901E+03,0.000000E+00,5.085369E-01,0.000000E+00
