Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.315740E+03,0.000000E+00,1.194994E-01,0.000000E+00,2.901425E+03,0.000000E+00,1.497228E-01,0.000000E+00,2.921955E+03,0.000000E+00,1.507823E-01,0.000000E+00,2.837049E+03,0.000000E+00,1.464008E-01,0.000000E+00,5.796250E+03,0.000000E+00,2.990748E-01,0.000000E+00
00:30:00,2.393519E+03,0.000000E+00,1.235107E-01,0.000000E+00,2.987353E+03,0.000000E+00,1.541540E-01,0.000000E+00,2.998352E+03,0.000000E+00,1.547217E-01,0.000000E+00,2.924214E+03,0.000000E+00,1.508960E-01,0.000000E+00,6.017112E+03,0.000000E+00,3.104610E-01,0.000000E+00
00:45:00,2.470253E+03,0.000000E+00,1.274680E-01,0.000000E+00,3.072061E+03,0.000000E+00,1.585224E-01,0.000000E+00,3.073696E+03,0.000000E+00,1.586068E-01,0.000000E+00,3.010144E+03,0.000000E+00,1.553274E-01,0.000000E+00,6.231176E+03,0.000000E+00,3.214962E-01,0.000000E+00
01:00:00,2.545896E+03,0.000000E+00,1.313689E-01,0.000000E+00,3.155499E+03,0.000000E+00,1.628251E-01,0.000000E+00,3.147941E+03,0.000000E+00,1.624350E-01,0.000000E+00,3.094786E+03,0.000000E+00,1.596923E-01,0.000000E+00,6.438420E+03,0.000000E+00,3.321792E-01,0.000000E+00
01:15:00,2.569574E+03,0.000000E+00,1.325905E-01,0.000000E+00,3.179441E+03,0.000000E+00,1.640602E-01,0.000000E+00,3.167759E+03,0.000000E+00,1.634574E-01,0.000000E+00,3.119835E+03,0.000000E+00,1.609846E-01,0.000000E+00,6.481304E+03,0.000000E+00,3.343901E-01,0.000000E+00
01:30:00,2.593255E+03,0.000000E+00,1.338118E-01,0.000000E+00,3.203345E+03,0.000000E+00,1.652930E-01,0.000000E+00,3.187613E+03,0.000000E+00,1.644812E-01,0.000000E+00,3.144842E+03,0.000000E+00,1.622743E-01,0.000000E+00,6.524309E+03,0.000000E+00,3.366061E-01,0.000000E+00
01:45:00,2.616895E+03,0.000000E+00,1.350311E-01,0.000000E+00,3.227189E+03,0.000000E+00,1.665227E-01,0.000000E+00,3.207469E+03,0.000000E+00,1.655050E-01,0.000000E+00,3.169781E+03,0.000000E+00,1.635605E-01,0.000000E+00,6.567458E+03,0.000000E+00,3.388298E-01,0.000000E+00
02:00:00,2.640468E+03,0.000000E+00,1.362469E-01,0.000000E+00,3.250961E+03,0.000000E+00,1.677487E-01,0.000000E+00,3.227340E+03,0.000000E+00,1.665296E-01,0.000000E+00,3.194640E+03,0.000000E+00,1.648427E-01,0.000000E+00,6.610736E+03,0.000000E+00,3.410607E-01,0.000000E+00
02:15:00,2.664068E+03,0.000000E+00,1.374642E-01,0.000000E+00,3.274854E+03,0.000000E+00,1.689811E-01,0.000000E+00,3.247385E+03,0.000000E+00,1.675634E-01,0.000000E+00,3.219612E+03,0.000000E+00,1.661308E-01,0.000000E+00,6.654116E+03,0.000000E+00,3.432974E-01,0.000000E+00
02:30:00,2.687621E+03,0.000000E+00,1.386792E-01,0.000000E+00,3.298868E+03,0.000000E+00,1.702199E-01,0.000000E+00,3.267609E+03,0.000000E+00,1.686066E-01,0.000000E+00,3.244699E+03,0.000000E+00,1.674250E-01,0.000000E+00,6.697590E+03,0.000000E+00,3.455395E-01,0.000000E+00
