Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.429114E+02,0.000000E+00,4.866773E-02,0.000000E+00,9.280351E+02,0.000000E+00,4.789009E-02,0.000000E+00,9.622787E+02,0.000000E+00,4.965634E-02,0.000000E+00,8.164440E+02,0.000000E+00,4.213273E-02,0.000000E+00,4.396978E+03,0.000000E+00,2.268805E-01,0.000000E+00
00:30:00,1.025618E+03,0.000000E+00,5.293913E-02,0.000000E+00,1.029196E+03,0.000000E+00,5.310816E-02,0.000000E+00,1.049878E+03,0.000000E+00,5.417446E-02,0.000000E+00,9.261560E+02,0.000000E+00,4.779276E-02,0.000000E+00,4.631681E+03,0.000000E+00,2.389824E-01,0.000000E+00
00:45:00,1.078728E+03,0.000000E+00,5.568283E-02,0.000000E+00,1.126519E+03,0.000000E+00,5.812799E-02,0.000000E+00,1.134124E+03,0.000000E+00,5.851935E-02,0.000000E+00,1.032342E+03,0.000000E+00,5.327068E-02,0.000000E+00,4.859098E+03,0.000000E+00,2.507081E-01,0.000000E+00
01:00:00,1.128456E+03,0.000000E+00,5.825180E-02,0.000000E+00,1.219513E+03,0.000000E+00,6.292415E-02,0.000000E+00,1.214193E+03,0.000000E+00,6.264835E-02,0.000000E+00,1.134747E+03,0.000000E+00,5.855326E-02,0.000000E+00,5.079145E+03,0.000000E+00,2.620531E-01,0.000000E+00
01:15:00,1.121763E+03,0.000000E+00,5.790631E-02,0.000000E+00,1.248780E+03,0.000000E+00,6.443303E-02,0.000000E+00,1.239368E+03,0.000000E+00,6.394589E-02,0.000000E+00,1.171400E+03,0.000000E+00,6.044383E-02,0.000000E+00,5.131141E+03,0.000000E+00,2.647336E-01,0.000000E+00
01:30:00,1.112283E+03,0.000000E+00,5.741676E-02,0.000000E+00,1.276264E+03,0.000000E+00,6.584912E-02,0.000000E+00,1.266126E+03,0.000000E+00,6.532537E-02,0.000000E+00,1.205962E+03,0.000000E+00,6.222627E-02,0.000000E+00,5.182621E+03,0.000000E+00,2.673865E-01,0.000000E+00
01:45:00,1.130773E+03,0.000000E+00,5.837093E-02,0.000000E+00,1.305151E+03,0.000000E+00,6.733792E-02,0.000000E+00,1.295343E+03,0.000000E+00,6.683241E-02,0.000000E+00,1.239899E+03,0.000000E+00,6.397626E-02,0.000000E+00,5.234657E+03,0.000000E+00,2.700683E-01,0.000000E+00
02:00:00,1.150897E+03,0.000000E+00,5.940958E-02,0.000000E+00,1.336516E+03,0.000000E+00,6.895551E-02,0.000000E+00,1.328410E+03,0.000000E+00,6.853874E-02,0.000000E+00,1.273858E+03,0.000000E+00,6.572739E-02,0.000000E+00,5.287416E+03,0.000000E+00,2.727878E-01,0.000000E+00
02:15:00,1.172131E+03,0.000000E+00,6.050546E-02,0.000000E+00,1.372211E+03,0.000000E+00,7.079736E-02,0.000000E+00,1.365089E+03,0.000000E+00,7.043238E-02,0.000000E+00,1.307764E+03,0.000000E+00,6.747565E-02,0.000000E+00,5.341120E+03,0.000000E+00,2.755565E-01,0.000000E+00
02:30:00,1.230232E+03,0.000000E+00,6.350435E-02,0.000000E+00,1.411808E+03,0.000000E+00,7.284170E-02,0.000000E+00,1.403202E+03,0.000000E+00,7.239996E-02,0.000000E+00,1.342816E+03,0.000000E+00,6.928264E-02,0.000000E+00,5.396135E+03,0.000000E+00,2.783933E-01,0.000000E+00
