,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
Heating,765.24,0.00,0.00,0.00,0.00,0.00
Cooling,22198.94,0.00,0.00,0.00,0.00,0.00
Interior Lighting,5220.42,0.00,0.00,0.00,0.00,0.00
Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
Interior Equipment,8766.06,0.00,0.00,0.00,0.00,0.00
Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
Fans,1542.49,0.00,0.00,0.00,0.00,0.00
Pumps,0.00,0.00,0.00,0.00,0.00,0.00
Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
Humidification,0.00,0.00,0.00,0.00,0.00,0.00
Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,
Total End Uses,38493.16,0.00,0.00,0.00,0.00,0.00
