Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.056612E+02,0.000000E+00,3.125634E-02,0.000000E+00,9.064102E+02,0.000000E+00,4.677240E-02,0.000000E+00,1.087593E+03,0.000000E+00,5.612299E-02,0.000000E+00,9.003519E+02,0.000000E+00,4.645919E-02,0.000000E+00,4.830258E+03,0.000000E+00,2.491917E-01,0.000000E+00
00:30:00,6.937376E+02,0.000000E+00,3.580075E-02,0.000000E+00,9.796372E+02,0.000000E+00,5.054947E-02,0.000000E+00,1.168618E+03,0.000000E+00,6.030292E-02,0.000000E+00,9.732904E+02,0.000000E+00,5.022098E-02,0.000000E+00,5.060119E+03,0.000000E+00,2.610338E-01,0.000000E+00
00:45:00,7.814575E+02,0.000000E+00,4.032668E-02,0.000000E+00,1.052958E+03,0.000000E+00,5.433153E-02,0.000000E+00,1.249605E+03,0.000000E+00,6.448086E-02,0.000000E+00,1.046127E+03,0.000000E+00,5.397780E-02,0.000000E+00,5.283382E+03,0.000000E+00,2.725345E-01,0.000000E+00
01:00:00,8.686758E+02,0.000000E+00,4.482663E-02,0.000000E+00,1.126425E+03,0.000000E+00,5.812119E-02,0.000000E+00,1.330444E+03,0.000000E+00,6.865116E-02,0.000000E+00,1.118901E+03,0.000000E+00,5.773147E-02,0.000000E+00,5.499975E+03,0.000000E+00,2.836898E-01,0.000000E+00
01:15:00,9.051685E+02,0.000000E+00,4.670947E-02,0.000000E+00,1.157130E+03,0.000000E+00,5.970589E-02,0.000000E+00,1.363245E+03,0.000000E+00,7.034369E-02,0.000000E+00,1.149225E+03,0.000000E+00,5.929703E-02,0.000000E+00,5.550254E+03,0.000000E+00,2.862775E-01,0.000000E+00
01:30:00,9.417511E+02,0.000000E+00,4.859683E-02,0.000000E+00,1.188455E+03,0.000000E+00,6.132232E-02,0.000000E+00,1.396426E+03,0.000000E+00,7.205568E-02,0.000000E+00,1.180199E+03,0.000000E+00,6.089559E-02,0.000000E+00,5.600679E+03,0.000000E+00,2.888707E-01,0.000000E+00
01:45:00,9.783326E+02,0.000000E+00,5.048406E-02,0.000000E+00,1.220341E+03,0.000000E+00,6.296759E-02,0.000000E+00,1.429940E+03,0.000000E+00,7.378476E-02,0.000000E+00,1.211802E+03,0.000000E+00,6.252640E-02,0.000000E+00,5.651211E+03,0.000000E+00,2.914693E-01,0.000000E+00
02:00:00,1.014817E+03,0.000000E+00,5.236620E-02,0.000000E+00,1.252745E+03,0.000000E+00,6.463958E-02,0.000000E+00,1.463738E+03,0.000000E+00,7.552851E-02,0.000000E+00,1.243975E+03,0.000000E+00,6.418655E-02,0.000000E+00,5.701757E+03,0.000000E+00,2.940686E-01,0.000000E+00
02:15:00,1.051162E+03,0.000000E+00,5.424112E-02,0.000000E+00,1.285701E+03,0.000000E+00,6.634009E-02,0.000000E+00,1.497841E+03,0.000000E+00,7.728804E-02,0.000000E+00,1.276735E+03,0.000000E+00,6.587696E-02,0.000000E+00,5.752217E+03,0.000000E+00,2.966630E-01,0.000000E+00
02:30:00,1.087209E+03,0.000000E+00,5.610064E-02,0.000000E+00,1.319083E+03,0.000000E+00,6.806264E-02,0.000000E+00,1.532208E+03,0.000000E+00,7.906125E-02,0.000000E+00,1.310025E+03,0.000000E+00,6.759477E-02,0.000000E+00,5.802497E+03,0.000000E+00,2.992472E-01,0.000000E+00
