,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,441.47,0.00,753.48,0.00,60.30,0.00,790.13,0.00,0.00,0.00,0.00,0.00,0.00
February,401.53,0.00,672.44,0.00,17.87,0.00,187.51,38.93,0.00,0.00,0.00,0.00,0.00
March,460.64,0.00,757.47,0.00,35.66,0.00,34.42,468.10,0.00,0.00,0.00,0.00,0.00
April,403.39,0.00,698.82,0.00,98.91,0.00,0.00,1497.71,0.00,0.00,0.00,0.00,0.00
May,460.64,0.00,757.47,0.00,167.84,0.00,0.00,2612.53,0.00,0.00,0.00,0.00,0.00
June,440.94,0.00,729.13,0.00,180.05,0.00,0.00,2790.43,0.00,0.00,0.00,0.00,0.00
July,423.09,0.00,727.17,0.00,141.57,0.00,0.00,2097.79,0.00,0.00,0.00,0.00,0.00
August,460.64,0.00,757.47,0.00,141.10,0.00,0.00,2071.70,0.00,0.00,0.00,0.00,0.00
September,422.56,0.00,702.81,0.00,128.19,0.00,0.00,1892.19,0.00,0.00,0.00,0.00,0.00
October,441.47,0.00,753.48,0.00,62.97,0.00,0.00,902.28,0.00,0.00,0.00,0.00,0.00
November,440.94,0.00,729.13,0.00,14.45,0.00,48.91,150.30,0.00,0.00,0.00,0.00,0.00
December,423.09,0.00,727.17,0.00,42.05,0.00,561.32,0.28,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,5220.42,,8766.06,,1090.97,,1622.29,14522.25,,,,,
Minimum of Months,401.53,0.00,672.44,0.00,14.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,460.64,0.00,757.47,0.00,180.05,0.00,790.13,2790.43,0.00,0.00,0.00,0.00,0.00
