Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.458392E+03,0.000000E+00,7.525823E-02,0.000000E+00,1.718597E+03,0.000000E+00,8.868595E-02,0.000000E+00,1.929555E+03,0.000000E+00,9.957222E-02,0.000000E+00,1.713091E+03,0.000000E+00,8.840176E-02,0.000000E+00,5.441901E+03,0.000000E+00,2.807866E-01,0.000000E+00
00:30:00,1.536251E+03,0.000000E+00,7.927438E-02,0.000000E+00,1.792700E+03,0.000000E+00,9.250815E-02,0.000000E+00,2.004246E+03,0.000000E+00,1.034246E-01,0.000000E+00,1.787061E+03,0.000000E+00,9.221707E-02,0.000000E+00,5.670877E+03,0.000000E+00,2.925912E-01,0.000000E+00
00:45:00,1.613427E+03,0.000000E+00,8.325531E-02,0.000000E+00,1.866147E+03,0.000000E+00,9.629644E-02,0.000000E+00,2.078234E+03,0.000000E+00,1.072407E-01,0.000000E+00,1.860400E+03,0.000000E+00,9.599986E-02,0.000000E+00,5.893155E+03,0.000000E+00,3.040501E-01,0.000000E+00
01:00:00,1.689885E+03,0.000000E+00,8.719912E-02,0.000000E+00,1.938908E+03,0.000000E+00,1.000494E-01,0.000000E+00,2.151488E+03,0.000000E+00,1.110188E-01,0.000000E+00,1.933077E+03,0.000000E+00,9.974838E-02,0.000000E+00,6.108716E+03,0.000000E+00,3.151620E-01,0.000000E+00
01:15:00,1.718059E+03,0.000000E+00,8.865279E-02,0.000000E+00,1.964744E+03,0.000000E+00,1.013824E-01,0.000000E+00,2.176771E+03,0.000000E+00,1.123233E-01,0.000000E+00,1.958946E+03,0.000000E+00,1.010831E-01,0.000000E+00,6.157046E+03,0.000000E+00,3.176539E-01,0.000000E+00
01:30:00,1.746370E+03,0.000000E+00,9.011330E-02,0.000000E+00,1.990728E+03,0.000000E+00,1.027228E-01,0.000000E+00,2.202188E+03,0.000000E+00,1.136344E-01,0.000000E+00,1.984993E+03,0.000000E+00,1.024268E-01,0.000000E+00,6.205522E+03,0.000000E+00,3.201521E-01,0.000000E+00
01:45:00,1.774793E+03,0.000000E+00,9.157958E-02,0.000000E+00,2.016842E+03,0.000000E+00,1.040699E-01,0.000000E+00,2.227721E+03,0.000000E+00,1.149515E-01,0.000000E+00,2.011195E+03,0.000000E+00,1.037785E-01,0.000000E+00,6.254163E+03,0.000000E+00,3.226592E-01,0.000000E+00
02:00:00,1.803301E+03,0.000000E+00,9.305026E-02,0.000000E+00,2.043063E+03,0.000000E+00,1.054226E-01,0.000000E+00,2.253347E+03,0.000000E+00,1.162735E-01,0.000000E+00,2.037528E+03,0.000000E+00,1.051369E-01,0.000000E+00,6.302952E+03,0.000000E+00,3.251744E-01,0.000000E+00
02:15:00,1.831936E+03,0.000000E+00,9.452751E-02,0.000000E+00,2.069423E+03,0.000000E+00,1.067825E-01,0.000000E+00,2.279114E+03,0.000000E+00,1.176027E-01,0.000000E+00,2.064023E+03,0.000000E+00,1.065038E-01,0.000000E+00,6.351857E+03,0.000000E+00,3.276962E-01,0.000000E+00
02:30:00,1.860672E+03,0.000000E+00,9.601005E-02,0.000000E+00,2.095898E+03,0.000000E+00,1.081484E-01,0.000000E+00,2.304999E+03,0.000000E+00,1.189382E-01,0.000000E+00,2.090658E+03,0.000000E+00,1.078779E-01,0.000000E+00,6.400864E+03,0.000000E+00,3.302237E-01,0.000000E+00
02:45:00,1.889485E+03,0.000000E+00,9.749662E-02,0.000000E+00,2.122470E+03,0.000000E+00,1.095193E-01,0.000000E+00,2.330983E+03,0.000000E+00,1.202788E-01,0.000000E+00,2.117409E+03,0.000000E+00,1.092581E-01,0.000000E+00,6.449951E+03,0.000000E+00,3.327555E-01,0.000000E+00
03:00:00,1.918354E+03,0.000000E+00,9.898610E-02,0.000000E+00,2.149121E+03,0.000000E+00,1.108944E-01,0.000000E+00,2.357050E+03,0.000000E+00,1.216237E-01,0.000000E+00,2.144259E+03,0.000000E+00,1.106434E-01,0.000000E+00,6.499111E+03,0.000000E+00,3.352910E-01,0.000000E+00
03:15:00,1.947223E+03,0.000000E+00,1.004756E-01,0.000000E+00,2.175806E+03,0.000000E+00,1.122712E-01,0.000000E+00,2.383147E+03,0.000000E+00,1.229702E-01,0.000000E+00,2.171157E+03,0.000000E+00,1.120313E-01,0.000000E+00,6.548321E+03,0.000000E+00,3.378291E-01,0.000000E+00
03:30:00,1.976078E+03,0.000000E+00,1.019643E-01,0.000000E+00,2.202515E+03,0.000000E+00,1.136493E-01,0.000000E+00,2.409264E+03,0.000000E+00,1.243177E-01,0.000000E+00,2.198093E+03,0.000000E+00,1.134210E-01,0.000000E+00,6.597577E+03,0.000000E+00,3.403695E-01,0.000000E+00
03:45:00,2.004903E+03,0.000000E+00,1.034515E-01,0.000000E+00,2.229240E+03,0.000000E+00,1.150281E-01,0.000000E+00,2.435392E+03,0.000000E+00,1.256657E-01,0.000000E+00,2.225056E+03,0.000000E+00,1.148121E-01,0.000000E+00,6.646868E+03,0.000000E+00,3.429113E-01,0.000000E+00
04:00:00,2.033690E+03,0.000000E+00,1.049366E-01,0.000000E+00,2.255976E+03,0.000000E+00,1.164074E-01,0.000000E+00,2.461526E+03,0.000000E+00,1.270139E-01,0.000000E+00,2.252039E+03,0.000000E+00,1.162042E-01,0.000000E+00,6.696193E+03,0.000000E+00,3.454542E-01,0.000000E+00
04:15:00,2.062431E+03,0.000000E+00,1.064191E-01,0.000000E+00,2.282722E+03,0.000000E+00,1.177871E-01,0.000000E+00,2.487667E+03,0.000000E+00,1.283624E-01,0.000000E+00,2.279043E+03,0.000000E+00,1.175972E-01,0.000000E+00,6.745574E+03,0.000000E+00,3.479994E-01,0.000000E+00
04:30:00,2.091115E+03,0.000000E+00,1.078987E-01,0.000000E+00,2.309476E+03,0.000000E+00,1.191671E-01,0.000000E+00,2.513813E+03,0.000000E+00,1.297109E-01,0.000000E+00,2.306063E+03,0.000000E+00,1.189909E-01,0.000000E+00,6.795012E+03,0.000000E+00,3.505469E-01,0.000000E+00
04:45:00,2.119729E+03,0.000000E+00,1.093746E-01,0.000000E+00,2.336237E+03,0.000000E+00,1.205474E-01,0.000000E+00,2.539961E+03,0.000000E+00,1.310596E-01,0.000000E+00,2.333097E+03,0.000000E+00,1.203853E-01,0.000000E+00,6.844519E+03,0.000000E+00,3.530981E-01,0.000000E+00
05:00:00,2.148256E+03,0.000000E+00,1.108460E-01,0.000000E+00,2.363001E+03,0.000000E+00,1.219279E-01,0.000000E+00,2.566109E+03,0.000000E+00,1.324082E-01,0.000000E+00,2.360142E+03,0.000000E+00,1.217803E-01,0.000000E+00,6.894090E+03,0.000000E+00,3.556527E-01,0.000000E+00
05:15:00,2.176595E+03,0.000000E+00,1.123076E-01,0.000000E+00,2.389695E+03,0.000000E+00,1.233048E-01,0.000000E+00,2.592182E+03,0.000000E+00,1.337530E-01,0.000000E+00,2.387121E+03,0.000000E+00,1.231719E-01,0.000000E+00,6.943327E+03,0.000000E+00,3.581903E-01,0.000000E+00
05:30:00,2.204671E+03,0.000000E+00,1.137557E-01,0.000000E+00,2.416314E+03,0.000000E+00,1.246778E-01,0.000000E+00,2.618176E+03,0.000000E+00,1.350937E-01,0.000000E+00,2.414032E+03,0.000000E+00,1.245599E-01,0.000000E+00,6.992222E+03,0.000000E+00,3.607104E-01,0.000000E+00
05:45:00,2.232581E+03,0.000000E+00,1.151952E-01,0.000000E+00,2.442854E+03,0.000000E+00,1.260468E-01,0.000000E+00,2.644088E+03,0.000000E+00,1.364303E-01,0.000000E+00,2.440868E+03,0.000000E+00,1.259442E-01,0.000000E+00,7.040765E+03,0.000000E+00,3.632123E-01,0.000000E+00
06:00:00,2.260438E+03,0.000000E+00,1.166320E-01,0.000000E+00,2.469312E+03,0.000000E+00,1.274115E-01,0.000000E+00,2.669914E+03,0.000000E+00,1.377623E-01,0.000000E+00,2.467627E+03,0.000000E+00,1.273245E-01,0.000000E+00,7.088951E+03,0.000000E+00,3.656959E-01,0.000000E+00
06:15:00,2.016415E+03,0.000000E+00,1.040407E-01,0.000000E+00,2.223922E+03,0.000000E+00,1.147495E-01,0.000000E+00,2.423755E+03,0.000000E+00,1.250607E-01,0.000000E+00,2.222495E+03,0.000000E+00,1.146758E-01,0.000000E+00,5.541125E+03,0.000000E+00,2.858476E-01,0.000000E+00
06:30:00,1.770350E+03,0.000000E+00,9.134646E-02,0.000000E+00,1.976414E+03,0.000000E+00,1.019805E-01,0.000000E+00,2.175335E+03,0.000000E+00,1.122446E-01,0.000000E+00,1.975201E+03,0.000000E+00,1.019179E-01,0.000000E+00,3.984406E+03,0.000000E+00,2.055461E-01,0.000000E+00
06:45:00,1.522083E+03,0.000000E+00,7.853975E-02,0.000000E+00,1.726700E+03,0.000000E+00,8.909909E-02,0.000000E+00,1.924570E+03,0.000000E+00,9.930928E-02,0.000000E+00,1.725655E+03,0.000000E+00,8.904509E-02,0.000000E+00,2.417798E+03,0.000000E+00,1.247354E-01,0.000000E+00
07:00:00,1.271514E+03,0.000000E+00,6.561505E-02,0.000000E+00,1.474748E+03,0.000000E+00,7.610318E-02,0.000000E+00,1.671417E+03,0.000000E+00,8.625200E-02,0.000000E+00,1.473822E+03,0.000000E+00,7.605534E-02,0.000000E+00,8.414443E+02,0.000000E+00,4.342267E-02,0.000000E+00
07:15:00,1.290523E+03,0.000000E+00,6.660028E-02,0.000000E+00,1.492330E+03,0.000000E+00,7.701532E-02,0.000000E+00,1.687771E+03,0.000000E+00,8.710148E-02,0.000000E+00,1.491517E+03,0.000000E+00,7.697330E-02,0.000000E+00,8.513858E+02,0.000000E+00,4.394130E-02,0.000000E+00
07:30:00,1.307808E+03,0.000000E+00,6.749482E-02,0.000000E+00,1.508064E+03,0.000000E+00,7.783043E-02,0.000000E+00,1.702900E+03,0.000000E+00,8.788621E-02,0.000000E+00,1.508122E+03,0.000000E+00,7.783343E-02,0.000000E+00,8.604272E+02,0.000000E+00,4.440870E-02,0.000000E+00
07:45:00,1.318547E+03,0.000000E+00,6.805089E-02,0.000000E+00,1.515884E+03,0.000000E+00,7.823622E-02,0.000000E+00,1.716327E+03,0.000000E+00,8.858181E-02,0.000000E+00,1.523218E+03,0.000000E+00,7.861472E-02,0.000000E+00,8.695164E+02,0.000000E+00,4.487828E-02,0.000000E+00
08:00:00,1.320668E+03,0.000000E+00,6.816166E-02,0.000000E+00,1.515090E+03,0.000000E+00,7.819674E-02,0.000000E+00,1.727468E+03,0.000000E+00,8.915852E-02,0.000000E+00,1.536212E+03,0.000000E+00,7.928690E-02,0.000000E+00,8.782564E+02,0.000000E+00,4.532971E-02,0.000000E+00
08:15:00,1.313595E+03,1.543142E+03,6.779764E-02,1.129781E-01,1.505117E+03,1.531623E+03,7.768311E-02,1.116827E-01,1.735970E+03,1.547535E+03,8.959853E-02,1.132515E-01,1.546809E+03,1.567791E+03,7.983495E-02,1.140658E-01,8.865106E+02,2.218126E+03,4.575597E-02,1.873626E-01
08:30:00,1.297967E+03,3.512235E+03,6.699173E-02,3.037909E-01,1.487631E+03,3.599788E+03,7.678131E-02,3.121079E-01,1.742490E+03,3.521252E+03,8.993579E-02,3.044940E-01,1.555600E+03,3.601746E+03,8.028943E-02,3.110213E-01,8.943750E+02,5.287386E+03,4.616205E-02,4.860658E-01
08:45:00,1.277470E+03,5.226955E+03,6.593436E-02,4.712673E-01,1.468666E+03,5.404918E+03,7.580298E-02,4.884097E-01,1.747866E+03,5.239849E+03,9.021379E-02,4.723417E-01,1.563268E+03,5.371601E+03,8.068570E-02,4.838250E-01,9.017999E+02,7.951854E+03,4.654540E-02,7.467367E-01
09:00:00,1.254053E+03,6.845990E+03,6.472604E-02,6.297306E-01,1.449696E+03,7.113663E+03,7.482419E-02,6.556465E-01,1.752800E+03,6.862150E+03,9.046876E-02,6.311218E-01,1.570399E+03,7.042178E+03,8.105410E-02,6.473094E-01,9.088373E+02,1.046203E+04,4.690871E-02,9.926015E-01
09:15:00,1.224029E+03,6.851264E+03,6.317666E-02,6.684204E-01,1.428585E+03,7.218460E+03,7.373482E-02,7.042474E-01,1.754181E+03,6.865795E+03,9.054027E-02,6.698078E-01,1.574207E+03,7.071455E+03,8.125092E-02,6.896676E-01,9.153669E+02,1.062823E+04,4.724579E-02,1.038840E+00
09:30:00,1.187567E+03,6.378632E+03,6.129490E-02,6.242268E-01,1.405525E+03,6.732920E+03,7.254470E-02,6.588815E-01,1.752096E+03,6.390906E+03,9.043277E-02,6.254164E-01,1.574654E+03,6.580268E+03,8.127412E-02,6.438651E-01,9.210584E+02,9.844515E+03,4.753959E-02,9.640713E-01
09:45:00,1.148183E+03,6.120034E+03,5.926222E-02,5.994319E-01,1.383263E+03,6.467371E+03,7.139581E-02,6.334377E-01,1.746083E+03,6.130462E+03,9.012247E-02,6.004489E-01,1.571284E+03,6.310859E+03,8.110030E-02,6.180845E-01,9.256731E+02,9.384303E+03,4.777780E-02,9.193736E-01
10:00:00,1.106456E+03,5.924862E+03,5.710865E-02,5.804940E-01,1.361867E+03,6.262883E+03,7.029152E-02,6.136034E-01,1.735585E+03,5.933745E+03,8.958068E-02,5.813627E-01,1.563660E+03,6.106703E+03,8.070689E-02,5.982951E-01,9.290604E+02,9.009687E+03,4.795265E-02,8.827516E-01
10:15:00,1.066641E+03,5.773729E+03,5.505368E-02,5.657489E-01,1.344225E+03,6.101084E+03,6.938098E-02,5.978205E-01,1.723231E+03,5.781271E+03,8.894310E-02,5.664872E-01,1.554037E+03,5.947862E+03,8.021025E-02,5.828055E-01,9.310819E+02,8.701507E+03,4.805700E-02,8.525731E-01
10:30:00,1.028549E+03,5.652156E+03,5.308762E-02,5.538583E-01,1.329649E+03,5.967358E+03,6.862869E-02,5.847421E-01,1.708809E+03,5.658449E+03,8.819872E-02,5.544747E-01,1.542229E+03,5.819409E+03,7.960081E-02,5.702448E-01,9.316107E+02,8.439624E+03,4.808431E-02,8.269175E-01
10:45:00,9.904437E+02,5.551590E+03,5.112088E-02,5.440117E-01,1.315561E+03,5.854411E+03,6.790158E-02,5.736836E-01,1.691906E+03,5.556687E+03,8.732630E-02,5.445111E-01,1.527895E+03,5.712561E+03,7.886098E-02,5.597841E-01,9.305147E+02,8.212340E+03,4.802774E-02,8.046490E-01
11:00:00,9.516297E+02,5.466170E+03,4.911754E-02,5.356444E-01,1.300553E+03,5.756973E+03,6.712695E-02,5.641392E-01,1.672246E+03,5.470101E+03,8.631160E-02,5.360296E-01,1.510756E+03,5.621310E+03,7.797639E-02,5.508461E-01,9.276659E+02,8.010778E+03,4.788071E-02,7.849003E-01
11:15:00,9.123848E+02,5.392098E+03,4.709196E-02,5.283874E-01,1.283938E+03,5.670701E+03,6.626937E-02,5.556868E-01,1.649481E+03,5.394884E+03,8.513662E-02,5.286604E-01,1.490698E+03,5.541754E+03,7.694114E-02,5.430518E-01,9.229726E+02,7.828684E+03,4.763847E-02,7.670588E-01
11:30:00,8.724832E+02,5.326682E+03,4.503248E-02,5.219780E-01,1.266200E+03,5.590727E+03,6.535387E-02,5.478508E-01,1.623512E+03,5.328349E+03,8.379624E-02,5.221413E-01,1.467465E+03,5.471142E+03,7.574200E-02,5.361333E-01,9.163915E+02,7.661721E+03,4.729879E-02,7.507000E-01
11:45:00,8.313330E+02,5.267845E+03,4.290855E-02,5.162129E-01,1.248789E+03,5.511755E+03,6.445520E-02,5.401128E-01,1.594257E+03,5.268422E+03,8.228625E-02,5.162694E-01,1.440960E+03,5.407358E+03,7.437396E-02,5.298835E-01,9.079234E+02,7.506220E+03,4.686172E-02,7.354641E-01
12:00:00,7.886712E+02,5.214318E+03,4.070661E-02,5.109681E-01,1.234463E+03,5.429345E+03,6.371578E-02,5.320376E-01,1.561902E+03,5.213839E+03,8.061627E-02,5.109211E-01,1.411259E+03,5.349115E+03,7.284096E-02,5.241766E-01,8.976104E+02,7.360271E+03,4.632942E-02,7.211641E-01
12:15:00,7.458266E+02,5.165571E+03,3.849522E-02,5.061916E-01,1.226580E+03,5.343195E+03,6.330893E-02,5.235958E-01,1.528885E+03,5.164074E+03,7.891214E-02,5.060449E-01,1.380301E+03,5.295813E+03,7.124308E-02,5.189538E-01,8.855385E+02,7.222399E+03,4.570635E-02,7.076554E-01
12:30:00,7.036868E+02,5.120971E+03,3.632021E-02,5.018214E-01,1.222251E+03,5.262394E+03,6.308548E-02,5.156782E-01,1.495389E+03,5.118503E+03,7.718329E-02,5.015795E-01,1.348405E+03,5.246889E+03,6.959680E-02,5.141599E-01,8.718307E+02,7.091424E+03,4.499883E-02,6.948225E-01
12:45:00,6.625200E+02,5.080038E+03,3.419542E-02,4.978105E-01,1.214631E+03,5.193115E+03,6.269220E-02,5.088897E-01,1.461632E+03,5.076667E+03,7.544093E-02,4.974802E-01,1.311327E+03,5.201992E+03,6.768307E-02,5.097606E-01,8.566118E+02,6.966532E+03,4.421331E-02,6.825856E-01
13:00:00,6.226808E+02,5.042414E+03,3.213916E-02,4.941239E-01,1.199499E+03,5.138835E+03,6.191114E-02,5.035712E-01,1.427537E+03,5.038222E+03,7.368113E-02,4.937131E-01,1.263822E+03,5.160789E+03,6.523113E-02,5.057232E-01,8.399419E+02,6.847152E+03,4.335291E-02,6.708887E-01
