Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.040234E+03,0.000000E+00,5.368836E-02,0.000000E+00,9.727864E+02,0.000000E+00,5.020022E-02,0.000000E+00,1.144704E+03,0.000000E+00,5.907211E-02,0.000000E+00,9.385290E+02,0.000000E+00,4.843244E-02,0.000000E+00,4.505158E+03,0.000000E+00,2.324667E-01,0.000000E+00
00:30:00,1.122475E+03,0.000000E+00,5.793312E-02,0.000000E+00,1.071256E+03,0.000000E+00,5.528024E-02,0.000000E+00,1.249944E+03,0.000000E+00,6.450185E-02,0.000000E+00,1.035396E+03,0.000000E+00,5.342938E-02,0.000000E+00,4.810674E+03,0.000000E+00,2.482215E-01,0.000000E+00
00:45:00,1.204000E+03,0.000000E+00,6.214086E-02,0.000000E+00,1.170522E+03,0.000000E+00,6.040145E-02,0.000000E+00,1.356010E+03,0.000000E+00,6.997423E-02,0.000000E+00,1.132636E+03,0.000000E+00,5.844576E-02,0.000000E+00,5.111702E+03,0.000000E+00,2.637442E-01,0.000000E+00
01:00:00,1.284748E+03,0.000000E+00,6.630848E-02,0.000000E+00,1.270647E+03,0.000000E+00,6.556707E-02,0.000000E+00,1.462692E+03,0.000000E+00,7.547830E-02,0.000000E+00,1.230405E+03,0.000000E+00,6.348955E-02,0.000000E+00,5.407765E+03,0.000000E+00,2.790099E-01,0.000000E+00
01:15:00,1.320559E+03,0.000000E+00,6.815663E-02,0.000000E+00,1.316983E+03,0.000000E+00,6.795830E-02,0.000000E+00,1.510737E+03,0.000000E+00,7.795758E-02,0.000000E+00,1.275257E+03,0.000000E+00,6.580425E-02,0.000000E+00,5.505171E+03,0.000000E+00,2.840323E-01,0.000000E+00
01:30:00,1.357177E+03,0.000000E+00,7.004640E-02,0.000000E+00,1.364281E+03,0.000000E+00,7.039901E-02,0.000000E+00,1.559386E+03,0.000000E+00,8.046786E-02,0.000000E+00,1.321313E+03,0.000000E+00,6.818109E-02,0.000000E+00,5.602945E+03,0.000000E+00,2.890721E-01,0.000000E+00
01:45:00,1.394568E+03,0.000000E+00,7.197611E-02,0.000000E+00,1.412461E+03,0.000000E+00,7.288515E-02,0.000000E+00,1.608551E+03,0.000000E+00,8.300471E-02,0.000000E+00,1.368396E+03,0.000000E+00,7.061078E-02,0.000000E+00,5.700939E+03,0.000000E+00,2.941228E-01,0.000000E+00
02:00:00,1.432704E+03,0.000000E+00,7.394422E-02,0.000000E+00,1.461403E+03,0.000000E+00,7.541064E-02,0.000000E+00,1.658148E+03,0.000000E+00,8.556385E-02,0.000000E+00,1.416408E+03,0.000000E+00,7.308830E-02,0.000000E+00,5.798935E+03,0.000000E+00,2.991734E-01,0.000000E+00
02:15:00,1.470515E+03,0.000000E+00,7.589554E-02,0.000000E+00,1.511039E+03,0.000000E+00,7.797185E-02,0.000000E+00,1.708196E+03,0.000000E+00,8.814624E-02,0.000000E+00,1.465313E+03,0.000000E+00,7.561186E-02,0.000000E+00,5.896631E+03,0.000000E+00,3.042083E-01,0.000000E+00
02:30:00,1.507970E+03,0.000000E+00,7.782850E-02,0.000000E+00,1.561265E+03,0.000000E+00,8.056355E-02,0.000000E+00,1.758625E+03,0.000000E+00,9.074833E-02,0.000000E+00,1.514934E+03,0.000000E+00,7.817239E-02,0.000000E+00,5.993527E+03,0.000000E+00,3.092015E-01,0.000000E+00
