,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,887.25,0.00,1514.32,0.00,62.65,0.00,799.06,0.00,0.00,0.00,0.00,0.00,0.00
February,806.98,0.00,1351.44,0.00,18.07,0.00,131.64,105.72,0.00,0.00,0.00,0.00,0.00
March,925.79,0.00,1522.35,0.00,66.51,0.00,9.94,933.79,0.00,0.00,0.00,0.00,0.00
April,810.72,0.00,1404.47,0.00,167.68,0.00,0.00,2537.17,0.00,0.00,0.00,0.00,0.00
May,925.79,0.00,1522.35,0.00,270.35,0.00,0.00,4214.17,0.00,0.00,0.00,0.00,0.00
June,886.18,0.00,1465.38,0.00,289.23,0.00,0.00,4493.34,0.00,0.00,0.00,0.00,0.00
July,850.32,0.00,1461.44,0.00,228.80,0.00,0.00,3398.60,0.00,0.00,0.00,0.00,0.00
August,925.79,0.00,1522.35,0.00,230.63,0.00,0.00,3394.97,0.00,0.00,0.00,0.00,0.00
September,849.25,0.00,1412.49,0.00,211.03,0.00,0.00,3122.75,0.00,0.00,0.00,0.00,0.00
October,887.25,0.00,1514.32,0.00,112.64,0.00,0.00,1615.76,0.00,0.00,0.00,0.00,0.00
November,886.18,0.00,1465.38,0.00,25.08,0.00,22.14,333.41,0.00,0.00,0.00,0.00,0.00
December,850.32,0.00,1461.44,0.00,42.76,0.00,559.06,5.14,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10491.82,,17617.73,,1725.43,,1521.84,24154.81,,,,,
Minimum of Months,806.98,0.00,1351.44,0.00,18.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,925.79,0.00,1522.35,0.00,289.23,0.00,799.06,4493.34,0.00,0.00,0.00,0.00,0.00
