,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
Heating,1521.84,0.00,0.00,0.00,0.00,0.00
Cooling,24154.81,0.00,0.00,0.00,0.00,0.00
Interior Lighting,10491.82,0.00,0.00,0.00,0.00,0.00
Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
Interior Equipment,17617.73,0.00,0.00,0.00,0.00,0.00
Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
Fans,1725.43,0.00,0.00,0.00,0.00,0.00
Pumps,0.00,0.00,0.00,0.00,0.00,0.00
Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
Humidification,0.00,0.00,0.00,0.00,0.00,0.00
Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,
Total End Uses,55511.63,0.00,0.00,0.00,0.00,0.00
