Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.825443E+03,0.000000E+00,9.420218E-02,0.000000E+00,2.238314E+03,0.000000E+00,1.155084E-01,0.000000E+00,2.456569E+03,0.000000E+00,1.267715E-01,0.000000E+00,2.203224E+03,0.000000E+00,1.136975E-01,0.000000E+00,7.031123E+03,0.000000E+00,3.628128E-01,0.000000E+00
00:30:00,1.925466E+03,0.000000E+00,9.936210E-02,0.000000E+00,2.336514E+03,0.000000E+00,1.205740E-01,0.000000E+00,2.552437E+03,0.000000E+00,1.317166E-01,0.000000E+00,2.300212E+03,0.000000E+00,1.187006E-01,0.000000E+00,7.323095E+03,0.000000E+00,3.778693E-01,0.000000E+00
00:45:00,2.025056E+03,0.000000E+00,1.044997E-01,0.000000E+00,2.434273E+03,0.000000E+00,1.256168E-01,0.000000E+00,2.647874E+03,0.000000E+00,1.366395E-01,0.000000E+00,2.396821E+03,0.000000E+00,1.236841E-01,0.000000E+00,7.609851E+03,0.000000E+00,3.926566E-01,0.000000E+00
01:00:00,2.124154E+03,0.000000E+00,1.096118E-01,0.000000E+00,2.531546E+03,0.000000E+00,1.306345E-01,0.000000E+00,2.742833E+03,0.000000E+00,1.415376E-01,0.000000E+00,2.492996E+03,0.000000E+00,1.286452E-01,0.000000E+00,7.891327E+03,0.000000E+00,4.071712E-01,0.000000E+00
01:15:00,2.163806E+03,0.000000E+00,1.116578E-01,0.000000E+00,2.569137E+03,0.000000E+00,1.325742E-01,0.000000E+00,2.778804E+03,0.000000E+00,1.433937E-01,0.000000E+00,2.530390E+03,0.000000E+00,1.305747E-01,0.000000E+00,7.974351E+03,0.000000E+00,4.114538E-01,0.000000E+00
01:30:00,2.203616E+03,0.000000E+00,1.137118E-01,0.000000E+00,2.606897E+03,0.000000E+00,1.345224E-01,0.000000E+00,2.814953E+03,0.000000E+00,1.452587E-01,0.000000E+00,2.568002E+03,0.000000E+00,1.325153E-01,0.000000E+00,8.057896E+03,0.000000E+00,4.157622E-01,0.000000E+00
01:45:00,2.243542E+03,0.000000E+00,1.157717E-01,0.000000E+00,2.644796E+03,0.000000E+00,1.364778E-01,0.000000E+00,2.851249E+03,0.000000E+00,1.471313E-01,0.000000E+00,2.605797E+03,0.000000E+00,1.344653E-01,0.000000E+00,8.141923E+03,0.000000E+00,4.200953E-01,0.000000E+00
02:00:00,2.283538E+03,0.000000E+00,1.178353E-01,0.000000E+00,2.682798E+03,0.000000E+00,1.384384E-01,0.000000E+00,2.887657E+03,0.000000E+00,1.490096E-01,0.000000E+00,2.643733E+03,0.000000E+00,1.364225E-01,0.000000E+00,8.226366E+03,0.000000E+00,4.244504E-01,0.000000E+00
02:15:00,2.323656E+03,0.000000E+00,1.199051E-01,0.000000E+00,2.720967E+03,0.000000E+00,1.404076E-01,0.000000E+00,2.924238E+03,0.000000E+00,1.508969E-01,0.000000E+00,2.681870E+03,0.000000E+00,1.383901E-01,0.000000E+00,8.311144E+03,0.000000E+00,4.288231E-01,0.000000E+00
02:30:00,2.363855E+03,0.000000E+00,1.219792E-01,0.000000E+00,2.759270E+03,0.000000E+00,1.423839E-01,0.000000E+00,2.960960E+03,0.000000E+00,1.527916E-01,0.000000E+00,2.720172E+03,0.000000E+00,1.403663E-01,0.000000E+00,8.396193E+03,0.000000E+00,4.332105E-01,0.000000E+00
