Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.045336E+03,0.000000E+00,5.395173E-02,0.000000E+00,9.737137E+02,0.000000E+00,5.024817E-02,0.000000E+00,1.147236E+03,0.000000E+00,5.920284E-02,0.000000E+00,9.390598E+02,0.000000E+00,4.845994E-02,0.000000E+00,4.483699E+03,0.000000E+00,2.313607E-01,0.000000E+00
00:30:00,1.128703E+03,0.000000E+00,5.825457E-02,0.000000E+00,1.073202E+03,0.000000E+00,5.538077E-02,0.000000E+00,1.253537E+03,0.000000E+00,6.468735E-02,0.000000E+00,1.036958E+03,0.000000E+00,5.351011E-02,0.000000E+00,4.794060E+03,0.000000E+00,2.473659E-01,0.000000E+00
00:45:00,1.211354E+03,0.000000E+00,6.252045E-02,0.000000E+00,1.173507E+03,0.000000E+00,6.055563E-02,0.000000E+00,1.360709E+03,0.000000E+00,7.021679E-02,0.000000E+00,1.135231E+03,0.000000E+00,5.857980E-02,0.000000E+00,5.100063E+03,0.000000E+00,2.631456E-01,0.000000E+00
01:00:00,1.293229E+03,0.000000E+00,6.674623E-02,0.000000E+00,1.274684E+03,0.000000E+00,6.577549E-02,0.000000E+00,1.468535E+03,0.000000E+00,7.577993E-02,0.000000E+00,1.234025E+03,0.000000E+00,6.367651E-02,0.000000E+00,5.401211E+03,0.000000E+00,2.786739E-01,0.000000E+00
01:15:00,1.329546E+03,0.000000E+00,6.862047E-02,0.000000E+00,1.321660E+03,0.000000E+00,6.819976E-02,0.000000E+00,1.517270E+03,0.000000E+00,7.829478E-02,0.000000E+00,1.279486E+03,0.000000E+00,6.602257E-02,0.000000E+00,5.501683E+03,0.000000E+00,2.838546E-01,0.000000E+00
01:30:00,1.366673E+03,0.000000E+00,7.053655E-02,0.000000E+00,1.369616E+03,0.000000E+00,7.067446E-02,0.000000E+00,1.566618E+03,0.000000E+00,8.084119E-02,0.000000E+00,1.326177E+03,0.000000E+00,6.843222E-02,0.000000E+00,5.602526E+03,0.000000E+00,2.890530E-01,0.000000E+00
01:45:00,1.404578E+03,0.000000E+00,7.249277E-02,0.000000E+00,1.418471E+03,0.000000E+00,7.319542E-02,0.000000E+00,1.616492E+03,0.000000E+00,8.341461E-02,0.000000E+00,1.373916E+03,0.000000E+00,7.089572E-02,0.000000E+00,5.703590E+03,0.000000E+00,2.942622E-01,0.000000E+00
02:00:00,1.443231E+03,0.000000E+00,7.448757E-02,0.000000E+00,1.468102E+03,0.000000E+00,7.575642E-02,0.000000E+00,1.666805E+03,0.000000E+00,8.601068E-02,0.000000E+00,1.422600E+03,0.000000E+00,7.340796E-02,0.000000E+00,5.804641E+03,0.000000E+00,2.994705E-01,0.000000E+00
02:15:00,1.481559E+03,0.000000E+00,7.646558E-02,0.000000E+00,1.518436E+03,0.000000E+00,7.835372E-02,0.000000E+00,1.717575E+03,0.000000E+00,8.863035E-02,0.000000E+00,1.472192E+03,0.000000E+00,7.596699E-02,0.000000E+00,5.905375E+03,0.000000E+00,3.046623E-01,0.000000E+00
02:30:00,1.519531E+03,0.000000E+00,7.842519E-02,0.000000E+00,1.569371E+03,0.000000E+00,8.098198E-02,0.000000E+00,1.768731E+03,0.000000E+00,9.126999E-02,0.000000E+00,1.522512E+03,0.000000E+00,7.856358E-02,0.000000E+00,6.005271E+03,0.000000E+00,3.098104E-01,0.000000E+00
02:45:00,1.557122E+03,0.000000E+00,8.036511E-02,0.000000E+00,1.620813E+03,0.000000E+00,8.363643E-02,0.000000E+00,1.820210E+03,0.000000E+00,9.392628E-02,0.000000E+00,1.573450E+03,0.000000E+00,8.119203E-02,0.000000E+00,6.103472E+03,0.000000E+00,3.148698E-01,0.000000E+00
03:00:00,1.594311E+03,0.000000E+00,8.228430E-02,0.000000E+00,1.672682E+03,0.000000E+00,8.631286E-02,0.000000E+00,1.871955E+03,0.000000E+00,9.659627E-02,0.000000E+00,1.624908E+03,0.000000E+00,8.384736E-02,0.000000E+00,6.198246E+03,0.000000E+00,3.197495E-01,0.000000E+00
03:15:00,1.629786E+03,0.000000E+00,8.411500E-02,0.000000E+00,1.724854E+03,0.000000E+00,8.900499E-02,0.000000E+00,1.923863E+03,0.000000E+00,9.927474E-02,0.000000E+00,1.676754E+03,0.000000E+00,8.652266E-02,0.000000E+00,6.294125E+03,0.000000E+00,3.246800E-01,0.000000E+00
03:30:00,1.663490E+03,0.000000E+00,8.585427E-02,0.000000E+00,1.777271E+03,0.000000E+00,9.170973E-02,0.000000E+00,1.975893E+03,0.000000E+00,1.019595E-01,0.000000E+00,1.728916E+03,0.000000E+00,8.921427E-02,0.000000E+00,6.391811E+03,0.000000E+00,3.297117E-01,0.000000E+00
03:45:00,1.695364E+03,0.000000E+00,8.749908E-02,0.000000E+00,1.829881E+03,0.000000E+00,9.442441E-02,0.000000E+00,2.028004E+03,0.000000E+00,1.046484E-01,0.000000E+00,1.781334E+03,0.000000E+00,9.191905E-02,0.000000E+00,6.492354E+03,0.000000E+00,3.348969E-01,0.000000E+00
04:00:00,1.725335E+03,0.000000E+00,8.904574E-02,0.000000E+00,1.882641E+03,0.000000E+00,9.714678E-02,0.000000E+00,2.080166E+03,0.000000E+00,1.073398E-01,0.000000E+00,1.833957E+03,0.000000E+00,9.463436E-02,0.000000E+00,6.597920E+03,0.000000E+00,3.403470E-01,0.000000E+00
04:15:00,1.754769E+03,0.000000E+00,9.056475E-02,0.000000E+00,1.935517E+03,0.000000E+00,9.987505E-02,0.000000E+00,2.132351E+03,0.000000E+00,1.100324E-01,0.000000E+00,1.886745E+03,0.000000E+00,9.735811E-02,0.000000E+00,6.704521E+03,0.000000E+00,3.458590E-01,0.000000E+00
04:30:00,1.783584E+03,0.000000E+00,9.205182E-02,0.000000E+00,1.988474E+03,0.000000E+00,1.026074E-01,0.000000E+00,2.184535E+03,0.000000E+00,1.127248E-01,0.000000E+00,1.939658E+03,0.000000E+00,1.000883E-01,0.000000E+00,6.812146E+03,0.000000E+00,3.514184E-01,0.000000E+00
