,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,910.94,0.00,1554.76,0.00,62.81,0.00,800.64,0.00,0.00,0.00,0.00,0.00,0.00
February,828.53,0.00,1387.53,0.00,18.36,0.00,131.19,110.27,0.00,0.00,0.00,0.00,0.00
March,950.50,0.00,1562.99,0.00,68.23,0.00,9.80,958.50,0.00,0.00,0.00,0.00,0.00
April,832.37,0.00,1441.97,0.00,171.04,0.00,0.00,2587.95,0.00,0.00,0.00,0.00,0.00
May,950.50,0.00,1562.99,0.00,275.36,0.00,0.00,4292.61,0.00,0.00,0.00,0.00,0.00
June,909.85,0.00,1504.51,0.00,294.59,0.00,0.00,4577.03,0.00,0.00,0.00,0.00,0.00
July,873.02,0.00,1500.46,0.00,233.07,0.00,0.00,3462.38,0.00,0.00,0.00,0.00,0.00
August,950.50,0.00,1562.99,0.00,235.04,0.00,0.00,3460.17,0.00,0.00,0.00,0.00,0.00
September,871.93,0.00,1450.21,0.00,215.10,0.00,0.00,3183.27,0.00,0.00,0.00,0.00,0.00
October,910.94,0.00,1554.76,0.00,115.10,0.00,0.00,1651.22,0.00,0.00,0.00,0.00,0.00
November,909.85,0.00,1504.51,0.00,25.81,0.00,22.03,344.09,0.00,0.00,0.00,0.00,0.00
December,873.02,0.00,1500.46,0.00,42.89,0.00,560.14,5.44,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,10771.96,,18088.14,,1757.41,,1523.80,24632.95,,,,,
Minimum of Months,828.53,0.00,1387.53,0.00,18.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,950.50,0.00,1562.99,0.00,294.59,0.00,800.64,4577.03,0.00,0.00,0.00,0.00,0.00
