Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.842063E+03,0.000000E+00,9.505999E-02,0.000000E+00,2.259279E+03,0.000000E+00,1.165904E-01,0.000000E+00,2.480204E+03,0.000000E+00,1.279913E-01,0.000000E+00,2.223780E+03,0.000000E+00,1.147585E-01,0.000000E+00,7.122345E+03,0.000000E+00,3.675207E-01,0.000000E+00
00:30:00,1.943072E+03,0.000000E+00,1.002708E-01,0.000000E+00,2.358445E+03,0.000000E+00,1.217058E-01,0.000000E+00,2.577023E+03,0.000000E+00,1.329855E-01,0.000000E+00,2.321720E+03,0.000000E+00,1.198106E-01,0.000000E+00,7.418288E+03,0.000000E+00,3.827821E-01,0.000000E+00
00:45:00,2.043658E+03,0.000000E+00,1.054597E-01,0.000000E+00,2.457181E+03,0.000000E+00,1.267991E-01,0.000000E+00,2.673421E+03,0.000000E+00,1.379579E-01,0.000000E+00,2.419291E+03,0.000000E+00,1.248438E-01,0.000000E+00,7.709104E+03,0.000000E+00,3.977790E-01,0.000000E+00
01:00:00,2.143760E+03,0.000000E+00,1.106237E-01,0.000000E+00,2.555442E+03,0.000000E+00,1.318678E-01,0.000000E+00,2.769353E+03,0.000000E+00,1.429063E-01,0.000000E+00,2.516441E+03,0.000000E+00,1.298552E-01,0.000000E+00,7.994725E+03,0.000000E+00,4.125074E-01,0.000000E+00
01:15:00,2.183921E+03,0.000000E+00,1.126960E-01,0.000000E+00,2.593524E+03,0.000000E+00,1.338328E-01,0.000000E+00,2.805804E+03,0.000000E+00,1.447872E-01,0.000000E+00,2.554324E+03,0.000000E+00,1.318100E-01,0.000000E+00,8.079949E+03,0.000000E+00,4.169036E-01,0.000000E+00
01:30:00,2.224240E+03,0.000000E+00,1.147763E-01,0.000000E+00,2.631777E+03,0.000000E+00,1.358065E-01,0.000000E+00,2.842435E+03,0.000000E+00,1.466771E-01,0.000000E+00,2.592428E+03,0.000000E+00,1.337759E-01,0.000000E+00,8.165714E+03,0.000000E+00,4.213265E-01,0.000000E+00
01:45:00,2.264674E+03,0.000000E+00,1.168624E-01,0.000000E+00,2.670170E+03,0.000000E+00,1.377873E-01,0.000000E+00,2.879214E+03,0.000000E+00,1.485746E-01,0.000000E+00,2.630716E+03,0.000000E+00,1.357513E-01,0.000000E+00,8.251978E+03,0.000000E+00,4.257752E-01,0.000000E+00
02:00:00,2.305178E+03,0.000000E+00,1.189521E-01,0.000000E+00,2.708666E+03,0.000000E+00,1.397734E-01,0.000000E+00,2.916105E+03,0.000000E+00,1.504778E-01,0.000000E+00,2.669146E+03,0.000000E+00,1.377340E-01,0.000000E+00,8.338673E+03,0.000000E+00,4.302463E-01,0.000000E+00
02:15:00,2.345803E+03,0.000000E+00,1.210481E-01,0.000000E+00,2.747329E+03,0.000000E+00,1.417682E-01,0.000000E+00,2.953171E+03,0.000000E+00,1.523901E-01,0.000000E+00,2.707778E+03,0.000000E+00,1.397272E-01,0.000000E+00,8.425712E+03,0.000000E+00,4.347358E-01,0.000000E+00
02:30:00,2.386506E+03,0.000000E+00,1.231482E-01,0.000000E+00,2.786128E+03,0.000000E+00,1.437700E-01,0.000000E+00,2.990378E+03,0.000000E+00,1.543098E-01,0.000000E+00,2.746577E+03,0.000000E+00,1.417291E-01,0.000000E+00,8.513031E+03,0.000000E+00,4.392402E-01,0.000000E+00
02:45:00,2.427244E+03,0.000000E+00,1.252501E-01,0.000000E+00,2.825032E+03,0.000000E+00,1.457773E-01,0.000000E+00,3.027696E+03,0.000000E+00,1.562353E-01,0.000000E+00,2.785508E+03,0.000000E+00,1.437378E-01,0.000000E+00,8.600564E+03,0.000000E+00,4.437559E-01,0.000000E+00
03:00:00,2.467978E+03,0.000000E+00,1.273518E-01,0.000000E+00,2.864014E+03,0.000000E+00,1.477887E-01,0.000000E+00,3.065097E+03,0.000000E+00,1.581651E-01,0.000000E+00,2.824541E+03,0.000000E+00,1.457518E-01,0.000000E+00,8.688261E+03,0.000000E+00,4.482801E-01,0.000000E+00
03:15:00,2.508614E+03,0.000000E+00,1.294485E-01,0.000000E+00,2.902998E+03,0.000000E+00,1.498002E-01,0.000000E+00,3.102506E+03,0.000000E+00,1.600953E-01,0.000000E+00,2.863599E+03,0.000000E+00,1.477671E-01,0.000000E+00,8.776072E+03,0.000000E+00,4.528101E-01,0.000000E+00
03:30:00,2.549111E+03,0.000000E+00,1.315380E-01,0.000000E+00,2.941969E+03,0.000000E+00,1.518110E-01,0.000000E+00,3.139905E+03,0.000000E+00,1.620250E-01,0.000000E+00,2.902661E+03,0.000000E+00,1.497827E-01,0.000000E+00,8.863967E+03,0.000000E+00,4.573445E-01,0.000000E+00
03:45:00,2.589415E+03,0.000000E+00,1.336175E-01,0.000000E+00,2.980913E+03,0.000000E+00,1.538204E-01,0.000000E+00,3.177282E+03,0.000000E+00,1.639535E-01,0.000000E+00,2.941716E+03,0.000000E+00,1.517978E-01,0.000000E+00,8.951925E+03,0.000000E+00,4.618817E-01,0.000000E+00
04:00:00,2.629420E+03,0.000000E+00,1.356814E-01,0.000000E+00,3.019825E+03,0.000000E+00,1.558280E-01,0.000000E+00,3.214631E+03,0.000000E+00,1.658805E-01,0.000000E+00,2.980753E+03,0.000000E+00,1.538119E-01,0.000000E+00,9.039936E+03,0.000000E+00,4.664211E-01,0.000000E+00
04:15:00,2.669244E+03,0.000000E+00,1.377358E-01,0.000000E+00,3.058702E+03,0.000000E+00,1.578338E-01,0.000000E+00,3.251949E+03,0.000000E+00,1.678057E-01,0.000000E+00,3.019770E+03,0.000000E+00,1.558248E-01,0.000000E+00,9.128015E+03,0.000000E+00,4.709634E-01,0.000000E+00
04:30:00,2.709074E+03,0.000000E+00,1.397905E-01,0.000000E+00,3.097541E+03,0.000000E+00,1.598374E-01,0.000000E+00,3.289233E+03,0.000000E+00,1.697291E-01,0.000000E+00,3.058763E+03,0.000000E+00,1.578363E-01,0.000000E+00,9.216159E+03,0.000000E+00,4.755085E-01,0.000000E+00
04:45:00,2.749009E+03,0.000000E+00,1.418506E-01,0.000000E+00,3.136340E+03,0.000000E+00,1.618389E-01,0.000000E+00,3.326480E+03,0.000000E+00,1.716505E-01,0.000000E+00,3.097726E+03,0.000000E+00,1.598463E-01,0.000000E+00,9.304373E+03,0.000000E+00,4.800570E-01,0.000000E+00
05:00:00,2.789205E+03,0.000000E+00,1.439242E-01,0.000000E+00,3.175094E+03,0.000000E+00,1.638381E-01,0.000000E+00,3.363687E+03,0.000000E+00,1.735697E-01,0.000000E+00,3.136654E+03,0.000000E+00,1.618545E-01,0.000000E+00,9.392648E+03,0.000000E+00,4.846087E-01,0.000000E+00
05:15:00,2.829530E+03,0.000000E+00,1.460047E-01,0.000000E+00,3.213726E+03,0.000000E+00,1.658309E-01,0.000000E+00,3.400776E+03,0.000000E+00,1.754829E-01,0.000000E+00,3.175470E+03,0.000000E+00,1.638568E-01,0.000000E+00,9.480577E+03,0.000000E+00,4.891428E-01,0.000000E+00
05:30:00,2.869856E+03,0.000000E+00,1.480852E-01,0.000000E+00,3.252230E+03,0.000000E+00,1.678172E-01,0.000000E+00,3.437741E+03,0.000000E+00,1.773897E-01,0.000000E+00,3.214167E+03,0.000000E+00,1.658531E-01,0.000000E+00,9.568149E+03,0.000000E+00,4.936586E-01,0.000000E+00
05:45:00,2.910164E+03,0.000000E+00,1.501647E-01,0.000000E+00,3.290602E+03,0.000000E+00,1.697966E-01,0.000000E+00,3.474578E+03,0.000000E+00,1.792900E-01,0.000000E+00,3.252740E+03,0.000000E+00,1.678429E-01,0.000000E+00,9.655347E+03,0.000000E+00,4.981552E-01,0.000000E+00
