Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,7.416146E+02,0.000000E+00,3.827314E-02,0.000000E+00,1.182502E+03,0.000000E+00,6.102350E-02,0.000000E+00,1.383415E+03,0.000000E+00,7.139197E-02,0.000000E+00,1.145223E+03,0.000000E+00,5.909951E-02,0.000000E+00,4.184571E+03,0.000000E+00,2.159202E-01,0.000000E+00
00:30:00,8.228364E+02,0.000000E+00,4.246474E-02,0.000000E+00,1.272451E+03,0.000000E+00,6.566601E-02,0.000000E+00,1.464988E+03,0.000000E+00,7.560237E-02,0.000000E+00,1.213639E+03,0.000000E+00,6.263079E-02,0.000000E+00,4.297350E+03,0.000000E+00,2.217438E-01,0.000000E+00
00:45:00,8.946838E+02,0.000000E+00,4.617268E-02,0.000000E+00,1.353830E+03,0.000000E+00,6.986644E-02,0.000000E+00,1.537876E+03,0.000000E+00,7.936475E-02,0.000000E+00,1.273708E+03,0.000000E+00,6.573152E-02,0.000000E+00,4.377320E+03,0.000000E+00,2.258754E-01,0.000000E+00
01:00:00,9.570148E+02,0.000000E+00,4.938964E-02,0.000000E+00,1.426308E+03,0.000000E+00,7.360771E-02,0.000000E+00,1.601825E+03,0.000000E+00,8.266603E-02,0.000000E+00,1.325159E+03,0.000000E+00,6.838767E-02,0.000000E+00,4.424305E+03,0.000000E+00,2.283060E-01,0.000000E+00
01:15:00,9.922849E+02,0.000000E+00,5.120993E-02,0.000000E+00,1.456699E+03,0.000000E+00,7.517646E-02,0.000000E+00,1.630939E+03,0.000000E+00,8.416890E-02,0.000000E+00,1.356795E+03,0.000000E+00,7.002068E-02,0.000000E+00,4.449549E+03,0.000000E+00,2.296107E-01,0.000000E+00
01:30:00,1.027461E+03,0.000000E+00,5.302533E-02,0.000000E+00,1.487670E+03,0.000000E+00,7.677505E-02,0.000000E+00,1.660610E+03,0.000000E+00,8.570045E-02,0.000000E+00,1.389154E+03,0.000000E+00,7.169090E-02,0.000000E+00,4.474834E+03,0.000000E+00,2.309168E-01,0.000000E+00
01:45:00,1.062378E+03,0.000000E+00,5.482726E-02,0.000000E+00,1.519263E+03,0.000000E+00,7.840571E-02,0.000000E+00,1.690841E+03,0.000000E+00,8.726080E-02,0.000000E+00,1.422219E+03,0.000000E+00,7.339753E-02,0.000000E+00,4.500144E+03,0.000000E+00,2.322240E-01,0.000000E+00
02:00:00,1.096741E+03,0.000000E+00,5.660059E-02,0.000000E+00,1.551557E+03,0.000000E+00,8.007252E-02,0.000000E+00,1.721642E+03,0.000000E+00,8.885058E-02,0.000000E+00,1.455987E+03,0.000000E+00,7.514037E-02,0.000000E+00,4.525464E+03,0.000000E+00,2.335317E-01,0.000000E+00
02:15:00,1.130986E+03,0.000000E+00,5.836778E-02,0.000000E+00,1.585727E+03,0.000000E+00,8.183615E-02,0.000000E+00,1.754197E+03,0.000000E+00,9.053083E-02,0.000000E+00,1.491641E+03,0.000000E+00,7.698059E-02,0.000000E+00,4.560572E+03,0.000000E+00,2.353445E-01,0.000000E+00
02:30:00,1.167034E+03,0.000000E+00,6.022783E-02,0.000000E+00,1.621743E+03,0.000000E+00,8.369500E-02,0.000000E+00,1.788532E+03,0.000000E+00,9.230297E-02,0.000000E+00,1.529184E+03,0.000000E+00,7.891820E-02,0.000000E+00,4.605503E+03,0.000000E+00,2.376641E-01,0.000000E+00
02:45:00,1.205277E+03,0.000000E+00,6.220130E-02,0.000000E+00,1.659628E+03,0.000000E+00,8.565030E-02,0.000000E+00,1.824684E+03,0.000000E+00,9.416875E-02,0.000000E+00,1.568627E+03,0.000000E+00,8.095383E-02,0.000000E+00,4.660295E+03,0.000000E+00,2.404920E-01,0.000000E+00
03:00:00,1.246382E+03,0.000000E+00,6.432261E-02,0.000000E+00,1.699415E+03,0.000000E+00,8.770362E-02,0.000000E+00,1.862693E+03,0.000000E+00,9.613035E-02,0.000000E+00,1.609983E+03,0.000000E+00,8.308816E-02,0.000000E+00,4.725004E+03,0.000000E+00,2.438311E-01,0.000000E+00
03:15:00,1.287551E+03,0.000000E+00,6.644725E-02,0.000000E+00,1.737196E+03,0.000000E+00,8.965335E-02,0.000000E+00,1.898655E+03,0.000000E+00,9.798616E-02,0.000000E+00,1.649242E+03,0.000000E+00,8.511411E-02,0.000000E+00,4.787451E+03,0.000000E+00,2.470529E-01,0.000000E+00
03:30:00,1.327060E+03,0.000000E+00,6.848635E-02,0.000000E+00,1.772798E+03,0.000000E+00,9.149051E-02,0.000000E+00,1.932406E+03,0.000000E+00,9.972773E-02,0.000000E+00,1.686163E+03,0.000000E+00,8.701930E-02,0.000000E+00,4.847644E+03,0.000000E+00,2.501578E-01,0.000000E+00
