Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.882119E+02,0.000000E+00,4.583620E-02,0.000000E+00,1.329613E+03,0.000000E+00,6.861205E-02,0.000000E+00,1.508914E+03,0.000000E+00,7.786525E-02,0.000000E+00,1.243989E+03,0.000000E+00,6.419268E-02,0.000000E+00,4.880278E+03,0.000000E+00,2.517582E-01,0.000000E+00
00:30:00,1.002667E+03,0.000000E+00,5.174094E-02,0.000000E+00,1.440780E+03,0.000000E+00,7.434721E-02,0.000000E+00,1.618817E+03,0.000000E+00,8.353496E-02,0.000000E+00,1.353565E+03,0.000000E+00,6.984588E-02,0.000000E+00,5.119574E+03,0.000000E+00,2.640719E-01,0.000000E+00
00:45:00,1.115603E+03,0.000000E+00,5.756724E-02,0.000000E+00,1.551763E+03,0.000000E+00,8.007281E-02,0.000000E+00,1.728241E+03,0.000000E+00,8.917997E-02,0.000000E+00,1.463370E+03,0.000000E+00,7.551089E-02,0.000000E+00,5.352563E+03,0.000000E+00,2.760477E-01,0.000000E+00
01:00:00,1.226793E+03,0.000000E+00,6.330325E-02,0.000000E+00,1.662422E+03,0.000000E+00,8.578167E-02,0.000000E+00,1.837084E+03,0.000000E+00,9.479495E-02,0.000000E+00,1.573149E+03,0.000000E+00,8.117448E-02,0.000000E+00,5.580135E+03,0.000000E+00,2.877483E-01,0.000000E+00
01:15:00,1.273138E+03,0.000000E+00,6.569415E-02,0.000000E+00,1.708612E+03,0.000000E+00,8.816509E-02,0.000000E+00,1.881752E+03,0.000000E+00,9.709976E-02,0.000000E+00,1.619745E+03,0.000000E+00,8.357889E-02,0.000000E+00,5.638756E+03,0.000000E+00,2.907664E-01,0.000000E+00
01:30:00,1.318352E+03,0.000000E+00,6.802637E-02,0.000000E+00,1.755066E+03,0.000000E+00,9.056195E-02,0.000000E+00,1.926599E+03,0.000000E+00,9.941367E-02,0.000000E+00,1.666702E+03,0.000000E+00,8.600175E-02,0.000000E+00,5.699836E+03,0.000000E+00,2.939229E-01,0.000000E+00
01:45:00,1.361715E+03,0.000000E+00,7.026275E-02,0.000000E+00,1.801686E+03,0.000000E+00,9.296730E-02,0.000000E+00,1.971542E+03,0.000000E+00,1.017324E-01,0.000000E+00,1.713907E+03,0.000000E+00,8.843737E-02,0.000000E+00,5.761684E+03,0.000000E+00,2.971363E-01,0.000000E+00
02:00:00,1.405150E+03,0.000000E+00,7.250254E-02,0.000000E+00,1.848344E+03,0.000000E+00,9.537463E-02,0.000000E+00,2.016461E+03,0.000000E+00,1.040499E-01,0.000000E+00,1.761221E+03,0.000000E+00,9.087856E-02,0.000000E+00,5.823311E+03,0.000000E+00,3.003373E-01,0.000000E+00
02:15:00,1.449185E+03,0.000000E+00,7.477386E-02,0.000000E+00,1.895109E+03,0.000000E+00,9.778746E-02,0.000000E+00,2.061436E+03,0.000000E+00,1.063704E-01,0.000000E+00,1.808699E+03,0.000000E+00,9.332824E-02,0.000000E+00,5.884817E+03,0.000000E+00,3.035241E-01,0.000000E+00
02:30:00,1.494605E+03,0.000000E+00,7.711722E-02,0.000000E+00,1.941988E+03,0.000000E+00,1.002063E-01,0.000000E+00,2.106480E+03,0.000000E+00,1.086945E-01,0.000000E+00,1.856341E+03,0.000000E+00,9.578647E-02,0.000000E+00,5.946437E+03,0.000000E+00,3.067118E-01,0.000000E+00
