Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.889957E+03,0.000000E+00,9.752858E-02,0.000000E+00,2.290993E+03,0.000000E+00,1.182237E-01,0.000000E+00,2.461581E+03,0.000000E+00,1.270268E-01,0.000000E+00,2.237637E+03,0.000000E+00,1.154703E-01,0.000000E+00,5.786300E+03,0.000000E+00,2.985639E-01,0.000000E+00
00:30:00,1.994839E+03,0.000000E+00,1.029388E-01,0.000000E+00,2.391293E+03,0.000000E+00,1.233973E-01,0.000000E+00,2.558683E+03,0.000000E+00,1.320352E-01,0.000000E+00,2.338226E+03,0.000000E+00,1.206588E-01,0.000000E+00,6.027412E+03,0.000000E+00,3.109954E-01,0.000000E+00
00:45:00,2.098739E+03,0.000000E+00,1.082984E-01,0.000000E+00,2.490631E+03,0.000000E+00,1.285212E-01,0.000000E+00,2.654837E+03,0.000000E+00,1.369946E-01,0.000000E+00,2.437868E+03,0.000000E+00,1.257985E-01,0.000000E+00,6.262034E+03,0.000000E+00,3.230918E-01,0.000000E+00
01:00:00,2.201601E+03,0.000000E+00,1.136044E-01,0.000000E+00,2.588958E+03,0.000000E+00,1.335929E-01,0.000000E+00,2.749994E+03,0.000000E+00,1.419026E-01,0.000000E+00,2.536508E+03,0.000000E+00,1.308864E-01,0.000000E+00,6.490135E+03,0.000000E+00,3.348515E-01,0.000000E+00
01:15:00,2.241076E+03,0.000000E+00,1.156412E-01,0.000000E+00,2.624320E+03,0.000000E+00,1.354175E-01,0.000000E+00,2.783040E+03,0.000000E+00,1.436076E-01,0.000000E+00,2.572458E+03,0.000000E+00,1.327413E-01,0.000000E+00,6.544722E+03,0.000000E+00,3.376663E-01,0.000000E+00
01:30:00,2.280442E+03,0.000000E+00,1.176722E-01,0.000000E+00,2.659619E+03,0.000000E+00,1.372385E-01,0.000000E+00,2.816048E+03,0.000000E+00,1.453104E-01,0.000000E+00,2.608359E+03,0.000000E+00,1.345934E-01,0.000000E+00,6.599461E+03,0.000000E+00,3.404879E-01,0.000000E+00
01:45:00,2.319679E+03,0.000000E+00,1.196963E-01,0.000000E+00,2.694844E+03,0.000000E+00,1.390556E-01,0.000000E+00,2.849009E+03,0.000000E+00,1.470106E-01,0.000000E+00,2.644196E+03,0.000000E+00,1.364421E-01,0.000000E+00,6.654366E+03,0.000000E+00,3.433183E-01,0.000000E+00
02:00:00,2.358760E+03,0.000000E+00,1.217125E-01,0.000000E+00,2.729974E+03,0.000000E+00,1.408679E-01,0.000000E+00,2.881901E+03,0.000000E+00,1.487074E-01,0.000000E+00,2.679946E+03,0.000000E+00,1.382863E-01,0.000000E+00,6.709411E+03,0.000000E+00,3.461565E-01,0.000000E+00
02:15:00,2.397826E+03,0.000000E+00,1.237280E-01,0.000000E+00,2.765159E+03,0.000000E+00,1.426831E-01,0.000000E+00,2.914871E+03,0.000000E+00,1.504082E-01,0.000000E+00,2.715756E+03,0.000000E+00,1.401338E-01,0.000000E+00,6.764559E+03,0.000000E+00,3.490004E-01,0.000000E+00
02:30:00,2.436859E+03,0.000000E+00,1.257418E-01,0.000000E+00,2.800387E+03,0.000000E+00,1.445006E-01,0.000000E+00,2.947906E+03,0.000000E+00,1.521126E-01,0.000000E+00,2.751611E+03,0.000000E+00,1.419837E-01,0.000000E+00,6.819791E+03,0.000000E+00,3.518493E-01,0.000000E+00
