Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.521765E+03,0.000000E+00,7.852647E-02,0.000000E+00,1.852004E+03,0.000000E+00,9.556825E-02,0.000000E+00,1.989554E+03,0.000000E+00,1.026664E-01,0.000000E+00,1.809638E+03,0.000000E+00,9.338194E-02,0.000000E+00,5.036889E+03,0.000000E+00,2.598643E-01,0.000000E+00
00:30:00,1.606368E+03,0.000000E+00,8.289039E-02,0.000000E+00,1.932948E+03,0.000000E+00,9.974309E-02,0.000000E+00,2.068024E+03,0.000000E+00,1.067134E-01,0.000000E+00,1.890825E+03,0.000000E+00,9.756939E-02,0.000000E+00,5.253195E+03,0.000000E+00,2.710118E-01,0.000000E+00
00:45:00,1.689926E+03,0.000000E+00,8.720037E-02,0.000000E+00,2.012831E+03,0.000000E+00,1.038632E-01,0.000000E+00,2.145442E+03,0.000000E+00,1.107062E-01,0.000000E+00,1.970963E+03,0.000000E+00,1.017027E-01,0.000000E+00,5.462473E+03,0.000000E+00,2.817964E-01,0.000000E+00
01:00:00,1.772396E+03,0.000000E+00,9.145417E-02,0.000000E+00,2.091620E+03,0.000000E+00,1.079268E-01,0.000000E+00,2.221773E+03,0.000000E+00,1.146429E-01,0.000000E+00,2.050012E+03,0.000000E+00,1.057798E-01,0.000000E+00,5.664706E+03,0.000000E+00,2.922172E-01,0.000000E+00
01:15:00,1.802238E+03,0.000000E+00,9.299383E-02,0.000000E+00,2.118093E+03,0.000000E+00,1.092926E-01,0.000000E+00,2.246389E+03,0.000000E+00,1.159129E-01,0.000000E+00,2.076936E+03,0.000000E+00,1.071688E-01,0.000000E+00,5.706241E+03,0.000000E+00,2.943580E-01,0.000000E+00
01:30:00,1.832019E+03,0.000000E+00,9.453010E-02,0.000000E+00,2.144525E+03,0.000000E+00,1.106560E-01,0.000000E+00,2.270984E+03,0.000000E+00,1.171814E-01,0.000000E+00,2.103829E+03,0.000000E+00,1.085560E-01,0.000000E+00,5.747815E+03,0.000000E+00,2.964993E-01,0.000000E+00
01:45:00,1.861728E+03,0.000000E+00,9.606266E-02,0.000000E+00,2.170910E+03,0.000000E+00,1.120170E-01,0.000000E+00,2.295552E+03,0.000000E+00,1.184486E-01,0.000000E+00,2.130684E+03,0.000000E+00,1.099412E-01,0.000000E+00,5.789461E+03,0.000000E+00,2.986446E-01,0.000000E+00
02:00:00,1.891349E+03,0.000000E+00,9.759068E-02,0.000000E+00,2.197236E+03,0.000000E+00,1.133750E-01,0.000000E+00,2.320080E+03,0.000000E+00,1.197138E-01,0.000000E+00,2.157485E+03,0.000000E+00,1.113238E-01,0.000000E+00,5.831176E+03,0.000000E+00,3.007942E-01,0.000000E+00
02:15:00,1.920986E+03,0.000000E+00,9.911966E-02,0.000000E+00,2.223616E+03,0.000000E+00,1.147359E-01,0.000000E+00,2.344680E+03,0.000000E+00,1.209828E-01,0.000000E+00,2.184344E+03,0.000000E+00,1.127093E-01,0.000000E+00,5.872943E+03,0.000000E+00,3.029470E-01,0.000000E+00
02:30:00,1.950630E+03,0.000000E+00,1.006490E-01,0.000000E+00,2.250043E+03,0.000000E+00,1.160993E-01,0.000000E+00,2.369344E+03,0.000000E+00,1.222553E-01,0.000000E+00,2.211252E+03,0.000000E+00,1.140976E-01,0.000000E+00,5.914756E+03,0.000000E+00,3.051029E-01,0.000000E+00
