Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.307319E+03,0.000000E+00,1.190648E-01,0.000000E+00,2.507818E+03,0.000000E+00,1.294118E-01,0.000000E+00,2.718733E+03,0.000000E+00,1.402958E-01,0.000000E+00,2.692923E+03,0.000000E+00,1.389636E-01,0.000000E+00,5.788057E+03,0.000000E+00,2.986519E-01,0.000000E+00
00:30:00,2.384363E+03,0.000000E+00,1.230381E-01,0.000000E+00,2.574354E+03,0.000000E+00,1.328429E-01,0.000000E+00,2.785079E+03,0.000000E+00,1.437168E-01,0.000000E+00,2.771488E+03,0.000000E+00,1.430151E-01,0.000000E+00,6.008206E+03,0.000000E+00,3.100013E-01,0.000000E+00
00:45:00,2.460373E+03,0.000000E+00,1.269581E-01,0.000000E+00,2.640082E+03,0.000000E+00,1.362322E-01,0.000000E+00,2.850588E+03,0.000000E+00,1.470947E-01,0.000000E+00,2.849007E+03,0.000000E+00,1.470127E-01,0.000000E+00,6.221559E+03,0.000000E+00,3.209998E-01,0.000000E+00
01:00:00,2.535303E+03,0.000000E+00,1.308222E-01,0.000000E+00,2.704968E+03,0.000000E+00,1.395780E-01,0.000000E+00,2.915224E+03,0.000000E+00,1.504274E-01,0.000000E+00,2.925434E+03,0.000000E+00,1.509539E-01,0.000000E+00,6.428097E+03,0.000000E+00,3.316463E-01,0.000000E+00
01:15:00,2.558704E+03,0.000000E+00,1.320295E-01,0.000000E+00,2.723047E+03,0.000000E+00,1.405107E-01,0.000000E+00,2.932219E+03,0.000000E+00,1.513041E-01,0.000000E+00,2.947678E+03,0.000000E+00,1.521014E-01,0.000000E+00,6.470674E+03,0.000000E+00,3.338414E-01,0.000000E+00
01:30:00,2.582110E+03,0.000000E+00,1.332367E-01,0.000000E+00,2.741265E+03,0.000000E+00,1.414502E-01,0.000000E+00,2.949346E+03,0.000000E+00,1.521874E-01,0.000000E+00,2.969966E+03,0.000000E+00,1.532509E-01,0.000000E+00,6.513377E+03,0.000000E+00,3.360418E-01,0.000000E+00
01:45:00,2.605482E+03,0.000000E+00,1.344421E-01,0.000000E+00,2.759600E+03,0.000000E+00,1.423958E-01,0.000000E+00,2.966589E+03,0.000000E+00,1.530765E-01,0.000000E+00,2.992271E+03,0.000000E+00,1.544013E-01,0.000000E+00,6.556228E+03,0.000000E+00,3.382501E-01,0.000000E+00
02:00:00,2.628793E+03,0.000000E+00,1.356445E-01,0.000000E+00,2.778036E+03,0.000000E+00,1.433466E-01,0.000000E+00,2.983932E+03,0.000000E+00,1.539708E-01,0.000000E+00,3.014581E+03,0.000000E+00,1.555519E-01,0.000000E+00,6.599212E+03,0.000000E+00,3.404659E-01,0.000000E+00
02:15:00,2.652141E+03,0.000000E+00,1.368488E-01,0.000000E+00,2.796650E+03,0.000000E+00,1.443067E-01,0.000000E+00,3.001464E+03,0.000000E+00,1.548751E-01,0.000000E+00,3.037041E+03,0.000000E+00,1.567105E-01,0.000000E+00,6.642304E+03,0.000000E+00,3.426877E-01,0.000000E+00
02:30:00,2.675468E+03,0.000000E+00,1.380521E-01,0.000000E+00,2.815429E+03,0.000000E+00,1.452755E-01,0.000000E+00,3.019175E+03,0.000000E+00,1.557888E-01,0.000000E+00,3.059648E+03,0.000000E+00,1.578767E-01,0.000000E+00,6.685493E+03,0.000000E+00,3.449151E-01,0.000000E+00
02:45:00,2.698825E+03,0.000000E+00,1.392570E-01,0.000000E+00,2.834360E+03,0.000000E+00,1.462522E-01,0.000000E+00,3.037054E+03,0.000000E+00,1.567112E-01,0.000000E+00,3.082391E+03,0.000000E+00,1.590501E-01,0.000000E+00,6.728762E+03,0.000000E+00,3.471466E-01,0.000000E+00
03:00:00,2.722298E+03,0.000000E+00,1.404680E-01,0.000000E+00,2.853433E+03,0.000000E+00,1.472362E-01,0.000000E+00,3.055089E+03,0.000000E+00,1.576416E-01,0.000000E+00,3.105265E+03,0.000000E+00,1.602303E-01,0.000000E+00,6.772107E+03,0.000000E+00,3.493821E-01,0.000000E+00
03:15:00,2.745862E+03,0.000000E+00,1.416837E-01,0.000000E+00,2.872589E+03,0.000000E+00,1.482245E-01,0.000000E+00,3.073217E+03,0.000000E+00,1.585768E-01,0.000000E+00,3.128177E+03,0.000000E+00,1.614124E-01,0.000000E+00,6.815511E+03,0.000000E+00,3.516206E-01,0.000000E+00
03:30:00,2.769589E+03,0.000000E+00,1.429079E-01,0.000000E+00,2.891820E+03,0.000000E+00,1.492167E-01,0.000000E+00,3.091427E+03,0.000000E+00,1.595164E-01,0.000000E+00,3.151119E+03,0.000000E+00,1.625960E-01,0.000000E+00,6.858970E+03,0.000000E+00,3.538620E-01,0.000000E+00
03:45:00,2.793445E+03,0.000000E+00,1.441388E-01,0.000000E+00,2.911120E+03,0.000000E+00,1.502123E-01,0.000000E+00,3.109716E+03,0.000000E+00,1.604598E-01,0.000000E+00,3.174085E+03,0.000000E+00,1.637808E-01,0.000000E+00,6.902476E+03,0.000000E+00,3.561052E-01,0.000000E+00
04:00:00,2.817367E+03,0.000000E+00,1.453729E-01,0.000000E+00,2.930487E+03,0.000000E+00,1.512113E-01,0.000000E+00,3.128079E+03,0.000000E+00,1.614069E-01,0.000000E+00,3.197072E+03,0.000000E+00,1.649665E-01,0.000000E+00,6.946031E+03,0.000000E+00,3.583504E-01,0.000000E+00
04:15:00,2.841353E+03,0.000000E+00,1.466101E-01,0.000000E+00,2.949923E+03,0.000000E+00,1.522137E-01,0.000000E+00,3.146520E+03,0.000000E+00,1.623580E-01,0.000000E+00,3.220085E+03,0.000000E+00,1.661534E-01,0.000000E+00,6.989658E+03,0.000000E+00,3.605987E-01,0.000000E+00
04:30:00,2.865396E+03,0.000000E+00,1.478502E-01,0.000000E+00,2.969429E+03,0.000000E+00,1.532195E-01,0.000000E+00,3.165039E+03,0.000000E+00,1.633128E-01,0.000000E+00,3.243122E+03,0.000000E+00,1.673414E-01,0.000000E+00,7.033358E+03,0.000000E+00,3.628502E-01,0.000000E+00
04:45:00,2.889492E+03,0.000000E+00,1.490929E-01,0.000000E+00,2.989004E+03,0.000000E+00,1.542289E-01,0.000000E+00,3.183635E+03,0.000000E+00,1.642716E-01,0.000000E+00,3.266186E+03,0.000000E+00,1.685307E-01,0.000000E+00,7.077146E+03,0.000000E+00,3.651062E-01,0.000000E+00
05:00:00,2.913638E+03,0.000000E+00,1.503382E-01,0.000000E+00,3.008647E+03,0.000000E+00,1.552418E-01,0.000000E+00,3.202308E+03,0.000000E+00,1.652343E-01,0.000000E+00,3.289274E+03,0.000000E+00,1.697212E-01,0.000000E+00,7.121017E+03,0.000000E+00,3.673667E-01,0.000000E+00
05:15:00,2.937753E+03,0.000000E+00,1.515819E-01,0.000000E+00,3.028283E+03,0.000000E+00,1.562543E-01,0.000000E+00,3.220980E+03,0.000000E+00,1.661971E-01,0.000000E+00,3.312309E+03,0.000000E+00,1.709091E-01,0.000000E+00,7.164572E+03,0.000000E+00,3.696111E-01,0.000000E+00
05:30:00,2.961833E+03,0.000000E+00,1.528239E-01,0.000000E+00,3.047910E+03,0.000000E+00,1.572665E-01,0.000000E+00,3.239649E+03,0.000000E+00,1.671598E-01,0.000000E+00,3.335289E+03,0.000000E+00,1.720941E-01,0.000000E+00,7.207806E+03,0.000000E+00,3.718390E-01,0.000000E+00
05:45:00,2.985873E+03,0.000000E+00,1.540638E-01,0.000000E+00,3.067524E+03,0.000000E+00,1.582780E-01,0.000000E+00,3.258313E+03,0.000000E+00,1.681222E-01,0.000000E+00,3.358210E+03,0.000000E+00,1.732762E-01,0.000000E+00,7.250707E+03,0.000000E+00,3.740499E-01,0.000000E+00
06:00:00,3.009870E+03,0.000000E+00,1.553015E-01,0.000000E+00,3.087123E+03,0.000000E+00,1.592887E-01,0.000000E+00,3.276968E+03,0.000000E+00,1.690842E-01,0.000000E+00,3.381070E+03,0.000000E+00,1.744551E-01,0.000000E+00,7.293273E+03,0.000000E+00,3.762434E-01,0.000000E+00
06:15:00,2.761394E+03,0.000000E+00,1.424804E-01,0.000000E+00,2.834624E+03,0.000000E+00,1.462598E-01,0.000000E+00,3.023421E+03,0.000000E+00,1.560012E-01,0.000000E+00,3.131210E+03,0.000000E+00,1.615624E-01,0.000000E+00,5.739849E+03,0.000000E+00,2.961047E-01,0.000000E+00
06:30:00,2.510107E+03,0.000000E+00,1.295166E-01,0.000000E+00,2.579718E+03,0.000000E+00,1.331092E-01,0.000000E+00,2.767354E+03,0.000000E+00,1.427907E-01,0.000000E+00,2.878264E+03,0.000000E+00,1.485129E-01,0.000000E+00,4.177523E+03,0.000000E+00,2.155130E-01,0.000000E+00
06:45:00,2.255911E+03,0.000000E+00,1.164054E-01,0.000000E+00,2.322328E+03,0.000000E+00,1.198332E-01,0.000000E+00,2.508691E+03,0.000000E+00,1.294494E-01,0.000000E+00,2.622137E+03,0.000000E+00,1.353028E-01,0.000000E+00,2.605330E+03,0.000000E+00,1.344135E-01,0.000000E+00
07:00:00,1.998725E+03,0.000000E+00,1.031416E-01,0.000000E+00,2.062383E+03,0.000000E+00,1.064270E-01,0.000000E+00,2.247349E+03,0.000000E+00,1.159719E-01,0.000000E+00,2.362726E+03,0.000000E+00,1.219255E-01,0.000000E+00,1.023388E+03,0.000000E+00,5.281200E-02,0.000000E+00
07:15:00,2.010926E+03,0.000000E+00,1.037786E-01,0.000000E+00,2.071943E+03,0.000000E+00,1.069278E-01,0.000000E+00,2.255491E+03,0.000000E+00,1.164003E-01,0.000000E+00,2.372623E+03,0.000000E+00,1.224451E-01,0.000000E+00,1.027741E+03,0.000000E+00,5.304337E-02,0.000000E+00
07:30:00,2.019648E+03,0.000000E+00,1.042342E-01,0.000000E+00,2.078410E+03,0.000000E+00,1.072673E-01,0.000000E+00,2.261934E+03,0.000000E+00,1.167394E-01,0.000000E+00,2.379780E+03,0.000000E+00,1.228216E-01,0.000000E+00,1.031275E+03,0.000000E+00,5.322695E-02,0.000000E+00
07:45:00,2.013896E+03,0.000000E+00,1.039408E-01,0.000000E+00,2.070095E+03,0.000000E+00,1.068416E-01,0.000000E+00,2.265644E+03,0.000000E+00,1.169347E-01,0.000000E+00,2.382497E+03,0.000000E+00,1.229659E-01,0.000000E+00,1.034761E+03,0.000000E+00,5.340746E-02,0.000000E+00
08:00:00,1.990021E+03,0.000000E+00,1.027105E-01,0.000000E+00,2.045720E+03,0.000000E+00,1.055855E-01,0.000000E+00,2.265612E+03,0.000000E+00,1.169351E-01,0.000000E+00,2.379225E+03,0.000000E+00,1.227993E-01,0.000000E+00,1.037630E+03,0.000000E+00,5.355595E-02,0.000000E+00
08:15:00,1.946788E+03,1.406496E+03,1.004803E-01,1.066591E-01,2.005873E+03,1.291968E+03,1.035300E-01,9.846158E-02,2.261253E+03,1.387930E+03,1.167113E-01,1.055615E-01,2.369263E+03,1.457992E+03,1.222862E-01,1.094749E-01,1.039616E+03,2.078821E+03,5.365865E-02,1.781422E-01
08:30:00,1.885328E+03,3.023966E+03,9.730878E-02,2.637821E-01,1.952109E+03,2.936377E+03,1.007557E-01,2.585045E-01,2.253577E+03,2.973687E+03,1.163158E-01,2.596680E-01,2.354499E+03,3.175377E+03,1.215249E-01,2.760894E-01,1.040866E+03,4.422364E+03,5.372330E-02,4.067487E-01
08:45:00,1.814544E+03,4.443449E+03,9.365570E-02,4.025692E-01,1.896156E+03,4.388392E+03,9.786812E-02,4.005823E-01,2.244419E+03,4.364771E+03,1.158434E-01,3.957029E-01,2.337940E+03,4.681589E+03,1.206705E-01,4.232744E-01,1.041747E+03,6.446439E+03,5.376884E-02,6.048988E-01
09:00:00,1.738504E+03,5.791484E+03,8.973117E-02,5.345684E-01,1.841628E+03,5.774443E+03,9.505390E-02,5.363392E-01,2.235478E+03,5.684306E+03,1.153821E-01,5.249204E-01,2.322078E+03,6.112687E+03,1.198520E-01,5.633762E-01,1.042686E+03,8.352182E+03,5.381734E-02,7.915931E-01
09:15:00,1.650767E+03,5.681830E+03,8.520284E-02,5.549586E-01,1.783893E+03,5.818742E+03,9.207403E-02,5.688002E-01,2.222685E+03,5.564244E+03,1.147219E-01,5.435729E-01,2.300321E+03,6.032153E+03,1.187291E-01,5.888371E-01,1.043841E+03,8.082711E+03,5.387697E-02,7.907256E-01
09:30:00,1.552793E+03,5.324511E+03,8.014608E-02,5.213109E-01,1.725411E+03,5.472941E+03,8.905559E-02,5.360038E-01,2.206774E+03,5.208941E+03,1.139008E-01,5.100330E-01,2.273391E+03,5.653894E+03,1.173392E-01,5.534319E-01,1.044953E+03,7.472049E+03,5.393439E-02,7.319060E-01
09:45:00,1.453025E+03,5.137443E+03,7.499665E-02,5.032881E-01,1.672107E+03,5.287770E+03,8.630441E-02,5.180649E-01,2.187559E+03,5.019801E+03,1.129091E-01,4.917769E-01,2.240846E+03,5.457837E+03,1.156594E-01,5.346272E-01,1.045755E+03,7.117849E+03,5.397575E-02,6.973701E-01
10:00:00,1.353052E+03,5.000393E+03,6.983665E-02,4.899554E-01,1.624377E+03,5.141179E+03,8.384087E-02,5.037648E-01,2.164665E+03,4.879929E+03,1.117274E-01,4.781569E-01,2.202134E+03,5.314496E+03,1.136613E-01,5.207144E-01,1.046223E+03,6.828649E+03,5.399992E-02,6.690648E-01
10:15:00,1.261994E+03,4.897564E+03,6.513679E-02,4.799105E-01,1.587817E+03,5.020242E+03,8.195386E-02,4.919354E-01,2.142452E+03,4.773861E+03,1.105809E-01,4.677908E-01,2.163998E+03,5.206999E+03,1.116930E-01,5.102249E-01,1.046428E+03,6.589545E+03,5.401052E-02,6.456429E-01
10:30:00,1.180063E+03,4.817593E+03,6.090797E-02,4.720845E-01,1.561745E+03,4.914643E+03,8.060816E-02,4.815949E-01,2.121056E+03,4.690412E+03,1.094766E-01,4.596226E-01,2.126893E+03,5.123302E+03,1.097778E-01,5.020382E-01,1.046453E+03,6.386324E+03,5.401184E-02,6.257324E-01
10:45:00,1.103893E+03,4.753484E+03,5.697655E-02,4.658060E-01,1.541838E+03,4.820491E+03,7.958069E-02,4.723714E-01,2.100184E+03,4.622688E+03,1.083993E-01,4.529895E-01,2.090542E+03,5.056032E+03,1.079016E-01,4.954517E-01,1.046329E+03,6.209133E+03,5.400542E-02,6.083716E-01
11:00:00,1.032769E+03,4.700545E+03,5.330554E-02,4.606200E-01,1.525784E+03,4.734648E+03,7.875210E-02,4.639607E-01,2.079578E+03,4.566086E+03,1.073357E-01,4.474444E-01,2.054766E+03,5.000289E+03,1.060550E-01,4.899913E-01,1.046026E+03,6.051138E+03,5.398976E-02,5.928914E-01
11:15:00,9.676252E+02,4.655800E+03,4.994318E-02,4.562361E-01,1.512590E+03,4.653661E+03,7.807109E-02,4.560253E-01,2.058826E+03,4.517624E+03,1.062646E-01,4.426962E-01,2.019586E+03,4.953053E+03,1.042393E-01,4.853636E-01,1.045506E+03,5.907624E+03,5.396296E-02,5.788301E-01
11:30:00,9.079485E+02,4.617163E+03,4.686301E-02,4.524505E-01,1.503269E+03,4.571683E+03,7.758998E-02,4.479926E-01,2.037685E+03,4.475280E+03,1.051735E-01,4.385472E-01,1.984294E+03,4.912175E+03,1.024177E-01,4.813584E-01,1.044717E+03,5.774726E+03,5.392221E-02,5.658088E-01
11:45:00,8.525193E+02,4.583047E+03,4.400208E-02,4.491076E-01,1.500487E+03,4.481614E+03,7.744640E-02,4.391668E-01,2.015948E+03,4.437541E+03,1.040515E-01,4.348494E-01,1.948536E+03,4.875987E+03,1.005721E-01,4.778126E-01,1.043626E+03,5.649967E+03,5.386592E-02,5.535850E-01
12:00:00,8.004623E+02,4.552334E+03,4.131521E-02,4.460983E-01,1.509320E+03,4.377174E+03,7.790233E-02,4.289326E-01,1.993674E+03,4.403337E+03,1.029019E-01,4.314980E-01,1.912170E+03,4.843322E+03,9.869508E-02,4.746120E-01,1.042193E+03,5.531952E+03,5.379195E-02,5.420219E-01
12:15:00,7.538141E+02,4.525003E+03,3.890750E-02,4.434202E-01,1.535357E+03,4.259220E+03,7.924620E-02,4.173742E-01,1.974319E+03,4.372513E+03,1.019029E-01,4.284777E-01,1.880014E+03,4.814292E+03,9.703537E-02,4.717675E-01,1.040405E+03,5.419515E+03,5.369964E-02,5.310055E-01
12:30:00,7.138927E+02,4.500629E+03,3.684699E-02,4.410320E-01,1.572452E+03,4.145139E+03,8.116081E-02,4.061952E-01,1.957923E+03,4.344644E+03,1.010566E-01,4.257469E-01,1.852537E+03,4.788756E+03,9.561718E-02,4.692653E-01,1.038301E+03,5.312105E+03,5.359103E-02,5.204815E-01
12:45:00,6.803580E+02,4.478879E+03,3.511612E-02,4.389009E-01,1.607349E+03,4.046398E+03,8.296200E-02,3.965196E-01,1.944283E+03,4.319432E+03,1.003526E-01,4.232765E-01,1.816231E+03,4.766809E+03,9.374326E-02,4.671149E-01,1.035839E+03,5.209102E+03,5.346398E-02,5.103893E-01
13:00:00,6.534156E+02,4.459536E+03,3.372551E-02,4.370055E-01,1.631663E+03,3.969785E+03,8.421693E-02,3.890127E-01,1.932669E+03,4.296670E+03,9.975313E-02,4.210462E-01,1.752928E+03,4.748348E+03,9.047594E-02,4.653061E-01,1.032913E+03,5.110153E+03,5.331295E-02,5.006943E-01
13:15:00,6.289266E+02,4.441740E+03,3.246153E-02,4.352618E-01,1.638406E+03,3.915655E+03,8.456498E-02,3.837091E-01,1.919508E+03,4.275655E+03,9.907383E-02,4.189871E-01,1.654137E+03,4.732306E+03,8.537691E-02,4.637342E-01,1.029382E+03,5.015109E+03,5.313070E-02,4.913819E-01
13:30:00,6.067052E+02,4.425276E+03,3.131459E-02,4.336486E-01,1.631645E+03,3.871279E+03,8.421602E-02,3.793612E-01,1.903920E+03,4.256192E+03,9.826928E-02,4.170800E-01,1.526155E+03,4.718089E+03,7.877124E-02,4.623412E-01,1.025116E+03,4.923748E+03,5.291054E-02,4.824305E-01
13:45:00,5.873292E+02,4.410083E+03,3.031452E-02,4.321599E-01,1.619943E+03,3.830977E+03,8.361205E-02,3.754124E-01,1.885664E+03,4.238180E+03,9.732698E-02,4.153150E-01,1.391538E+03,4.705076E+03,7.182308E-02,4.610662E-01,1.020119E+03,4.836116E+03,5.265262E-02,4.738443E-01
14:00:00,5.696021E+02,4.396097E+03,2.939955E-02,4.307895E-01,1.606452E+03,3.793503E+03,8.291572E-02,3.717404E-01,1.865844E+03,4.221536E+03,9.630400E-02,4.136842E-01,1.273701E+03,4.692992E+03,6.574102E-02,4.598821E-01,1.014526E+03,4.751680E+03,5.236394E-02,4.655713E-01
