Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.314925E+02,0.000000E+00,4.807825E-02,0.000000E+00,5.180408E+02,0.000000E+00,2.673485E-02,0.000000E+00,7.587981E+02,0.000000E+00,3.915797E-02,0.000000E+00,6.771750E+02,0.000000E+00,3.494653E-02,0.000000E+00,4.379859E+03,0.000000E+00,2.259978E-01,0.000000E+00
00:30:00,1.011837E+03,0.000000E+00,5.222771E-02,0.000000E+00,6.115903E+02,0.000000E+00,3.156179E-02,0.000000E+00,8.438083E+02,0.000000E+00,4.354356E-02,0.000000E+00,7.816923E+02,0.000000E+00,4.033899E-02,0.000000E+00,4.613919E+03,0.000000E+00,2.380668E-01,0.000000E+00
00:45:00,1.062768E+03,0.000000E+00,5.485892E-02,0.000000E+00,7.027001E+02,0.000000E+00,3.626274E-02,0.000000E+00,9.264270E+02,0.000000E+00,4.780565E-02,0.000000E+00,8.832618E+02,0.000000E+00,4.557923E-02,0.000000E+00,4.840690E+03,0.000000E+00,2.497593E-01,0.000000E+00
01:00:00,1.110497E+03,0.000000E+00,5.732477E-02,0.000000E+00,7.912622E+02,0.000000E+00,4.083212E-02,0.000000E+00,1.006452E+03,0.000000E+00,5.193377E-02,0.000000E+00,9.817311E+02,0.000000E+00,5.065935E-02,0.000000E+00,5.060094E+03,0.000000E+00,2.610713E-01,0.000000E+00
01:15:00,1.103865E+03,0.000000E+00,5.698241E-02,0.000000E+00,8.249706E+02,0.000000E+00,4.257126E-02,0.000000E+00,1.034356E+03,0.000000E+00,5.337316E-02,0.000000E+00,1.018457E+03,0.000000E+00,5.255400E-02,0.000000E+00,5.111912E+03,0.000000E+00,2.637428E-01,0.000000E+00
01:30:00,1.094548E+03,0.000000E+00,5.650124E-02,0.000000E+00,8.574677E+02,0.000000E+00,4.424779E-02,0.000000E+00,1.061664E+03,0.000000E+00,5.478157E-02,0.000000E+00,1.053565E+03,0.000000E+00,5.436502E-02,0.000000E+00,5.163173E+03,0.000000E+00,2.663845E-01,0.000000E+00
01:45:00,1.113209E+03,0.000000E+00,5.746429E-02,0.000000E+00,8.884242E+02,0.000000E+00,4.584474E-02,0.000000E+00,1.089738E+03,0.000000E+00,5.622950E-02,0.000000E+00,1.087612E+03,0.000000E+00,5.612114E-02,0.000000E+00,5.215006E+03,0.000000E+00,2.690559E-01,0.000000E+00
02:00:00,1.133490E+03,0.000000E+00,5.851103E-02,0.000000E+00,9.202954E+02,0.000000E+00,4.748883E-02,0.000000E+00,1.118851E+03,0.000000E+00,5.773100E-02,0.000000E+00,1.122050E+03,0.000000E+00,5.789739E-02,0.000000E+00,5.267544E+03,0.000000E+00,2.717642E-01,0.000000E+00
02:15:00,1.154855E+03,0.000000E+00,5.961367E-02,0.000000E+00,9.532917E+02,0.000000E+00,4.919104E-02,0.000000E+00,1.149756E+03,0.000000E+00,5.932494E-02,0.000000E+00,1.157432E+03,0.000000E+00,5.972239E-02,0.000000E+00,5.321071E+03,0.000000E+00,2.745240E-01,0.000000E+00
02:30:00,1.213028E+03,0.000000E+00,6.261627E-02,0.000000E+00,9.878811E+02,0.000000E+00,5.097547E-02,0.000000E+00,1.181894E+03,0.000000E+00,6.098255E-02,0.000000E+00,1.194239E+03,0.000000E+00,6.162088E-02,0.000000E+00,5.375924E+03,0.000000E+00,2.773525E-01,0.000000E+00
02:45:00,1.276953E+03,0.000000E+00,6.591592E-02,0.000000E+00,1.024724E+03,0.000000E+00,5.287620E-02,0.000000E+00,1.214105E+03,0.000000E+00,6.264380E-02,0.000000E+00,1.232226E+03,0.000000E+00,6.358027E-02,0.000000E+00,5.431194E+03,0.000000E+00,2.802027E-01,0.000000E+00
03:00:00,1.344393E+03,0.000000E+00,6.939690E-02,0.000000E+00,1.061559E+03,0.000000E+00,5.477649E-02,0.000000E+00,1.245579E+03,0.000000E+00,6.426681E-02,0.000000E+00,1.269995E+03,0.000000E+00,6.552827E-02,0.000000E+00,5.486859E+03,0.000000E+00,2.830731E-01,0.000000E+00
03:15:00,1.411602E+03,0.000000E+00,7.286586E-02,0.000000E+00,1.098371E+03,0.000000E+00,5.667547E-02,0.000000E+00,1.277697E+03,0.000000E+00,6.592228E-02,0.000000E+00,1.306912E+03,0.000000E+00,6.743207E-02,0.000000E+00,5.542742E+03,0.000000E+00,2.859545E-01,0.000000E+00
03:30:00,1.442648E+03,0.000000E+00,7.446797E-02,0.000000E+00,1.134979E+03,0.000000E+00,5.856374E-02,0.000000E+00,1.310749E+03,0.000000E+00,6.762683E-02,0.000000E+00,1.342366E+03,0.000000E+00,6.925997E-02,0.000000E+00,5.598848E+03,0.000000E+00,2.888474E-01,0.000000E+00
03:45:00,1.428680E+03,0.000000E+00,7.374627E-02,0.000000E+00,1.171412E+03,0.000000E+00,6.044285E-02,0.000000E+00,1.344992E+03,0.000000E+00,6.939347E-02,0.000000E+00,1.378095E+03,0.000000E+00,7.110159E-02,0.000000E+00,5.655045E+03,0.000000E+00,2.917445E-01,0.000000E+00
04:00:00,1.407982E+03,0.000000E+00,7.267721E-02,0.000000E+00,1.207529E+03,0.000000E+00,6.230559E-02,0.000000E+00,1.381406E+03,0.000000E+00,7.127254E-02,0.000000E+00,1.414346E+03,0.000000E+00,7.297089E-02,0.000000E+00,5.711244E+03,0.000000E+00,2.946410E-01,0.000000E+00
04:15:00,1.384845E+03,0.000000E+00,7.148244E-02,0.000000E+00,1.243319E+03,0.000000E+00,6.415137E-02,0.000000E+00,1.418541E+03,0.000000E+00,7.318992E-02,0.000000E+00,1.452058E+03,0.000000E+00,7.491605E-02,0.000000E+00,5.767466E+03,0.000000E+00,2.975381E-01,0.000000E+00
04:30:00,1.359491E+03,0.000000E+00,7.017338E-02,0.000000E+00,1.278701E+03,0.000000E+00,6.597595E-02,0.000000E+00,1.456355E+03,0.000000E+00,7.514159E-02,0.000000E+00,1.492270E+03,0.000000E+00,7.699101E-02,0.000000E+00,5.823728E+03,0.000000E+00,3.004366E-01,0.000000E+00
04:45:00,1.371787E+03,0.000000E+00,7.080782E-02,0.000000E+00,1.313047E+03,0.000000E+00,6.774692E-02,0.000000E+00,1.494736E+03,0.000000E+00,7.712219E-02,0.000000E+00,1.533407E+03,0.000000E+00,7.911452E-02,0.000000E+00,5.880018E+03,0.000000E+00,3.033365E-01,0.000000E+00
