,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,415.63,0.00,709.37,0.00,60.19,0.00,791.31,0.00,0.00,0.00,0.00,0.00,0.00
February,378.02,0.00,633.07,0.00,18.31,0.00,194.77,36.95,0.00,0.00,0.00,0.00,0.00
March,433.68,0.00,713.13,0.00,34.61,0.00,39.18,447.81,0.00,0.00,0.00,0.00,0.00
April,379.78,0.00,657.91,0.00,95.72,0.00,0.00,1449.40,0.00,0.00,0.00,0.00,0.00
May,433.68,0.00,713.13,0.00,162.89,0.00,0.00,2535.29,0.00,0.00,0.00,0.00,0.00
June,415.13,0.00,686.45,0.00,174.63,0.00,0.00,2705.93,0.00,0.00,0.00,0.00,0.00
July,398.33,0.00,684.60,0.00,137.07,0.00,0.00,2030.78,0.00,0.00,0.00,0.00,0.00
August,433.68,0.00,713.13,0.00,136.54,0.00,0.00,2004.37,0.00,0.00,0.00,0.00,0.00
September,397.83,0.00,661.67,0.00,123.99,0.00,0.00,1829.77,0.00,0.00,0.00,0.00,0.00
October,415.63,0.00,709.37,0.00,60.68,0.00,0.00,869.39,0.00,0.00,0.00,0.00,0.00
November,415.13,0.00,686.45,0.00,14.38,0.00,54.25,143.11,0.00,0.00,0.00,0.00,0.00
December,398.33,0.00,684.60,0.00,42.13,0.00,562.73,0.12,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,4914.82,,8252.90,,1061.14,,1642.23,14052.92,,,,,
Minimum of Months,378.02,0.00,633.07,0.00,14.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,433.68,0.00,713.13,0.00,174.63,0.00,791.31,2705.93,0.00,0.00,0.00,0.00,0.00
