Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.029570E+03,0.000000E+00,1.047339E-01,0.000000E+00,2.457027E+03,0.000000E+00,1.267927E-01,0.000000E+00,2.641453E+03,0.000000E+00,1.363098E-01,0.000000E+00,2.399829E+03,0.000000E+00,1.238410E-01,0.000000E+00,6.217710E+03,0.000000E+00,3.208305E-01,0.000000E+00
00:30:00,2.142099E+03,0.000000E+00,1.105388E-01,0.000000E+00,2.564645E+03,0.000000E+00,1.323438E-01,0.000000E+00,2.745619E+03,0.000000E+00,1.416827E-01,0.000000E+00,2.507746E+03,0.000000E+00,1.294076E-01,0.000000E+00,6.474709E+03,0.000000E+00,3.340821E-01,0.000000E+00
00:45:00,2.253670E+03,0.000000E+00,1.162942E-01,0.000000E+00,2.671334E+03,0.000000E+00,1.378470E-01,0.000000E+00,2.848873E+03,0.000000E+00,1.470084E-01,0.000000E+00,2.614749E+03,0.000000E+00,1.349270E-01,0.000000E+00,6.725557E+03,0.000000E+00,3.470162E-01,0.000000E+00
01:00:00,2.364217E+03,0.000000E+00,1.219967E-01,0.000000E+00,2.777038E+03,0.000000E+00,1.432993E-01,0.000000E+00,2.951157E+03,0.000000E+00,1.522841E-01,0.000000E+00,2.720780E+03,0.000000E+00,1.403963E-01,0.000000E+00,6.970214E+03,0.000000E+00,3.596305E-01,0.000000E+00
01:15:00,2.407312E+03,0.000000E+00,1.242204E-01,0.000000E+00,2.815755E+03,0.000000E+00,1.452970E-01,0.000000E+00,2.987395E+03,0.000000E+00,1.541539E-01,0.000000E+00,2.760133E+03,0.000000E+00,1.424268E-01,0.000000E+00,7.033326E+03,0.000000E+00,3.628853E-01,0.000000E+00
01:30:00,2.450277E+03,0.000000E+00,1.264370E-01,0.000000E+00,2.854400E+03,0.000000E+00,1.472907E-01,0.000000E+00,3.023587E+03,0.000000E+00,1.560209E-01,0.000000E+00,2.799428E+03,0.000000E+00,1.444540E-01,0.000000E+00,7.096655E+03,0.000000E+00,3.661502E-01,0.000000E+00
01:45:00,2.493088E+03,0.000000E+00,1.286457E-01,0.000000E+00,2.892957E+03,0.000000E+00,1.492798E-01,0.000000E+00,3.059719E+03,0.000000E+00,1.578848E-01,0.000000E+00,2.838647E+03,0.000000E+00,1.464773E-01,0.000000E+00,7.160201E+03,0.000000E+00,3.694265E-01,0.000000E+00
02:00:00,2.535714E+03,0.000000E+00,1.308448E-01,0.000000E+00,2.931402E+03,0.000000E+00,1.512631E-01,0.000000E+00,3.095764E+03,0.000000E+00,1.597443E-01,0.000000E+00,2.877763E+03,0.000000E+00,1.484953E-01,0.000000E+00,7.223927E+03,0.000000E+00,3.727126E-01,0.000000E+00
02:15:00,2.578310E+03,0.000000E+00,1.330424E-01,0.000000E+00,2.969900E+03,0.000000E+00,1.532493E-01,0.000000E+00,3.131885E+03,0.000000E+00,1.616077E-01,0.000000E+00,2.916938E+03,0.000000E+00,1.505163E-01,0.000000E+00,7.287786E+03,0.000000E+00,3.760061E-01,0.000000E+00
02:30:00,2.620854E+03,0.000000E+00,1.352374E-01,0.000000E+00,3.008437E+03,0.000000E+00,1.552375E-01,0.000000E+00,3.168064E+03,0.000000E+00,1.634743E-01,0.000000E+00,2.956155E+03,0.000000E+00,1.525397E-01,0.000000E+00,7.351746E+03,0.000000E+00,3.793054E-01,0.000000E+00
02:45:00,2.663322E+03,0.000000E+00,1.374285E-01,0.000000E+00,3.046995E+03,0.000000E+00,1.572270E-01,0.000000E+00,3.204284E+03,0.000000E+00,1.653430E-01,0.000000E+00,2.995395E+03,0.000000E+00,1.545644E-01,0.000000E+00,7.415775E+03,0.000000E+00,3.826082E-01,0.000000E+00
03:00:00,2.705691E+03,0.000000E+00,1.396146E-01,0.000000E+00,3.085561E+03,0.000000E+00,1.592169E-01,0.000000E+00,3.240528E+03,0.000000E+00,1.672131E-01,0.000000E+00,3.034645E+03,0.000000E+00,1.565895E-01,0.000000E+00,7.479854E+03,0.000000E+00,3.859137E-01,0.000000E+00
03:15:00,2.747844E+03,0.000000E+00,1.417895E-01,0.000000E+00,3.124030E+03,0.000000E+00,1.612017E-01,0.000000E+00,3.276688E+03,0.000000E+00,1.690787E-01,0.000000E+00,3.073796E+03,0.000000E+00,1.586096E-01,0.000000E+00,7.543958E+03,0.000000E+00,3.892204E-01,0.000000E+00
