Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.213619E+02,0.000000E+00,4.754779E-02,0.000000E+00,1.460400E+03,0.000000E+00,7.536290E-02,0.000000E+00,1.799189E+03,0.000000E+00,9.284618E-02,0.000000E+00,1.358365E+03,0.000000E+00,7.009671E-02,0.000000E+00,4.798645E+03,0.000000E+00,2.475969E-01,0.000000E+00
00:30:00,1.061360E+03,0.000000E+00,5.477086E-02,0.000000E+00,1.596780E+03,0.000000E+00,8.239919E-02,0.000000E+00,1.934566E+03,0.000000E+00,9.983043E-02,0.000000E+00,1.492798E+03,0.000000E+00,7.703271E-02,0.000000E+00,5.104896E+03,0.000000E+00,2.633839E-01,0.000000E+00
00:45:00,1.199914E+03,0.000000E+00,6.191935E-02,0.000000E+00,1.733358E+03,0.000000E+00,8.944571E-02,0.000000E+00,2.069699E+03,0.000000E+00,1.068021E-01,0.000000E+00,1.627933E+03,0.000000E+00,8.400492E-02,0.000000E+00,5.404410E+03,0.000000E+00,2.788212E-01,0.000000E+00
01:00:00,1.336691E+03,0.000000E+00,6.897600E-02,0.000000E+00,1.869938E+03,0.000000E+00,9.649226E-02,0.000000E+00,2.204451E+03,0.000000E+00,1.137540E-01,0.000000E+00,1.763470E+03,0.000000E+00,9.099778E-02,0.000000E+00,5.695193E+03,0.000000E+00,2.938050E-01,0.000000E+00
01:15:00,1.396386E+03,0.000000E+00,7.205594E-02,0.000000E+00,1.930114E+03,0.000000E+00,9.959751E-02,0.000000E+00,2.263171E+03,0.000000E+00,1.167841E-01,0.000000E+00,1.824107E+03,0.000000E+00,9.412682E-02,0.000000E+00,5.787075E+03,0.000000E+00,2.985294E-01,0.000000E+00
01:30:00,1.453349E+03,0.000000E+00,7.499460E-02,0.000000E+00,1.990533E+03,0.000000E+00,1.027151E-01,0.000000E+00,2.322012E+03,0.000000E+00,1.198202E-01,0.000000E+00,1.885108E+03,0.000000E+00,9.727449E-02,0.000000E+00,5.881029E+03,0.000000E+00,3.033658E-01,0.000000E+00
01:45:00,1.510693E+03,0.000000E+00,7.795220E-02,0.000000E+00,2.051121E+03,0.000000E+00,1.058413E-01,0.000000E+00,2.380913E+03,0.000000E+00,1.228592E-01,0.000000E+00,1.946382E+03,0.000000E+00,1.004361E-01,0.000000E+00,5.977635E+03,0.000000E+00,3.083454E-01,0.000000E+00
02:00:00,1.568518E+03,0.000000E+00,8.093526E-02,0.000000E+00,2.111800E+03,0.000000E+00,1.089722E-01,0.000000E+00,2.439806E+03,0.000000E+00,1.258979E-01,0.000000E+00,2.007837E+03,0.000000E+00,1.036071E-01,0.000000E+00,6.078821E+03,0.000000E+00,3.135675E-01,0.000000E+00
02:15:00,1.627770E+03,0.000000E+00,8.399237E-02,0.000000E+00,2.172711E+03,0.000000E+00,1.121151E-01,0.000000E+00,2.498850E+03,0.000000E+00,1.289444E-01,0.000000E+00,2.069600E+03,0.000000E+00,1.067940E-01,0.000000E+00,6.181771E+03,0.000000E+00,3.188911E-01,0.000000E+00
02:30:00,1.690268E+03,0.000000E+00,8.721733E-02,0.000000E+00,2.233709E+03,0.000000E+00,1.152625E-01,0.000000E+00,2.557912E+03,0.000000E+00,1.319918E-01,0.000000E+00,2.131512E+03,0.000000E+00,1.099886E-01,0.000000E+00,6.285628E+03,0.000000E+00,3.242585E-01,0.000000E+00
