Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.281118E+03,0.000000E+00,1.177163E-01,0.000000E+00,2.763766E+03,0.000000E+00,1.426233E-01,0.000000E+00,3.102784E+03,0.000000E+00,1.601176E-01,0.000000E+00,2.700015E+03,0.000000E+00,1.393335E-01,0.000000E+00,7.203314E+03,0.000000E+00,3.716970E-01,0.000000E+00
00:30:00,2.407628E+03,0.000000E+00,1.242426E-01,0.000000E+00,2.884687E+03,0.000000E+00,1.488609E-01,0.000000E+00,3.218759E+03,0.000000E+00,1.660995E-01,0.000000E+00,2.821253E+03,0.000000E+00,1.455874E-01,0.000000E+00,7.499084E+03,0.000000E+00,3.869492E-01,0.000000E+00
00:45:00,2.533212E+03,0.000000E+00,1.307211E-01,0.000000E+00,3.004728E+03,0.000000E+00,1.550530E-01,0.000000E+00,3.333859E+03,0.000000E+00,1.720361E-01,0.000000E+00,2.941633E+03,0.000000E+00,1.517971E-01,0.000000E+00,7.789501E+03,0.000000E+00,4.019251E-01,0.000000E+00
01:00:00,2.657795E+03,0.000000E+00,1.371479E-01,0.000000E+00,3.123823E+03,0.000000E+00,1.611964E-01,0.000000E+00,3.448033E+03,0.000000E+00,1.779251E-01,0.000000E+00,3.061087E+03,0.000000E+00,1.579590E-01,0.000000E+00,8.074498E+03,0.000000E+00,4.166210E-01,0.000000E+00
01:15:00,2.707471E+03,0.000000E+00,1.397112E-01,0.000000E+00,3.168624E+03,0.000000E+00,1.635080E-01,0.000000E+00,3.489788E+03,0.000000E+00,1.800797E-01,0.000000E+00,3.106610E+03,0.000000E+00,1.603080E-01,0.000000E+00,8.158530E+03,0.000000E+00,4.209556E-01,0.000000E+00
01:30:00,2.756974E+03,0.000000E+00,1.422653E-01,0.000000E+00,3.213326E+03,0.000000E+00,1.658143E-01,0.000000E+00,3.531523E+03,0.000000E+00,1.822329E-01,0.000000E+00,3.152056E+03,0.000000E+00,1.626526E-01,0.000000E+00,8.242918E+03,0.000000E+00,4.253073E-01,0.000000E+00
01:45:00,2.806272E+03,0.000000E+00,1.448087E-01,0.000000E+00,3.257908E+03,0.000000E+00,1.681143E-01,0.000000E+00,3.573216E+03,0.000000E+00,1.843838E-01,0.000000E+00,3.197398E+03,0.000000E+00,1.649919E-01,0.000000E+00,8.327630E+03,0.000000E+00,4.296758E-01,0.000000E+00
02:00:00,2.855327E+03,0.000000E+00,1.473396E-01,0.000000E+00,3.302338E+03,0.000000E+00,1.704065E-01,0.000000E+00,3.614834E+03,0.000000E+00,1.865309E-01,0.000000E+00,3.242602E+03,0.000000E+00,1.673240E-01,0.000000E+00,8.412604E+03,0.000000E+00,4.340581E-01,0.000000E+00
02:15:00,2.904314E+03,0.000000E+00,1.498669E-01,0.000000E+00,3.346804E+03,0.000000E+00,1.727005E-01,0.000000E+00,3.656568E+03,0.000000E+00,1.886841E-01,0.000000E+00,3.287854E+03,0.000000E+00,1.696586E-01,0.000000E+00,8.497761E+03,0.000000E+00,4.384505E-01,0.000000E+00
02:30:00,2.953201E+03,0.000000E+00,1.523893E-01,0.000000E+00,3.391284E+03,0.000000E+00,1.749954E-01,0.000000E+00,3.698395E+03,0.000000E+00,1.908422E-01,0.000000E+00,3.333130E+03,0.000000E+00,1.719947E-01,0.000000E+00,8.583047E+03,0.000000E+00,4.428500E-01,0.000000E+00
