Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,6.476196E+02,0.000000E+00,3.342102E-02,0.000000E+00,9.386443E+02,0.000000E+00,4.843305E-02,0.000000E+00,1.065233E+03,0.000000E+00,5.496819E-02,0.000000E+00,9.195109E+02,0.000000E+00,4.744644E-02,0.000000E+00,4.873027E+03,0.000000E+00,2.513600E-01,0.000000E+00
00:30:00,7.245843E+02,0.000000E+00,3.739183E-02,0.000000E+00,1.007048E+03,0.000000E+00,5.196169E-02,0.000000E+00,1.136563E+03,0.000000E+00,5.864771E-02,0.000000E+00,9.855622E+02,0.000000E+00,5.085308E-02,0.000000E+00,5.089902E+03,0.000000E+00,2.625302E-01,0.000000E+00
00:45:00,8.010101E+02,0.000000E+00,4.133474E-02,0.000000E+00,1.075758E+03,0.000000E+00,5.550646E-02,0.000000E+00,1.207554E+03,0.000000E+00,6.230973E-02,0.000000E+00,1.051545E+03,0.000000E+00,5.425636E-02,0.000000E+00,5.299852E+03,0.000000E+00,2.733425E-01,0.000000E+00
01:00:00,8.767560E+02,0.000000E+00,4.524248E-02,0.000000E+00,1.144347E+03,0.000000E+00,5.904494E-02,0.000000E+00,1.278125E+03,0.000000E+00,6.595005E-02,0.000000E+00,1.117546E+03,0.000000E+00,5.766072E-02,0.000000E+00,5.502845E+03,0.000000E+00,2.837952E-01,0.000000E+00
01:15:00,9.067493E+02,0.000000E+00,4.678986E-02,0.000000E+00,1.170696E+03,0.000000E+00,6.040463E-02,0.000000E+00,1.305006E+03,0.000000E+00,6.733703E-02,0.000000E+00,1.143271E+03,0.000000E+00,5.898842E-02,0.000000E+00,5.545455E+03,0.000000E+00,2.859878E-01,0.000000E+00
01:30:00,9.368176E+02,0.000000E+00,4.834099E-02,0.000000E+00,1.197477E+03,0.000000E+00,6.178642E-02,0.000000E+00,1.332178E+03,0.000000E+00,6.873890E-02,0.000000E+00,1.169485E+03,0.000000E+00,6.034108E-02,0.000000E+00,5.588147E+03,0.000000E+00,2.881828E-01,0.000000E+00
01:45:00,9.668927E+02,0.000000E+00,4.989239E-02,0.000000E+00,1.224674E+03,0.000000E+00,6.318966E-02,0.000000E+00,1.359609E+03,0.000000E+00,7.015406E-02,0.000000E+00,1.196149E+03,0.000000E+00,6.171690E-02,0.000000E+00,5.630903E+03,0.000000E+00,2.903813E-01,0.000000E+00
02:00:00,9.969026E+02,0.000000E+00,5.144037E-02,0.000000E+00,1.252243E+03,0.000000E+00,6.461211E-02,0.000000E+00,1.387263E+03,0.000000E+00,7.158074E-02,0.000000E+00,1.223235E+03,0.000000E+00,6.311447E-02,0.000000E+00,5.673710E+03,0.000000E+00,2.925828E-01,0.000000E+00
02:15:00,1.026824E+03,0.000000E+00,5.298375E-02,0.000000E+00,1.280165E+03,0.000000E+00,6.605280E-02,0.000000E+00,1.415161E+03,0.000000E+00,7.302007E-02,0.000000E+00,1.250786E+03,0.000000E+00,6.453609E-02,0.000000E+00,5.716539E+03,0.000000E+00,2.947858E-01,0.000000E+00
02:30:00,1.056540E+03,0.000000E+00,5.451655E-02,0.000000E+00,1.308400E+03,0.000000E+00,6.750972E-02,0.000000E+00,1.443273E+03,0.000000E+00,7.447049E-02,0.000000E+00,1.278702E+03,0.000000E+00,6.597659E-02,0.000000E+00,5.759376E+03,0.000000E+00,2.969896E-01,0.000000E+00
02:45:00,1.086077E+03,0.000000E+00,5.603998E-02,0.000000E+00,1.336914E+03,0.000000E+00,6.898100E-02,0.000000E+00,1.471569E+03,0.000000E+00,7.593046E-02,0.000000E+00,1.306942E+03,0.000000E+00,6.743387E-02,0.000000E+00,5.802213E+03,0.000000E+00,2.991928E-01,0.000000E+00
