,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,307.96,0.00,525.61,0.00,58.91,0.00,787.85,0.00,0.00,0.00,0.00,0.00,0.00
February,280.09,0.00,469.07,0.00,19.90,0.00,225.45,25.06,0.00,0.00,0.00,0.00,0.00
March,321.33,0.00,528.39,0.00,29.13,0.00,65.58,339.25,0.00,0.00,0.00,0.00,0.00
April,281.39,0.00,487.48,0.00,77.87,0.00,0.00,1179.10,0.00,0.00,0.00,0.00,0.00
May,321.33,0.00,528.39,0.00,135.41,0.00,0.00,2106.46,0.00,0.00,0.00,0.00,0.00
June,307.58,0.00,508.62,0.00,145.42,0.00,0.00,2251.54,0.00,0.00,0.00,0.00,0.00
July,295.14,0.00,507.25,0.00,113.67,0.00,0.00,1683.05,0.00,0.00,0.00,0.00,0.00
August,321.33,0.00,528.39,0.00,112.74,0.00,0.00,1653.78,0.00,0.00,0.00,0.00,0.00
September,294.77,0.00,490.26,0.00,101.95,0.00,0.00,1503.20,0.00,0.00,0.00,0.00,0.00
October,307.96,0.00,525.61,0.00,48.31,0.00,0.00,692.00,0.00,0.00,0.00,0.00,0.00
November,307.58,0.00,508.62,0.00,13.94,0.00,82.99,104.24,0.00,0.00,0.00,0.00,0.00
December,295.14,0.00,507.25,0.00,41.79,0.00,561.74,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,3641.60,,6114.92,,899.03,,1723.61,11537.68,,,,,
Minimum of Months,280.09,0.00,469.07,0.00,13.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,321.33,0.00,528.39,0.00,145.42,0.00,787.85,2251.54,0.00,0.00,0.00,0.00,0.00
