Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.029178E+03,0.000000E+00,5.311772E-02,0.000000E+00,9.705324E+02,0.000000E+00,5.008366E-02,0.000000E+00,1.138417E+03,0.000000E+00,5.874748E-02,0.000000E+00,9.373424E+02,0.000000E+00,4.837090E-02,0.000000E+00,4.556855E+03,0.000000E+00,2.351306E-01,0.000000E+00
00:30:00,1.108589E+03,0.000000E+00,5.721638E-02,0.000000E+00,1.066451E+03,0.000000E+00,5.503203E-02,0.000000E+00,1.240980E+03,0.000000E+00,6.403907E-02,0.000000E+00,1.031625E+03,0.000000E+00,5.323443E-02,0.000000E+00,4.850695E+03,0.000000E+00,2.502822E-01,0.000000E+00
00:45:00,1.187278E+03,0.000000E+00,6.127777E-02,0.000000E+00,1.163108E+03,0.000000E+00,6.001863E-02,0.000000E+00,1.344260E+03,0.000000E+00,6.936765E-02,0.000000E+00,1.126279E+03,0.000000E+00,5.811740E-02,0.000000E+00,5.139735E+03,0.000000E+00,2.651856E-01,0.000000E+00
01:00:00,1.265189E+03,0.000000E+00,6.529893E-02,0.000000E+00,1.260602E+03,0.000000E+00,6.504841E-02,0.000000E+00,1.448060E+03,0.000000E+00,7.472299E-02,0.000000E+00,1.221393E+03,0.000000E+00,6.302418E-02,0.000000E+00,5.423547E+03,0.000000E+00,2.798183E-01,0.000000E+00
01:15:00,1.299736E+03,0.000000E+00,6.708184E-02,0.000000E+00,1.305332E+03,0.000000E+00,6.735677E-02,0.000000E+00,1.494378E+03,0.000000E+00,7.711311E-02,0.000000E+00,1.264726E+03,0.000000E+00,6.526052E-02,0.000000E+00,5.513602E+03,0.000000E+00,2.844610E-01,0.000000E+00
01:30:00,1.335077E+03,0.000000E+00,6.890576E-02,0.000000E+00,1.350978E+03,0.000000E+00,6.971224E-02,0.000000E+00,1.541272E+03,0.000000E+00,7.953285E-02,0.000000E+00,1.309189E+03,0.000000E+00,6.755512E-02,0.000000E+00,5.604019E+03,0.000000E+00,2.891208E-01,0.000000E+00
01:45:00,1.371183E+03,0.000000E+00,7.076909E-02,0.000000E+00,1.397468E+03,0.000000E+00,7.211116E-02,0.000000E+00,1.588661E+03,0.000000E+00,8.197804E-02,0.000000E+00,1.354629E+03,0.000000E+00,6.990003E-02,0.000000E+00,5.694656E+03,0.000000E+00,2.937916E-01,0.000000E+00
02:00:00,1.408024E+03,0.000000E+00,7.267037E-02,0.000000E+00,1.444685E+03,0.000000E+00,7.454761E-02,0.000000E+00,1.636465E+03,0.000000E+00,8.444463E-02,0.000000E+00,1.400956E+03,0.000000E+00,7.229057E-02,0.000000E+00,5.785331E+03,0.000000E+00,2.984642E-01,0.000000E+00
02:15:00,1.444540E+03,0.000000E+00,7.455484E-02,0.000000E+00,1.492566E+03,0.000000E+00,7.701829E-02,0.000000E+00,1.684703E+03,0.000000E+00,8.693363E-02,0.000000E+00,1.448137E+03,0.000000E+00,7.472519E-02,0.000000E+00,5.875740E+03,0.000000E+00,3.031228E-01,0.000000E+00
02:30:00,1.480700E+03,0.000000E+00,7.642098E-02,0.000000E+00,1.541016E+03,0.000000E+00,7.951830E-02,0.000000E+00,1.733310E+03,0.000000E+00,8.944164E-02,0.000000E+00,1.496005E+03,0.000000E+00,7.719528E-02,0.000000E+00,5.965433E+03,0.000000E+00,3.077440E-01,0.000000E+00
02:45:00,1.516483E+03,0.000000E+00,7.826757E-02,0.000000E+00,1.589949E+03,0.000000E+00,8.204324E-02,0.000000E+00,1.782224E+03,0.000000E+00,9.196557E-02,0.000000E+00,1.544459E+03,0.000000E+00,7.969557E-02,0.000000E+00,6.053738E+03,0.000000E+00,3.122920E-01,0.000000E+00
03:00:00,1.551867E+03,0.000000E+00,8.009361E-02,0.000000E+00,1.639289E+03,0.000000E+00,8.458920E-02,0.000000E+00,1.831392E+03,0.000000E+00,9.450264E-02,0.000000E+00,1.593410E+03,0.000000E+00,8.222145E-02,0.000000E+00,6.138532E+03,0.000000E+00,3.166560E-01,0.000000E+00
03:15:00,1.585580E+03,0.000000E+00,8.183336E-02,0.000000E+00,1.688921E+03,0.000000E+00,8.715026E-02,0.000000E+00,1.880720E+03,0.000000E+00,9.704791E-02,0.000000E+00,1.642730E+03,0.000000E+00,8.476644E-02,0.000000E+00,6.224545E+03,0.000000E+00,3.210721E-01,0.000000E+00
03:30:00,1.617568E+03,0.000000E+00,8.348402E-02,0.000000E+00,1.738790E+03,0.000000E+00,8.972351E-02,0.000000E+00,1.930166E+03,0.000000E+00,9.959930E-02,0.000000E+00,1.692355E+03,0.000000E+00,8.732712E-02,0.000000E+00,6.312323E+03,0.000000E+00,3.255898E-01,0.000000E+00
