,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,829.10,0.00,1415.08,0.00,62.31,0.00,795.79,0.00,0.00,0.00,0.00,0.00,0.00
February,754.09,0.00,1262.87,0.00,17.42,0.00,133.45,94.24,0.00,0.00,0.00,0.00,0.00
March,865.11,0.00,1422.58,0.00,62.29,0.00,10.51,872.87,0.00,0.00,0.00,0.00,0.00
April,757.59,0.00,1312.42,0.00,159.33,0.00,0.00,2410.78,0.00,0.00,0.00,0.00,0.00
May,865.11,0.00,1422.58,0.00,257.90,0.00,0.00,4019.44,0.00,0.00,0.00,0.00,0.00
June,828.11,0.00,1369.34,0.00,275.91,0.00,0.00,4285.27,0.00,0.00,0.00,0.00,0.00
July,794.59,0.00,1365.66,0.00,218.18,0.00,0.00,3239.97,0.00,0.00,0.00,0.00,0.00
August,865.11,0.00,1422.58,0.00,219.67,0.00,0.00,3232.86,0.00,0.00,0.00,0.00,0.00
September,793.59,0.00,1319.92,0.00,200.92,0.00,0.00,2972.33,0.00,0.00,0.00,0.00,0.00
October,829.10,0.00,1415.08,0.00,106.50,0.00,0.00,1527.60,0.00,0.00,0.00,0.00,0.00
November,828.11,0.00,1369.34,0.00,23.30,0.00,22.68,307.47,0.00,0.00,0.00,0.00,0.00
December,794.59,0.00,1365.66,0.00,42.49,0.00,557.17,4.35,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,9804.21,,16463.11,,1646.21,,1519.60,22967.18,,,,,
Minimum of Months,754.09,0.00,1262.87,0.00,17.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,865.11,0.00,1422.58,0.00,275.91,0.00,795.79,4285.27,0.00,0.00,0.00,0.00,0.00
