Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.785482E+03,0.000000E+00,9.213977E-02,0.000000E+00,2.185699E+03,0.000000E+00,1.127929E-01,0.000000E+00,2.397256E+03,0.000000E+00,1.237103E-01,0.000000E+00,2.151637E+03,0.000000E+00,1.110351E-01,0.000000E+00,6.809072E+03,0.000000E+00,3.513527E-01,0.000000E+00
00:30:00,1.883027E+03,0.000000E+00,9.717175E-02,0.000000E+00,2.281473E+03,0.000000E+00,1.177333E-01,0.000000E+00,2.490741E+03,0.000000E+00,1.285325E-01,0.000000E+00,2.246237E+03,0.000000E+00,1.159150E-01,0.000000E+00,7.091497E+03,0.000000E+00,3.659166E-01,0.000000E+00
00:45:00,1.980111E+03,0.000000E+00,1.021800E-01,0.000000E+00,2.376777E+03,0.000000E+00,1.226494E-01,0.000000E+00,2.583765E+03,0.000000E+00,1.333308E-01,0.000000E+00,2.340427E+03,0.000000E+00,1.207736E-01,0.000000E+00,7.368494E+03,0.000000E+00,3.802003E-01,0.000000E+00
01:00:00,2.076680E+03,0.000000E+00,1.071617E-01,0.000000E+00,2.471567E+03,0.000000E+00,1.275390E-01,0.000000E+00,2.676283E+03,0.000000E+00,1.381030E-01,0.000000E+00,2.434154E+03,0.000000E+00,1.256084E-01,0.000000E+00,7.640002E+03,0.000000E+00,3.942005E-01,0.000000E+00
01:15:00,2.115053E+03,0.000000E+00,1.091417E-01,0.000000E+00,2.507924E+03,0.000000E+00,1.294150E-01,0.000000E+00,2.711049E+03,0.000000E+00,1.398969E-01,0.000000E+00,2.470318E+03,0.000000E+00,1.274744E-01,0.000000E+00,7.717743E+03,0.000000E+00,3.982105E-01,0.000000E+00
01:30:00,2.153583E+03,0.000000E+00,1.111296E-01,0.000000E+00,2.544446E+03,0.000000E+00,1.312993E-01,0.000000E+00,2.745990E+03,0.000000E+00,1.416996E-01,0.000000E+00,2.506695E+03,0.000000E+00,1.293513E-01,0.000000E+00,7.795954E+03,0.000000E+00,4.022435E-01,0.000000E+00
01:45:00,2.192229E+03,0.000000E+00,1.131235E-01,0.000000E+00,2.581104E+03,0.000000E+00,1.331906E-01,0.000000E+00,2.781074E+03,0.000000E+00,1.435096E-01,0.000000E+00,2.543251E+03,0.000000E+00,1.312372E-01,0.000000E+00,7.874605E+03,0.000000E+00,4.062993E-01,0.000000E+00
02:00:00,2.230949E+03,0.000000E+00,1.151212E-01,0.000000E+00,2.617864E+03,0.000000E+00,1.350871E-01,0.000000E+00,2.816268E+03,0.000000E+00,1.453253E-01,0.000000E+00,2.579945E+03,0.000000E+00,1.331303E-01,0.000000E+00,7.953638E+03,0.000000E+00,4.103752E-01,0.000000E+00
02:15:00,2.269794E+03,0.000000E+00,1.171253E-01,0.000000E+00,2.654788E+03,0.000000E+00,1.369921E-01,0.000000E+00,2.851632E+03,0.000000E+00,1.471498E-01,0.000000E+00,2.616836E+03,0.000000E+00,1.350337E-01,0.000000E+00,8.032978E+03,0.000000E+00,4.144674E-01,0.000000E+00
02:30:00,2.308724E+03,0.000000E+00,1.191338E-01,0.000000E+00,2.691845E+03,0.000000E+00,1.389041E-01,0.000000E+00,2.887136E+03,0.000000E+00,1.489815E-01,0.000000E+00,2.653889E+03,0.000000E+00,1.369454E-01,0.000000E+00,8.112569E+03,0.000000E+00,4.185732E-01,0.000000E+00
02:45:00,2.347699E+03,0.000000E+00,1.211448E-01,0.000000E+00,2.729006E+03,0.000000E+00,1.408214E-01,0.000000E+00,2.922748E+03,0.000000E+00,1.508190E-01,0.000000E+00,2.691073E+03,0.000000E+00,1.388640E-01,0.000000E+00,8.192356E+03,0.000000E+00,4.226891E-01,0.000000E+00
03:00:00,2.386684E+03,0.000000E+00,1.231562E-01,0.000000E+00,2.766246E+03,0.000000E+00,1.427429E-01,0.000000E+00,2.958445E+03,0.000000E+00,1.526609E-01,0.000000E+00,2.728359E+03,0.000000E+00,1.407879E-01,0.000000E+00,8.272296E+03,0.000000E+00,4.268131E-01,0.000000E+00
03:15:00,2.425592E+03,0.000000E+00,1.251638E-01,0.000000E+00,2.803494E+03,0.000000E+00,1.446648E-01,0.000000E+00,2.994155E+03,0.000000E+00,1.545034E-01,0.000000E+00,2.765673E+03,0.000000E+00,1.427132E-01,0.000000E+00,8.352346E+03,0.000000E+00,4.309426E-01,0.000000E+00
03:30:00,2.464392E+03,0.000000E+00,1.271657E-01,0.000000E+00,2.840733E+03,0.000000E+00,1.465863E-01,0.000000E+00,3.029860E+03,0.000000E+00,1.563457E-01,0.000000E+00,2.802997E+03,0.000000E+00,1.446390E-01,0.000000E+00,8.432480E+03,0.000000E+00,4.350765E-01,0.000000E+00
03:45:00,2.503044E+03,0.000000E+00,1.291599E-01,0.000000E+00,2.877952E+03,0.000000E+00,1.485067E-01,0.000000E+00,3.065549E+03,0.000000E+00,1.581871E-01,0.000000E+00,2.840319E+03,0.000000E+00,1.465647E-01,0.000000E+00,8.512679E+03,0.000000E+00,4.392134E-01,0.000000E+00
04:00:00,2.541498E+03,0.000000E+00,1.311438E-01,0.000000E+00,2.915145E+03,0.000000E+00,1.504256E-01,0.000000E+00,3.101216E+03,0.000000E+00,1.600272E-01,0.000000E+00,2.877628E+03,0.000000E+00,1.484896E-01,0.000000E+00,8.592936E+03,0.000000E+00,4.433526E-01,0.000000E+00
04:15:00,2.579592E+03,0.000000E+00,1.331090E-01,0.000000E+00,2.952311E+03,0.000000E+00,1.523430E-01,0.000000E+00,3.136859E+03,0.000000E+00,1.618661E-01,0.000000E+00,2.914924E+03,0.000000E+00,1.504138E-01,0.000000E+00,8.673267E+03,0.000000E+00,4.474952E-01,0.000000E+00
04:30:00,2.617648E+03,0.000000E+00,1.350720E-01,0.000000E+00,2.989446E+03,0.000000E+00,1.542587E-01,0.000000E+00,3.172475E+03,0.000000E+00,1.637033E-01,0.000000E+00,2.952201E+03,0.000000E+00,1.523368E-01,0.000000E+00,8.753671E+03,0.000000E+00,4.516407E-01,0.000000E+00
04:45:00,2.655733E+03,0.000000E+00,1.370366E-01,0.000000E+00,3.026547E+03,0.000000E+00,1.561726E-01,0.000000E+00,3.208062E+03,0.000000E+00,1.655390E-01,0.000000E+00,2.989456E+03,0.000000E+00,1.542586E-01,0.000000E+00,8.834151E+03,0.000000E+00,4.557903E-01,0.000000E+00
05:00:00,2.693945E+03,0.000000E+00,1.390078E-01,0.000000E+00,3.063612E+03,0.000000E+00,1.580846E-01,0.000000E+00,3.243616E+03,0.000000E+00,1.673730E-01,0.000000E+00,3.026684E+03,0.000000E+00,1.561790E-01,0.000000E+00,8.914702E+03,0.000000E+00,4.599435E-01,0.000000E+00
05:15:00,2.732426E+03,0.000000E+00,1.409929E-01,0.000000E+00,3.100562E+03,0.000000E+00,1.599906E-01,0.000000E+00,3.279060E+03,0.000000E+00,1.692013E-01,0.000000E+00,3.063807E+03,0.000000E+00,1.580940E-01,0.000000E+00,8.994918E+03,0.000000E+00,4.640796E-01,0.000000E+00
05:30:00,2.770907E+03,0.000000E+00,1.429783E-01,0.000000E+00,3.137393E+03,0.000000E+00,1.618906E-01,0.000000E+00,3.314388E+03,0.000000E+00,1.710237E-01,0.000000E+00,3.100818E+03,0.000000E+00,1.600033E-01,0.000000E+00,9.074786E+03,0.000000E+00,4.681980E-01,0.000000E+00
05:45:00,2.809382E+03,0.000000E+00,1.449633E-01,0.000000E+00,3.174100E+03,0.000000E+00,1.637841E-01,0.000000E+00,3.349597E+03,0.000000E+00,1.728399E-01,0.000000E+00,3.137713E+03,0.000000E+00,1.619065E-01,0.000000E+00,9.154293E+03,0.000000E+00,4.722978E-01,0.000000E+00
06:00:00,2.847833E+03,0.000000E+00,1.469470E-01,0.000000E+00,3.210679E+03,0.000000E+00,1.656711E-01,0.000000E+00,3.384683E+03,0.000000E+00,1.746498E-01,0.000000E+00,3.174487E+03,0.000000E+00,1.638035E-01,0.000000E+00,9.233429E+03,0.000000E+00,4.763784E-01,0.000000E+00
06:15:00,2.614129E+03,0.000000E+00,1.348877E-01,0.000000E+00,2.975006E+03,0.000000E+00,1.535099E-01,0.000000E+00,3.147528E+03,0.000000E+00,1.624122E-01,0.000000E+00,2.939015E+03,0.000000E+00,1.516528E-01,0.000000E+00,7.716544E+03,0.000000E+00,3.981168E-01,0.000000E+00
06:30:00,2.377955E+03,0.000000E+00,1.227031E-01,0.000000E+00,2.736774E+03,0.000000E+00,1.412190E-01,0.000000E+00,2.907826E+03,0.000000E+00,1.500453E-01,0.000000E+00,2.700991E+03,0.000000E+00,1.393725E-01,0.000000E+00,6.190477E+03,0.000000E+00,3.193921E-01,0.000000E+00
06:45:00,2.139214E+03,0.000000E+00,1.103875E-01,0.000000E+00,2.495903E+03,0.000000E+00,1.287938E-01,0.000000E+00,2.665502E+03,0.000000E+00,1.375454E-01,0.000000E+00,2.460333E+03,0.000000E+00,1.269583E-01,0.000000E+00,4.654501E+03,0.000000E+00,2.401590E-01,0.000000E+00
07:00:00,1.897854E+03,0.000000E+00,9.793786E-02,0.000000E+00,2.252339E+03,0.000000E+00,1.162311E-01,0.000000E+00,2.420499E+03,0.000000E+00,1.249089E-01,0.000000E+00,2.216988E+03,0.000000E+00,1.144068E-01,0.000000E+00,3.108684E+03,0.000000E+00,1.604202E-01,0.000000E+00
07:15:00,1.925954E+03,0.000000E+00,9.939308E-02,0.000000E+00,2.278175E+03,0.000000E+00,1.175705E-01,0.000000E+00,2.444901E+03,0.000000E+00,1.261749E-01,0.000000E+00,2.243047E+03,0.000000E+00,1.157577E-01,0.000000E+00,3.149007E+03,0.000000E+00,1.625156E-01,0.000000E+00
07:30:00,1.951672E+03,0.000000E+00,1.007239E-01,0.000000E+00,2.300843E+03,0.000000E+00,1.187451E-01,0.000000E+00,2.467675E+03,0.000000E+00,1.273555E-01,0.000000E+00,2.267428E+03,0.000000E+00,1.170205E-01,0.000000E+00,3.188292E+03,0.000000E+00,1.645482E-01,0.000000E+00
07:45:00,1.968219E+03,0.000000E+00,1.015805E-01,0.000000E+00,2.309370E+03,0.000000E+00,1.191885E-01,0.000000E+00,2.488132E+03,0.000000E+00,1.284151E-01,0.000000E+00,2.289447E+03,0.000000E+00,1.181602E-01,0.000000E+00,3.227126E+03,0.000000E+00,1.665560E-01,0.000000E+00
08:00:00,1.972643E+03,0.000000E+00,1.018109E-01,0.000000E+00,2.302377E+03,0.000000E+00,1.188300E-01,0.000000E+00,2.505464E+03,0.000000E+00,1.293122E-01,0.000000E+00,2.308336E+03,0.000000E+00,1.191375E-01,0.000000E+00,3.264563E+03,0.000000E+00,1.684908E-01,0.000000E+00
08:15:00,1.964425E+03,2.254286E+03,1.013882E-01,1.591457E-01,2.279569E+03,2.275458E+03,1.176545E-01,1.597521E-01,2.519167E+03,2.258460E+03,1.300212E-01,1.592898E-01,2.323726E+03,2.320543E+03,1.199334E-01,1.627692E-01,3.300091E+03,4.335826E+03,1.703264E-01,3.379327E-01
08:30:00,1.944534E+03,4.880835E+03,1.003627E-01,4.138115E-01,2.242983E+03,5.061944E+03,1.157673E-01,4.298196E-01,2.530059E+03,4.895166E+03,1.305846E-01,4.149193E-01,2.336565E+03,5.040325E+03,1.205973E-01,4.261890E-01,3.333983E+03,1.063519E+04,1.720771E-01,9.485838E-01
08:45:00,1.918101E+03,7.171666E+03,9.899920E-02,6.376347E-01,2.204037E+03,7.498795E+03,1.137580E-01,6.678485E-01,2.539222E+03,7.194198E+03,1.310583E-01,6.395351E-01,2.347905E+03,7.410497E+03,1.211834E-01,6.576415E-01,3.366079E+03,1.608604E+04,1.737347E-01,1.481083E+00
09:00:00,1.887876E+03,9.335394E+03,9.743979E-02,8.494328E-01,2.165869E+03,9.808823E+03,1.117885E-01,8.939352E-01,2.547579E+03,9.364787E+03,1.314902E-01,8.520011E-01,2.358533E+03,9.648678E+03,1.217325E-01,8.766766E-01,3.396500E+03,2.121518E+04,1.753056E-01,1.983193E+00
09:15:00,1.848488E+03,9.153058E+03,9.540719E-02,8.932436E-01,2.124077E+03,9.750346E+03,1.096318E-01,9.513309E-01,2.550900E+03,9.184096E+03,1.316619E-01,8.962362E-01,2.363930E+03,9.470894E+03,1.220115E-01,9.237795E-01,3.424756E+03,2.175214E+04,1.767646E-01,2.122590E+00
