Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,5.055590E+01,0.000000E+00,2.609400E-03,0.000000E+00,3.675974E+02,0.000000E+00,1.897325E-02,0.000000E+00,5.363372E+02,0.000000E+00,2.768266E-02,0.000000E+00,3.674640E+02,0.000000E+00,1.896636E-02,0.000000E+00,2.423049E+03,0.000000E+00,1.250635E-01,0.000000E+00
00:30:00,1.139274E+02,0.000000E+00,5.880261E-03,0.000000E+00,4.673232E+02,0.000000E+00,2.412045E-02,0.000000E+00,6.171083E+02,0.000000E+00,3.185146E-02,0.000000E+00,4.684772E+02,0.000000E+00,2.418001E-02,0.000000E+00,2.584181E+03,0.000000E+00,1.333793E-01,0.000000E+00
00:45:00,1.900484E+02,0.000000E+00,9.809168E-03,0.000000E+00,5.647239E+02,0.000000E+00,2.914759E-02,0.000000E+00,6.963263E+02,0.000000E+00,3.594005E-02,0.000000E+00,5.671306E+02,0.000000E+00,2.927181E-02,0.000000E+00,2.735876E+03,0.000000E+00,1.412078E-01,0.000000E+00
01:00:00,2.788659E+02,0.000000E+00,1.439339E-02,0.000000E+00,6.600598E+02,0.000000E+00,3.406813E-02,0.000000E+00,7.743843E+02,0.000000E+00,3.996872E-02,0.000000E+00,6.636760E+02,0.000000E+00,3.425478E-02,0.000000E+00,2.878251E+03,0.000000E+00,1.485553E-01,0.000000E+00
01:15:00,3.274719E+02,0.000000E+00,1.690210E-02,0.000000E+00,6.977068E+02,0.000000E+00,3.601111E-02,0.000000E+00,8.075587E+02,0.000000E+00,4.168079E-02,0.000000E+00,7.019208E+02,0.000000E+00,3.622860E-02,0.000000E+00,2.948336E+03,0.000000E+00,1.521719E-01,0.000000E+00
01:30:00,3.734907E+02,0.000000E+00,1.927727E-02,0.000000E+00,7.328446E+02,0.000000E+00,3.782455E-02,0.000000E+00,8.382619E+02,0.000000E+00,4.326529E-02,0.000000E+00,7.375488E+02,0.000000E+00,3.806734E-02,0.000000E+00,3.006352E+03,0.000000E+00,1.551656E-01,0.000000E+00
01:45:00,4.168730E+02,0.000000E+00,2.151634E-02,0.000000E+00,7.654227E+02,0.000000E+00,3.950585E-02,0.000000E+00,8.663228E+02,0.000000E+00,4.471338E-02,0.000000E+00,7.705110E+02,0.000000E+00,3.976847E-02,0.000000E+00,3.052233E+03,0.000000E+00,1.575329E-01,0.000000E+00
02:00:00,4.575579E+02,0.000000E+00,2.361616E-02,0.000000E+00,7.953553E+02,0.000000E+00,4.105057E-02,0.000000E+00,8.914009E+02,0.000000E+00,4.600747E-02,0.000000E+00,8.007255E+02,0.000000E+00,4.132774E-02,0.000000E+00,3.085945E+03,0.000000E+00,1.592719E-01,0.000000E+00
02:15:00,5.034206E+02,0.000000E+00,2.598320E-02,0.000000E+00,8.303217E+02,0.000000E+00,4.285505E-02,0.000000E+00,9.223130E+02,0.000000E+00,4.760260E-02,0.000000E+00,8.358932E+02,0.000000E+00,4.314260E-02,0.000000E+00,3.139058E+03,0.000000E+00,1.620120E-01,0.000000E+00
02:30:00,5.546286E+02,0.000000E+00,2.862608E-02,0.000000E+00,8.702229E+02,0.000000E+00,4.491415E-02,0.000000E+00,9.595370E+02,0.000000E+00,4.952348E-02,0.000000E+00,8.759291E+02,0.000000E+00,4.520865E-02,0.000000E+00,3.211636E+03,0.000000E+00,1.657565E-01,0.000000E+00
02:45:00,6.112724E+02,0.000000E+00,3.154947E-02,0.000000E+00,9.145735E+02,0.000000E+00,4.720281E-02,0.000000E+00,1.003736E+03,0.000000E+00,5.180437E-02,0.000000E+00,9.203415E+02,0.000000E+00,4.750050E-02,0.000000E+00,3.303780E+03,0.000000E+00,1.705108E-01,0.000000E+00
03:00:00,6.734279E+02,0.000000E+00,3.475729E-02,0.000000E+00,9.635211E+02,0.000000E+00,4.972864E-02,0.000000E+00,1.055431E+03,0.000000E+00,5.447212E-02,0.000000E+00,9.693159E+02,0.000000E+00,5.002771E-02,0.000000E+00,3.415591E+03,0.000000E+00,1.762802E-01,0.000000E+00
03:15:00,7.283445E+02,0.000000E+00,3.759146E-02,0.000000E+00,1.006141E+03,0.000000E+00,5.192790E-02,0.000000E+00,1.101354E+03,0.000000E+00,5.684203E-02,0.000000E+00,1.011957E+03,0.000000E+00,5.222806E-02,0.000000E+00,3.513086E+03,0.000000E+00,1.813110E-01,0.000000E+00
03:30:00,7.756445E+02,0.000000E+00,4.003252E-02,0.000000E+00,1.042698E+03,0.000000E+00,5.381433E-02,0.000000E+00,1.141117E+03,0.000000E+00,5.889405E-02,0.000000E+00,1.048472E+03,0.000000E+00,5.411232E-02,0.000000E+00,3.596263E+03,0.000000E+00,1.856030E-01,0.000000E+00
03:45:00,8.150971E+02,0.000000E+00,4.206856E-02,0.000000E+00,1.073871E+03,0.000000E+00,5.542304E-02,0.000000E+00,1.174429E+03,0.000000E+00,6.061321E-02,0.000000E+00,1.079527E+03,0.000000E+00,5.571494E-02,0.000000E+00,3.665153E+03,0.000000E+00,1.891578E-01,0.000000E+00
04:00:00,8.466195E+02,0.000000E+00,4.369532E-02,0.000000E+00,1.099749E+03,0.000000E+00,5.675859E-02,0.000000E+00,1.201022E+03,0.000000E+00,6.198559E-02,0.000000E+00,1.105145E+03,0.000000E+00,5.703706E-02,0.000000E+00,3.719691E+03,0.000000E+00,1.919719E-01,0.000000E+00
04:15:00,8.846234E+02,0.000000E+00,4.565661E-02,0.000000E+00,1.133318E+03,0.000000E+00,5.849114E-02,0.000000E+00,1.235151E+03,0.000000E+00,6.374701E-02,0.000000E+00,1.138232E+03,0.000000E+00,5.874472E-02,0.000000E+00,3.793926E+03,0.000000E+00,1.958027E-01,0.000000E+00
04:30:00,9.294966E+02,0.000000E+00,4.797242E-02,0.000000E+00,1.174785E+03,0.000000E+00,6.063121E-02,0.000000E+00,1.277065E+03,0.000000E+00,6.591012E-02,0.000000E+00,1.178460E+03,0.000000E+00,6.082085E-02,0.000000E+00,3.887746E+03,0.000000E+00,2.006442E-01,0.000000E+00
04:45:00,9.813352E+02,0.000000E+00,5.064767E-02,0.000000E+00,1.224141E+03,0.000000E+00,6.317843E-02,0.000000E+00,1.326852E+03,0.000000E+00,6.847956E-02,0.000000E+00,1.226757E+03,0.000000E+00,6.331337E-02,0.000000E+00,4.000877E+03,0.000000E+00,2.064818E-01,0.000000E+00
05:00:00,1.040092E+03,0.000000E+00,5.367989E-02,0.000000E+00,1.281438E+03,0.000000E+00,6.613533E-02,0.000000E+00,1.384585E+03,0.000000E+00,7.145899E-02,0.000000E+00,1.283228E+03,0.000000E+00,6.622770E-02,0.000000E+00,4.133312E+03,0.000000E+00,2.133150E-01,0.000000E+00
05:15:00,1.088065E+03,0.000000E+00,5.615548E-02,0.000000E+00,1.328676E+03,0.000000E+00,6.857298E-02,0.000000E+00,1.432063E+03,0.000000E+00,7.390901E-02,0.000000E+00,1.329894E+03,0.000000E+00,6.863588E-02,0.000000E+00,4.228614E+03,0.000000E+00,2.182312E-01,0.000000E+00
05:30:00,1.124814E+03,0.000000E+00,5.805168E-02,0.000000E+00,1.365476E+03,0.000000E+00,7.047190E-02,0.000000E+00,1.468872E+03,0.000000E+00,7.580836E-02,0.000000E+00,1.366966E+03,0.000000E+00,7.054883E-02,0.000000E+00,4.286738E+03,0.000000E+00,2.212282E-01,0.000000E+00
05:45:00,1.149747E+03,0.000000E+00,5.933813E-02,0.000000E+00,1.391625E+03,0.000000E+00,7.182125E-02,0.000000E+00,1.494750E+03,0.000000E+00,7.714371E-02,0.000000E+00,1.393326E+03,0.000000E+00,7.190909E-02,0.000000E+00,4.307767E+03,0.000000E+00,2.223123E-01,0.000000E+00
06:00:00,1.163438E+03,0.000000E+00,6.004442E-02,0.000000E+00,1.406903E+03,0.000000E+00,7.260978E-02,0.000000E+00,1.509484E+03,0.000000E+00,7.790411E-02,0.000000E+00,1.409369E+03,0.000000E+00,7.273706E-02,0.000000E+00,4.291625E+03,0.000000E+00,2.214798E-01,0.000000E+00
06:15:00,1.000004E+03,0.000000E+00,5.160966E-02,0.000000E+00,1.244832E+03,0.000000E+00,6.424553E-02,0.000000E+00,1.346743E+03,0.000000E+00,6.950528E-02,0.000000E+00,1.248246E+03,0.000000E+00,6.442173E-02,0.000000E+00,3.239761E+03,0.000000E+00,1.671961E-01,0.000000E+00
06:30:00,8.378628E+02,0.000000E+00,4.324206E-02,0.000000E+00,1.083479E+03,0.000000E+00,5.591874E-02,0.000000E+00,1.184625E+03,0.000000E+00,6.113904E-02,0.000000E+00,1.087986E+03,0.000000E+00,5.615139E-02,0.000000E+00,2.199723E+03,0.000000E+00,1.135234E-01,0.000000E+00
06:45:00,6.769875E+02,0.000000E+00,3.493985E-02,0.000000E+00,9.218663E+02,0.000000E+00,4.757861E-02,0.000000E+00,1.022363E+03,0.000000E+00,5.276543E-02,0.000000E+00,9.277812E+02,0.000000E+00,4.788389E-02,0.000000E+00,1.171190E+03,0.000000E+00,6.044374E-02,0.000000E+00
07:00:00,5.163436E+02,0.000000E+00,2.664962E-02,0.000000E+00,7.593801E+02,0.000000E+00,3.919327E-02,0.000000E+00,8.594536E+02,0.000000E+00,4.435828E-02,0.000000E+00,7.664436E+02,0.000000E+00,3.955783E-02,0.000000E+00,1.537580E+02,0.000000E+00,7.935946E-03,0.000000E+00
07:15:00,5.296568E+02,0.000000E+00,2.733712E-02,0.000000E+00,7.702323E+02,0.000000E+00,3.975385E-02,0.000000E+00,8.701822E+02,0.000000E+00,4.491254E-02,0.000000E+00,7.786846E+02,0.000000E+00,4.019010E-02,0.000000E+00,1.826659E+02,0.000000E+00,9.428124E-03,0.000000E+00
07:30:00,5.383168E+02,0.000000E+00,2.778416E-02,0.000000E+00,7.758537E+02,0.000000E+00,4.004414E-02,0.000000E+00,8.760374E+02,0.000000E+00,4.521493E-02,0.000000E+00,7.859946E+02,0.000000E+00,4.056754E-02,0.000000E+00,2.101411E+02,0.000000E+00,1.084622E-02,0.000000E+00
07:45:00,5.200656E+02,0.000000E+00,2.684222E-02,0.000000E+00,7.457446E+02,0.000000E+00,3.849023E-02,0.000000E+00,8.744188E+02,0.000000E+00,4.513155E-02,0.000000E+00,7.858926E+02,0.000000E+00,4.056240E-02,0.000000E+00,2.362305E+02,0.000000E+00,1.219279E-02,0.000000E+00
08:00:00,4.696639E+02,0.000000E+00,2.424088E-02,0.000000E+00,6.752210E+02,0.000000E+00,3.485038E-02,0.000000E+00,8.636131E+02,0.000000E+00,4.457396E-02,0.000000E+00,7.768379E+02,0.000000E+00,4.009517E-02,0.000000E+00,2.603035E+02,0.000000E+00,1.343529E-02,0.000000E+00
08:15:00,3.879186E+02,1.809206E+03,2.002178E-02,1.313430E-01,5.675664E+02,2.065272E+03,2.929406E-02,1.448728E-01,8.455153E+02,1.835339E+03,4.363999E-02,1.326205E-01,7.606615E+02,1.883151E+03,3.926035E-02,1.365898E-01,2.814358E+02,3.147599E+03,1.452601E-02,2.580059E-01
08:30:00,2.634481E+02,4.048993E+03,1.359747E-02,3.493408E-01,4.248269E+02,4.761009E+03,2.192684E-02,4.057500E-01,8.194667E+02,4.119294E+03,4.229563E-02,3.548163E-01,7.366688E+02,4.123338E+03,3.802209E-02,3.541991E-01,2.986635E+02,7.435932E+03,1.541519E-02,6.750187E-01
08:45:00,1.502029E+02,6.021941E+03,7.752513E-03,5.424822E-01,2.945864E+02,7.111505E+03,1.520471E-02,6.351635E-01,7.904998E+02,6.124997E+03,4.080062E-02,5.511237E-01,7.096829E+02,6.104183E+03,3.662932E-02,5.478907E-01,3.110201E+02,1.117223E+04,1.605296E-02,1.040461E+00
09:00:00,6.562122E+01,7.905984E+03,3.386956E-03,7.270464E-01,1.823579E+02,9.334498E+03,9.412199E-03,8.526536E-01,7.606968E+02,8.035879E+03,3.926244E-02,7.383012E-01,6.809837E+02,8.006257E+03,3.514811E-02,7.341384E-01,3.176075E+02,1.470601E+04,1.639296E-02,1.386551E+00
09:15:00,1.156857E+01,7.916937E+03,5.970986E-04,7.740474E-01,9.519287E+01,9.395502E+03,4.913282E-03,9.160106E-01,7.265666E+02,8.043123E+03,3.750090E-02,7.862159E-01,6.472464E+02,7.977434E+03,3.340685E-02,7.792108E-01,3.173115E+02,1.493292E+04,1.637769E-02,1.459152E+00
09:30:00,0.000000E+00,7.455353E+03,0.000000E+00,7.302963E-01,4.377777E+01,8.759670E+03,2.259547E-03,8.569417E-01,6.880199E+02,7.556741E+03,3.551139E-02,7.401628E-01,6.082065E+02,7.563796E+03,3.139189E-02,7.405751E-01,3.092190E+02,1.389824E+04,1.596001E-02,1.360934E+00
09:45:00,0.000000E+00,7.235141E+03,0.000000E+00,7.089115E-01,1.209251E+01,8.438915E+03,6.241440E-04,8.264122E-01,6.414040E+02,7.319324E+03,3.310539E-02,7.171348E-01,5.602006E+02,7.393862E+03,2.891414E-02,7.243371E-01,2.924161E+02,1.332063E+04,1.509275E-02,1.304989E+00
10:00:00,0.000000E+00,7.090680E+03,0.000000E+00,6.948171E-01,0.000000E+00,8.231036E+03,0.000000E+00,8.063850E-01,5.858720E+02,7.159519E+03,3.023919E-02,7.015531E-01,5.030509E+02,7.296033E+03,2.596445E-02,7.148944E-01,2.667626E+02,1.286926E+04,1.376867E-02,1.260926E+00
10:15:00,0.000000E+00,7.001287E+03,0.000000E+00,6.860799E-01,0.000000E+00,8.106073E+03,0.000000E+00,7.942707E-01,5.237401E+02,7.054923E+03,2.703233E-02,6.913321E-01,4.390908E+02,7.241208E+03,2.266323E-02,7.095743E-01,2.325138E+02,1.251514E+04,1.200096E-02,1.226269E+00
10:30:00,0.000000E+00,6.950098E+03,0.000000E+00,6.810727E-01,0.000000E+00,8.033772E+03,0.000000E+00,7.872363E-01,4.548934E+02,6.987042E+03,2.347889E-02,6.846913E-01,3.685526E+02,7.213386E+03,1.902249E-02,7.068676E-01,1.899949E+02,1.222957E+04,9.806400E-03,1.198298E+00
10:45:00,0.000000E+00,6.917566E+03,0.000000E+00,6.778887E-01,0.000000E+00,7.969389E+03,0.000000E+00,7.809470E-01,3.799176E+02,6.938895E+03,1.960910E-02,6.799779E-01,2.923130E+02,7.202232E+03,1.508746E-02,7.057821E-01,1.397919E+02,1.199435E+04,7.215226E-03,1.175253E+00
11:00:00,0.000000E+00,6.891652E+03,0.000000E+00,6.753510E-01,0.000000E+00,7.893830E+03,0.000000E+00,7.735504E-01,2.994099E+02,6.899731E+03,1.545377E-02,6.761421E-01,2.112668E+02,7.200947E+03,1.090434E-02,7.056592E-01,8.546291E+01,1.179698E+04,4.411087E-03,1.155915E+00
11:15:00,0.000000E+00,6.868196E+03,0.000000E+00,6.730533E-01,0.000000E+00,7.812246E+03,0.000000E+00,7.655587E-01,2.186968E+02,6.867160E+03,1.128784E-02,6.729513E-01,1.310920E+02,7.211507E+03,6.766198E-03,7.066954E-01,4.283894E+01,1.162838E+04,2.211092E-03,1.139396E+00
11:30:00,0.000000E+00,6.844700E+03,0.000000E+00,6.707512E-01,0.000000E+00,7.743166E+03,0.000000E+00,7.587906E-01,1.395556E+02,6.838856E+03,7.203042E-03,6.701782E-01,6.728282E+01,7.242736E+03,3.472744E-03,7.097563E-01,1.380345E+01,1.148307E+04,7.124526E-04,1.125159E+00
11:45:00,0.000000E+00,6.826358E+03,0.000000E+00,6.689540E-01,0.000000E+00,7.705929E+03,0.000000E+00,7.551425E-01,7.476619E+01,6.821115E+03,3.858993E-03,6.684401E-01,2.469808E+01,7.303658E+03,1.274770E-03,7.157269E-01,0.000000E+00,1.135684E+04,0.000000E+00,1.112791E+00
12:00:00,0.000000E+00,6.810488E+03,0.000000E+00,6.673991E-01,0.000000E+00,7.700886E+03,0.000000E+00,7.546493E-01,3.159623E+01,6.809079E+03,1.630813E-03,6.672610E-01,3.516253E+00,7.384965E+03,1.814884E-04,7.236951E-01,0.000000E+00,1.124602E+04,0.000000E+00,1.101932E+00
12:15:00,0.000000E+00,6.803232E+03,0.000000E+00,6.666883E-01,0.000000E+00,7.722327E+03,0.000000E+00,7.567513E-01,6.779899E+00,6.806799E+03,3.499388E-04,6.670378E-01,0.000000E+00,7.474973E+03,0.000000E+00,7.325157E-01,0.000000E+00,1.114708E+04,0.000000E+00,1.092238E+00
12:30:00,0.000000E+00,6.802515E+03,0.000000E+00,6.666182E-01,0.000000E+00,7.755133E+03,0.000000E+00,7.599668E-01,0.000000E+00,6.812230E+03,0.000000E+00,6.675704E-01,0.000000E+00,7.552394E+03,0.000000E+00,7.401027E-01,0.000000E+00,1.105671E+04,0.000000E+00,1.083384E+00
12:45:00,0.000000E+00,6.808929E+03,0.000000E+00,6.672470E-01,0.000000E+00,7.789420E+03,0.000000E+00,7.633272E-01,0.000000E+00,6.822550E+03,0.000000E+00,6.685819E-01,0.000000E+00,7.628348E+03,0.000000E+00,7.475454E-01,0.000000E+00,1.097192E+04,0.000000E+00,1.075076E+00
13:00:00,0.000000E+00,6.825564E+03,0.000000E+00,6.688774E-01,0.000000E+00,7.831110E+03,0.000000E+00,7.674128E-01,0.000000E+00,6.841815E+03,0.000000E+00,6.704700E-01,0.000000E+00,7.717103E+03,0.000000E+00,7.562426E-01,0.000000E+00,1.089034E+04,0.000000E+00,1.067082E+00
13:15:00,0.000000E+00,6.840108E+03,0.000000E+00,6.703028E-01,0.000000E+00,7.875408E+03,0.000000E+00,7.717538E-01,0.000000E+00,6.858378E+03,0.000000E+00,6.720933E-01,0.000000E+00,7.823262E+03,0.000000E+00,7.666456E-01,0.000000E+00,1.081090E+04,0.000000E+00,1.059299E+00
