Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.307306E+02,0.000000E+00,4.803907E-02,0.000000E+00,1.262028E+03,0.000000E+00,6.513877E-02,0.000000E+00,1.388887E+03,0.000000E+00,7.168648E-02,0.000000E+00,1.253843E+03,0.000000E+00,6.471627E-02,0.000000E+00,3.871330E+03,0.000000E+00,1.998154E-01,0.000000E+00
00:30:00,1.015657E+03,0.000000E+00,5.242217E-02,0.000000E+00,1.335699E+03,0.000000E+00,6.894082E-02,0.000000E+00,1.456159E+03,0.000000E+00,7.515823E-02,0.000000E+00,1.331030E+03,0.000000E+00,6.869980E-02,0.000000E+00,3.985739E+03,0.000000E+00,2.057184E-01,0.000000E+00
00:45:00,1.099931E+03,0.000000E+00,5.677154E-02,0.000000E+00,1.407983E+03,0.000000E+00,7.267121E-02,0.000000E+00,1.522043E+03,0.000000E+00,7.855825E-02,0.000000E+00,1.406825E+03,0.000000E+00,7.261142E-02,0.000000E+00,4.090340E+03,0.000000E+00,2.111151E-01,0.000000E+00
01:00:00,1.183904E+03,0.000000E+00,6.110533E-02,0.000000E+00,1.478755E+03,0.000000E+00,7.632355E-02,0.000000E+00,1.586417E+03,0.000000E+00,8.188033E-02,0.000000E+00,1.481089E+03,0.000000E+00,7.644402E-02,0.000000E+00,4.184908E+03,0.000000E+00,2.159938E-01,0.000000E+00
01:15:00,1.218042E+03,0.000000E+00,6.286708E-02,0.000000E+00,1.509419E+03,0.000000E+00,7.790589E-02,0.000000E+00,1.615781E+03,0.000000E+00,8.339554E-02,0.000000E+00,1.512455E+03,0.000000E+00,7.806258E-02,0.000000E+00,4.239937E+03,0.000000E+00,2.188328E-01,0.000000E+00
01:30:00,1.249837E+03,0.000000E+00,6.450789E-02,0.000000E+00,1.537790E+03,0.000000E+00,7.936989E-02,0.000000E+00,1.642852E+03,0.000000E+00,8.479245E-02,0.000000E+00,1.541429E+03,0.000000E+00,7.955771E-02,0.000000E+00,4.282732E+03,0.000000E+00,2.210405E-01,0.000000E+00
01:45:00,1.279256E+03,0.000000E+00,6.602602E-02,0.000000E+00,1.563844E+03,0.000000E+00,8.071432E-02,0.000000E+00,1.667607E+03,0.000000E+00,8.606979E-02,0.000000E+00,1.567989E+03,0.000000E+00,8.092825E-02,0.000000E+00,4.313291E+03,0.000000E+00,2.226164E-01,0.000000E+00
02:00:00,1.306287E+03,0.000000E+00,6.742084E-02,0.000000E+00,1.587579E+03,0.000000E+00,8.193896E-02,0.000000E+00,1.690043E+03,0.000000E+00,8.722741E-02,0.000000E+00,1.592135E+03,0.000000E+00,8.217414E-02,0.000000E+00,4.331639E+03,0.000000E+00,2.235617E-01,0.000000E+00
02:15:00,1.338859E+03,0.000000E+00,6.910166E-02,0.000000E+00,1.616977E+03,0.000000E+00,8.345585E-02,0.000000E+00,1.718136E+03,0.000000E+00,8.867687E-02,0.000000E+00,1.621874E+03,0.000000E+00,8.370863E-02,0.000000E+00,4.369398E+03,0.000000E+00,2.255087E-01,0.000000E+00
02:30:00,1.377228E+03,0.000000E+00,7.108153E-02,0.000000E+00,1.652294E+03,0.000000E+00,8.527816E-02,0.000000E+00,1.752137E+03,0.000000E+00,9.043119E-02,0.000000E+00,1.657485E+03,0.000000E+00,8.554605E-02,0.000000E+00,4.426687E+03,0.000000E+00,2.284632E-01,0.000000E+00
02:45:00,1.421571E+03,0.000000E+00,7.336974E-02,0.000000E+00,1.693713E+03,0.000000E+00,8.741536E-02,0.000000E+00,1.792230E+03,0.000000E+00,9.249992E-02,0.000000E+00,1.699154E+03,0.000000E+00,8.769618E-02,0.000000E+00,4.503665E+03,0.000000E+00,2.324341E-01,0.000000E+00
03:00:00,1.472066E+03,0.000000E+00,7.597541E-02,0.000000E+00,1.741413E+03,0.000000E+00,8.987672E-02,0.000000E+00,1.838591E+03,0.000000E+00,9.489221E-02,0.000000E+00,1.747067E+03,0.000000E+00,9.016855E-02,0.000000E+00,4.600489E+03,0.000000E+00,2.374295E-01,0.000000E+00
03:15:00,1.515921E+03,0.000000E+00,7.823850E-02,0.000000E+00,1.782412E+03,0.000000E+00,9.199231E-02,0.000000E+00,1.878273E+03,0.000000E+00,9.693981E-02,0.000000E+00,1.788280E+03,0.000000E+00,9.229515E-02,0.000000E+00,4.683233E+03,0.000000E+00,2.416987E-01,0.000000E+00
03:30:00,1.552706E+03,0.000000E+00,8.013674E-02,0.000000E+00,1.816315E+03,0.000000E+00,9.374181E-02,0.000000E+00,1.910891E+03,0.000000E+00,9.862294E-02,0.000000E+00,1.822326E+03,0.000000E+00,9.405203E-02,0.000000E+00,4.751959E+03,0.000000E+00,2.452449E-01,0.000000E+00
03:45:00,1.582120E+03,0.000000E+00,8.165464E-02,0.000000E+00,1.842874E+03,0.000000E+00,9.511235E-02,0.000000E+00,1.936202E+03,0.000000E+00,9.992906E-02,0.000000E+00,1.848929E+03,0.000000E+00,9.542483E-02,0.000000E+00,4.806543E+03,0.000000E+00,2.480615E-01,0.000000E+00
04:00:00,1.603987E+03,0.000000E+00,8.278305E-02,0.000000E+00,1.861942E+03,0.000000E+00,9.609628E-02,0.000000E+00,1.954063E+03,0.000000E+00,1.008507E-01,0.000000E+00,1.867907E+03,0.000000E+00,9.640417E-02,0.000000E+00,4.846989E+03,0.000000E+00,2.501485E-01,0.000000E+00
04:15:00,1.633041E+03,0.000000E+00,8.428249E-02,0.000000E+00,1.888493E+03,0.000000E+00,9.746652E-02,0.000000E+00,1.979394E+03,0.000000E+00,1.021580E-01,0.000000E+00,1.894152E+03,0.000000E+00,9.775858E-02,0.000000E+00,4.907533E+03,0.000000E+00,2.532729E-01,0.000000E+00
04:30:00,1.669659E+03,0.000000E+00,8.617225E-02,0.000000E+00,1.922927E+03,0.000000E+00,9.924359E-02,0.000000E+00,2.012584E+03,0.000000E+00,1.038709E-01,0.000000E+00,1.927597E+03,0.000000E+00,9.948460E-02,0.000000E+00,4.988016E+03,0.000000E+00,2.574263E-01,0.000000E+00
04:45:00,1.714011E+03,0.000000E+00,8.846111E-02,0.000000E+00,1.965416E+03,0.000000E+00,1.014363E-01,0.000000E+00,2.053805E+03,0.000000E+00,1.059981E-01,0.000000E+00,1.969126E+03,0.000000E+00,1.016278E-01,0.000000E+00,5.088377E+03,0.000000E+00,2.626050E-01,0.000000E+00
05:00:00,1.766187E+03,0.000000E+00,9.115369E-02,0.000000E+00,2.016024E+03,0.000000E+00,1.040479E-01,0.000000E+00,2.103115E+03,0.000000E+00,1.085427E-01,0.000000E+00,2.018861E+03,0.000000E+00,1.041944E-01,0.000000E+00,5.208448E+03,0.000000E+00,2.688002E-01,0.000000E+00
05:15:00,1.807960E+03,0.000000E+00,9.330921E-02,0.000000E+00,2.055950E+03,0.000000E+00,1.061081E-01,0.000000E+00,2.141786E+03,0.000000E+00,1.105381E-01,0.000000E+00,2.058095E+03,0.000000E+00,1.062188E-01,0.000000E+00,5.291474E+03,0.000000E+00,2.730827E-01,0.000000E+00
05:30:00,1.839005E+03,0.000000E+00,9.491096E-02,0.000000E+00,2.084753E+03,0.000000E+00,1.075941E-01,0.000000E+00,2.169384E+03,0.000000E+00,1.119619E-01,0.000000E+00,2.086913E+03,0.000000E+00,1.077056E-01,0.000000E+00,5.337497E+03,0.000000E+00,2.754553E-01,0.000000E+00
05:45:00,1.859196E+03,0.000000E+00,9.595271E-02,0.000000E+00,2.102246E+03,0.000000E+00,1.084966E-01,0.000000E+00,2.185719E+03,0.000000E+00,1.128045E-01,0.000000E+00,2.104456E+03,0.000000E+00,1.086106E-01,0.000000E+00,5.346635E+03,0.000000E+00,2.759260E-01,0.000000E+00
06:00:00,1.868339E+03,0.000000E+00,9.642456E-02,0.000000E+00,2.108248E+03,0.000000E+00,1.088063E-01,0.000000E+00,2.190609E+03,0.000000E+00,1.130569E-01,0.000000E+00,2.111150E+03,0.000000E+00,1.089561E-01,0.000000E+00,5.318875E+03,0.000000E+00,2.744945E-01,0.000000E+00
06:15:00,1.699961E+03,0.000000E+00,8.773482E-02,0.000000E+00,1.936714E+03,0.000000E+00,9.995380E-02,0.000000E+00,2.017987E+03,0.000000E+00,1.041483E-01,0.000000E+00,1.940512E+03,0.000000E+00,1.001498E-01,0.000000E+00,4.255792E+03,0.000000E+00,2.196324E-01,0.000000E+00
06:30:00,1.532072E+03,0.000000E+00,7.907094E-02,0.000000E+00,1.765763E+03,0.000000E+00,9.113201E-02,0.000000E+00,1.845969E+03,0.000000E+00,9.527149E-02,0.000000E+00,1.770617E+03,0.000000E+00,9.138253E-02,0.000000E+00,3.204869E+03,0.000000E+00,1.653994E-01,0.000000E+00
