Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.311228E+03,0.000000E+00,1.192666E-01,0.000000E+00,2.636683E+03,0.000000E+00,1.360616E-01,0.000000E+00,2.782108E+03,0.000000E+00,1.435661E-01,0.000000E+00,2.833306E+03,0.000000E+00,1.462076E-01,0.000000E+00,5.790901E+03,0.000000E+00,2.987987E-01,0.000000E+00
00:30:00,2.388692E+03,0.000000E+00,1.232616E-01,0.000000E+00,2.709569E+03,0.000000E+00,1.398201E-01,0.000000E+00,2.851825E+03,0.000000E+00,1.471610E-01,0.000000E+00,2.920274E+03,0.000000E+00,1.506926E-01,0.000000E+00,6.011413E+03,0.000000E+00,3.101668E-01,0.000000E+00
00:45:00,2.465113E+03,0.000000E+00,1.272027E-01,0.000000E+00,2.781512E+03,0.000000E+00,1.435300E-01,0.000000E+00,2.920635E+03,0.000000E+00,1.507091E-01,0.000000E+00,3.006008E+03,0.000000E+00,1.551140E-01,0.000000E+00,6.225125E+03,0.000000E+00,3.211839E-01,0.000000E+00
01:00:00,2.540445E+03,0.000000E+00,1.310876E-01,0.000000E+00,2.852474E+03,0.000000E+00,1.471893E-01,0.000000E+00,2.988498E+03,0.000000E+00,1.542083E-01,0.000000E+00,3.090457E+03,0.000000E+00,1.594689E-01,0.000000E+00,6.432019E+03,0.000000E+00,3.318488E-01,0.000000E+00
01:15:00,2.563986E+03,0.000000E+00,1.323021E-01,0.000000E+00,2.872454E+03,0.000000E+00,1.482200E-01,0.000000E+00,3.006482E+03,0.000000E+00,1.551360E-01,0.000000E+00,3.115433E+03,0.000000E+00,1.607574E-01,0.000000E+00,6.474744E+03,0.000000E+00,3.340515E-01,0.000000E+00
01:30:00,2.587533E+03,0.000000E+00,1.335166E-01,0.000000E+00,2.892522E+03,0.000000E+00,1.492550E-01,0.000000E+00,3.024572E+03,0.000000E+00,1.560689E-01,0.000000E+00,3.140371E+03,0.000000E+00,1.620436E-01,0.000000E+00,6.517594E+03,0.000000E+00,3.362595E-01,0.000000E+00
01:45:00,2.611045E+03,0.000000E+00,1.347292E-01,0.000000E+00,2.912654E+03,0.000000E+00,1.502932E-01,0.000000E+00,3.042750E+03,0.000000E+00,1.570062E-01,0.000000E+00,3.165243E+03,0.000000E+00,1.633263E-01,0.000000E+00,6.560590E+03,0.000000E+00,3.384753E-01,0.000000E+00
02:00:00,2.634494E+03,0.000000E+00,1.359386E-01,0.000000E+00,2.932837E+03,0.000000E+00,1.513342E-01,0.000000E+00,3.061001E+03,0.000000E+00,1.579474E-01,0.000000E+00,3.190037E+03,0.000000E+00,1.646051E-01,0.000000E+00,6.603718E+03,0.000000E+00,3.406984E-01,0.000000E+00
02:15:00,2.657975E+03,0.000000E+00,1.371498E-01,0.000000E+00,2.953185E+03,0.000000E+00,1.523837E-01,0.000000E+00,3.079435E+03,0.000000E+00,1.588982E-01,0.000000E+00,3.214945E+03,0.000000E+00,1.658900E-01,0.000000E+00,6.646951E+03,0.000000E+00,3.429276E-01,0.000000E+00
02:30:00,2.681424E+03,0.000000E+00,1.383595E-01,0.000000E+00,2.973690E+03,0.000000E+00,1.534416E-01,0.000000E+00,3.098044E+03,0.000000E+00,1.598582E-01,0.000000E+00,3.239971E+03,0.000000E+00,1.671810E-01,0.000000E+00,6.690280E+03,0.000000E+00,3.451622E-01,0.000000E+00
