Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.366332E+02,0.000000E+00,4.834363E-02,0.000000E+00,6.594926E+02,0.000000E+00,3.403401E-02,0.000000E+00,8.226092E+02,0.000000E+00,4.245043E-02,0.000000E+00,8.107254E+02,0.000000E+00,4.183768E-02,0.000000E+00,4.385388E+03,0.000000E+00,2.262829E-01,0.000000E+00
00:30:00,1.018357E+03,0.000000E+00,5.256432E-02,0.000000E+00,7.563982E+02,0.000000E+00,3.903373E-02,0.000000E+00,9.092384E+02,0.000000E+00,4.691929E-02,0.000000E+00,9.205743E+02,0.000000E+00,4.750480E-02,0.000000E+00,4.619790E+03,0.000000E+00,2.383695E-01,0.000000E+00
00:45:00,1.070551E+03,0.000000E+00,5.526071E-02,0.000000E+00,8.506096E+02,0.000000E+00,4.389431E-02,0.000000E+00,9.932102E+02,0.000000E+00,5.125091E-02,0.000000E+00,1.026962E+03,0.000000E+00,5.299316E-02,0.000000E+00,4.846907E+03,0.000000E+00,2.500798E-01,0.000000E+00
01:00:00,1.119466E+03,0.000000E+00,5.778774E-02,0.000000E+00,9.419723E+02,0.000000E+00,4.860776E-02,0.000000E+00,1.074227E+03,0.000000E+00,5.542987E-02,0.000000E+00,1.129657E+03,0.000000E+00,5.829080E-02,0.000000E+00,5.066657E+03,0.000000E+00,2.614096E-01,0.000000E+00
01:15:00,1.112799E+03,0.000000E+00,5.744358E-02,0.000000E+00,9.755545E+02,0.000000E+00,5.034021E-02,0.000000E+00,1.101423E+03,0.000000E+00,5.683250E-02,0.000000E+00,1.166505E+03,0.000000E+00,6.019143E-02,0.000000E+00,5.118596E+03,0.000000E+00,2.640872E-01,0.000000E+00
01:30:00,1.103395E+03,0.000000E+00,5.695797E-02,0.000000E+00,1.007682E+03,0.000000E+00,5.199745E-02,0.000000E+00,1.128449E+03,0.000000E+00,5.822612E-02,0.000000E+00,1.201152E+03,0.000000E+00,6.197831E-02,0.000000E+00,5.170037E+03,0.000000E+00,2.667382E-01,0.000000E+00
01:45:00,1.121998E+03,0.000000E+00,5.791794E-02,0.000000E+00,1.039133E+03,0.000000E+00,5.361966E-02,0.000000E+00,1.156307E+03,0.000000E+00,5.966266E-02,0.000000E+00,1.235068E+03,0.000000E+00,6.372715E-02,0.000000E+00,5.222027E+03,0.000000E+00,2.694177E-01,0.000000E+00
02:00:00,1.142216E+03,0.000000E+00,5.896143E-02,0.000000E+00,1.071167E+03,0.000000E+00,5.527192E-02,0.000000E+00,1.185404E+03,0.000000E+00,6.116317E-02,0.000000E+00,1.268971E+03,0.000000E+00,6.547536E-02,0.000000E+00,5.274765E+03,0.000000E+00,2.721362E-01,0.000000E+00
02:15:00,1.163522E+03,0.000000E+00,6.006104E-02,0.000000E+00,1.104227E+03,0.000000E+00,5.697716E-02,0.000000E+00,1.216189E+03,0.000000E+00,6.275077E-02,0.000000E+00,1.303052E+03,0.000000E+00,6.723265E-02,0.000000E+00,5.328460E+03,0.000000E+00,2.749046E-01,0.000000E+00
02:30:00,1.221666E+03,0.000000E+00,6.306215E-02,0.000000E+00,1.138914E+03,0.000000E+00,5.876634E-02,0.000000E+00,1.247434E+03,0.000000E+00,6.436200E-02,0.000000E+00,1.337900E+03,0.000000E+00,6.902926E-02,0.000000E+00,5.383458E+03,0.000000E+00,2.777406E-01,0.000000E+00
