Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.628970E+02,0.000000E+00,4.452900E-02,0.000000E+00,1.236341E+03,0.000000E+00,6.379750E-02,0.000000E+00,1.391888E+03,0.000000E+00,7.182498E-02,0.000000E+00,1.163443E+03,0.000000E+00,6.003470E-02,0.000000E+00,4.888709E+03,0.000000E+00,2.521168E-01,0.000000E+00
00:30:00,9.587952E+02,0.000000E+00,4.947594E-02,0.000000E+00,1.329116E+03,0.000000E+00,6.858348E-02,0.000000E+00,1.483351E+03,0.000000E+00,7.654305E-02,0.000000E+00,1.254913E+03,0.000000E+00,6.475349E-02,0.000000E+00,5.107197E+03,0.000000E+00,2.633566E-01,0.000000E+00
00:45:00,1.053176E+03,0.000000E+00,5.434447E-02,0.000000E+00,1.421429E+03,0.000000E+00,7.334560E-02,0.000000E+00,1.574130E+03,0.000000E+00,8.122585E-02,0.000000E+00,1.346254E+03,0.000000E+00,6.946557E-02,0.000000E+00,5.318820E+03,0.000000E+00,2.742377E-01,0.000000E+00
01:00:00,1.145884E+03,0.000000E+00,5.912655E-02,0.000000E+00,1.513178E+03,0.000000E+00,7.807855E-02,0.000000E+00,1.664148E+03,0.000000E+00,8.586933E-02,0.000000E+00,1.437247E+03,0.000000E+00,7.415973E-02,0.000000E+00,5.523146E+03,0.000000E+00,2.847422E-01,0.000000E+00
01:15:00,1.182660E+03,0.000000E+00,6.102359E-02,0.000000E+00,1.549194E+03,0.000000E+00,7.993693E-02,0.000000E+00,1.698836E+03,0.000000E+00,8.765912E-02,0.000000E+00,1.473621E+03,0.000000E+00,7.603664E-02,0.000000E+00,5.566027E+03,0.000000E+00,2.869328E-01,0.000000E+00
01:30:00,1.218742E+03,0.000000E+00,6.288452E-02,0.000000E+00,1.585360E+03,0.000000E+00,8.180285E-02,0.000000E+00,1.733611E+03,0.000000E+00,8.945322E-02,0.000000E+00,1.510221E+03,0.000000E+00,7.792499E-02,0.000000E+00,5.609243E+03,0.000000E+00,2.891396E-01,0.000000E+00
01:45:00,1.253790E+03,0.000000E+00,6.469187E-02,0.000000E+00,1.621643E+03,0.000000E+00,8.367473E-02,0.000000E+00,1.768448E+03,0.000000E+00,9.125044E-02,0.000000E+00,1.547002E+03,0.000000E+00,7.982264E-02,0.000000E+00,5.653350E+03,0.000000E+00,2.913972E-01,0.000000E+00
02:00:00,1.287053E+03,0.000000E+00,6.640675E-02,0.000000E+00,1.658006E+03,0.000000E+00,8.555077E-02,0.000000E+00,1.803315E+03,0.000000E+00,9.304922E-02,0.000000E+00,1.583920E+03,0.000000E+00,8.172735E-02,0.000000E+00,5.699240E+03,0.000000E+00,2.937598E-01,0.000000E+00
02:15:00,1.320545E+03,0.000000E+00,6.813281E-02,0.000000E+00,1.694545E+03,0.000000E+00,8.743597E-02,0.000000E+00,1.838311E+03,0.000000E+00,9.485474E-02,0.000000E+00,1.621062E+03,0.000000E+00,8.364367E-02,0.000000E+00,5.746189E+03,0.000000E+00,2.962003E-01,0.000000E+00
02:30:00,1.354604E+03,0.000000E+00,6.988913E-02,0.000000E+00,1.731233E+03,0.000000E+00,8.932891E-02,0.000000E+00,1.873413E+03,0.000000E+00,9.666581E-02,0.000000E+00,1.658393E+03,0.000000E+00,8.556987E-02,0.000000E+00,5.793834E+03,0.000000E+00,2.986906E-01,0.000000E+00
02:45:00,1.389817E+03,0.000000E+00,7.170570E-02,0.000000E+00,1.768041E+03,0.000000E+00,9.122807E-02,0.000000E+00,1.908598E+03,0.000000E+00,9.848119E-02,0.000000E+00,1.695881E+03,0.000000E+00,8.750414E-02,0.000000E+00,5.841119E+03,0.000000E+00,3.011691E-01,0.000000E+00
03:00:00,1.427184E+03,0.000000E+00,7.363417E-02,0.000000E+00,1.804943E+03,0.000000E+00,9.313212E-02,0.000000E+00,1.943845E+03,0.000000E+00,1.002998E-01,0.000000E+00,1.733494E+03,0.000000E+00,8.944487E-02,0.000000E+00,5.887520E+03,0.000000E+00,3.035939E-01,0.000000E+00
03:15:00,1.465021E+03,0.000000E+00,7.558787E-02,0.000000E+00,1.841848E+03,0.000000E+00,9.503628E-02,0.000000E+00,1.979070E+03,0.000000E+00,1.021173E-01,0.000000E+00,1.771136E+03,0.000000E+00,9.138713E-02,0.000000E+00,5.933342E+03,0.000000E+00,3.059755E-01,0.000000E+00
03:30:00,1.503319E+03,0.000000E+00,7.756471E-02,0.000000E+00,1.878734E+03,0.000000E+00,9.693948E-02,0.000000E+00,2.014257E+03,0.000000E+00,1.039328E-01,0.000000E+00,1.808783E+03,0.000000E+00,9.332963E-02,0.000000E+00,5.978939E+03,0.000000E+00,3.083368E-01,0.000000E+00
03:45:00,1.541974E+03,0.000000E+00,7.955968E-02,0.000000E+00,1.915584E+03,0.000000E+00,9.884078E-02,0.000000E+00,2.049393E+03,0.000000E+00,1.057456E-01,0.000000E+00,1.846414E+03,0.000000E+00,9.527126E-02,0.000000E+00,6.024462E+03,0.000000E+00,3.106895E-01,0.000000E+00
