Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.845816E+02,0.000000E+00,5.081588E-02,0.000000E+00,9.627203E+02,0.000000E+00,4.967972E-02,0.000000E+00,1.118733E+03,0.000000E+00,5.773107E-02,0.000000E+00,9.327535E+02,0.000000E+00,4.813287E-02,0.000000E+00,4.692461E+03,0.000000E+00,2.421142E-01,0.000000E+00
00:30:00,1.055369E+03,0.000000E+00,5.446946E-02,0.000000E+00,1.050879E+03,0.000000E+00,5.422764E-02,0.000000E+00,1.213051E+03,0.000000E+00,6.259711E-02,0.000000E+00,1.019276E+03,0.000000E+00,5.259592E-02,0.000000E+00,4.955520E+03,0.000000E+00,2.556751E-01,0.000000E+00
00:45:00,1.125431E+03,0.000000E+00,5.808551E-02,0.000000E+00,1.139656E+03,0.000000E+00,5.880749E-02,0.000000E+00,1.307772E+03,0.000000E+00,6.748391E-02,0.000000E+00,1.106121E+03,0.000000E+00,5.707582E-02,0.000000E+00,5.212935E+03,0.000000E+00,2.689438E-01,0.000000E+00
01:00:00,1.194714E+03,0.000000E+00,6.166143E-02,0.000000E+00,1.229184E+03,0.000000E+00,6.342623E-02,0.000000E+00,1.402735E+03,0.000000E+00,7.238320E-02,0.000000E+00,1.193200E+03,0.000000E+00,6.156793E-02,0.000000E+00,5.464475E+03,0.000000E+00,2.819084E-01,0.000000E+00
01:15:00,1.225371E+03,0.000000E+00,6.324354E-02,0.000000E+00,1.268982E+03,0.000000E+00,6.548000E-02,0.000000E+00,1.443787E+03,0.000000E+00,7.450152E-02,0.000000E+00,1.231835E+03,0.000000E+00,6.356222E-02,0.000000E+00,5.535239E+03,0.000000E+00,2.855546E-01,0.000000E+00
01:30:00,1.256789E+03,0.000000E+00,6.486492E-02,0.000000E+00,1.309555E+03,0.000000E+00,6.757366E-02,0.000000E+00,1.485335E+03,0.000000E+00,7.664536E-02,0.000000E+00,1.271394E+03,0.000000E+00,6.560377E-02,0.000000E+00,5.606298E+03,0.000000E+00,2.892145E-01,0.000000E+00
01:45:00,1.288941E+03,0.000000E+00,6.652421E-02,0.000000E+00,1.350848E+03,0.000000E+00,6.970437E-02,0.000000E+00,1.527313E+03,0.000000E+00,7.881130E-02,0.000000E+00,1.311783E+03,0.000000E+00,6.768792E-02,0.000000E+00,5.677573E+03,0.000000E+00,2.928853E-01,0.000000E+00
02:00:00,1.321803E+03,0.000000E+00,6.822013E-02,0.000000E+00,1.392777E+03,0.000000E+00,7.186788E-02,0.000000E+00,1.569655E+03,0.000000E+00,8.099597E-02,0.000000E+00,1.352924E+03,0.000000E+00,6.981084E-02,0.000000E+00,5.748880E+03,0.000000E+00,2.965576E-01,0.000000E+00
02:15:00,1.354340E+03,0.000000E+00,6.989926E-02,0.000000E+00,1.435285E+03,0.000000E+00,7.406128E-02,0.000000E+00,1.612379E+03,0.000000E+00,8.320042E-02,0.000000E+00,1.394819E+03,0.000000E+00,7.197267E-02,0.000000E+00,5.819989E+03,0.000000E+00,3.002193E-01,0.000000E+00
02:30:00,1.386527E+03,0.000000E+00,7.156029E-02,0.000000E+00,1.478295E+03,0.000000E+00,7.628059E-02,0.000000E+00,1.655431E+03,0.000000E+00,8.542179E-02,0.000000E+00,1.437316E+03,0.000000E+00,7.416556E-02,0.000000E+00,5.890619E+03,0.000000E+00,3.038556E-01,0.000000E+00
02:45:00,1.418341E+03,0.000000E+00,7.320211E-02,0.000000E+00,1.521736E+03,0.000000E+00,7.852214E-02,0.000000E+00,1.698759E+03,0.000000E+00,8.765743E-02,0.000000E+00,1.480331E+03,0.000000E+00,7.638520E-02,0.000000E+00,5.960362E+03,0.000000E+00,3.074442E-01,0.000000E+00
03:00:00,1.449768E+03,0.000000E+00,7.482385E-02,0.000000E+00,1.565545E+03,0.000000E+00,8.078265E-02,0.000000E+00,1.742317E+03,0.000000E+00,8.990496E-02,0.000000E+00,1.523791E+03,0.000000E+00,7.862773E-02,0.000000E+00,6.028081E+03,0.000000E+00,3.109249E-01,0.000000E+00
03:15:00,1.479620E+03,0.000000E+00,7.636434E-02,0.000000E+00,1.609620E+03,0.000000E+00,8.305694E-02,0.000000E+00,1.786021E+03,0.000000E+00,9.216003E-02,0.000000E+00,1.567585E+03,0.000000E+00,8.088753E-02,0.000000E+00,6.096034E+03,0.000000E+00,3.144071E-01,0.000000E+00
03:30:00,1.507850E+03,0.000000E+00,7.782108E-02,0.000000E+00,1.653914E+03,0.000000E+00,8.534249E-02,0.000000E+00,1.829836E+03,0.000000E+00,9.442084E-02,0.000000E+00,1.611657E+03,0.000000E+00,8.316167E-02,0.000000E+00,6.165533E+03,0.000000E+00,3.179763E-01,0.000000E+00
03:45:00,1.534406E+03,0.000000E+00,7.919147E-02,0.000000E+00,1.698384E+03,0.000000E+00,8.763712E-02,0.000000E+00,1.873732E+03,0.000000E+00,9.668577E-02,0.000000E+00,1.655958E+03,0.000000E+00,8.544759E-02,0.000000E+00,6.236971E+03,0.000000E+00,3.216561E-01,0.000000E+00
04:00:00,1.559228E+03,0.000000E+00,8.047240E-02,0.000000E+00,1.742996E+03,0.000000E+00,8.993900E-02,0.000000E+00,1.917682E+03,0.000000E+00,9.895346E-02,0.000000E+00,1.700448E+03,0.000000E+00,8.774317E-02,0.000000E+00,6.311578E+03,0.000000E+00,3.255087E-01,0.000000E+00
04:15:00,1.583555E+03,0.000000E+00,8.172782E-02,0.000000E+00,1.787724E+03,0.000000E+00,9.224675E-02,0.000000E+00,1.961667E+03,0.000000E+00,1.012229E-01,0.000000E+00,1.745095E+03,0.000000E+00,9.004679E-02,0.000000E+00,6.387333E+03,0.000000E+00,3.294352E-01,0.000000E+00
04:30:00,1.607320E+03,0.000000E+00,8.295425E-02,0.000000E+00,1.832540E+03,0.000000E+00,9.455898E-02,0.000000E+00,2.005667E+03,0.000000E+00,1.034929E-01,0.000000E+00,1.789868E+03,0.000000E+00,9.235681E-02,0.000000E+00,6.463280E+03,0.000000E+00,3.333681E-01,0.000000E+00
04:45:00,1.630431E+03,0.000000E+00,8.414702E-02,0.000000E+00,1.877421E+03,0.000000E+00,9.687449E-02,0.000000E+00,2.049665E+03,0.000000E+00,1.057628E-01,0.000000E+00,1.834739E+03,0.000000E+00,9.467186E-02,0.000000E+00,6.539568E+03,0.000000E+00,3.373123E-01,0.000000E+00
05:00:00,1.652787E+03,0.000000E+00,8.530089E-02,0.000000E+00,1.922344E+03,0.000000E+00,9.919216E-02,0.000000E+00,2.093646E+03,0.000000E+00,1.080318E-01,0.000000E+00,1.879683E+03,0.000000E+00,9.699064E-02,0.000000E+00,6.616288E+03,0.000000E+00,3.412754E-01,0.000000E+00
05:15:00,1.674664E+03,0.000000E+00,8.643000E-02,0.000000E+00,1.967215E+03,0.000000E+00,1.015071E-01,0.000000E+00,2.137522E+03,0.000000E+00,1.102954E-01,0.000000E+00,1.924603E+03,0.000000E+00,9.930815E-02,0.000000E+00,6.693047E+03,0.000000E+00,3.452387E-01,0.000000E+00
05:30:00,1.696001E+03,0.000000E+00,8.753135E-02,0.000000E+00,2.012012E+03,0.000000E+00,1.038183E-01,0.000000E+00,2.181278E+03,0.000000E+00,1.125528E-01,0.000000E+00,1.969475E+03,0.000000E+00,1.016232E-01,0.000000E+00,6.769813E+03,0.000000E+00,3.492015E-01,0.000000E+00
05:45:00,1.716750E+03,0.000000E+00,8.860232E-02,0.000000E+00,2.056718E+03,0.000000E+00,1.061247E-01,0.000000E+00,2.224902E+03,0.000000E+00,1.148034E-01,0.000000E+00,2.014278E+03,0.000000E+00,1.039347E-01,0.000000E+00,6.846544E+03,0.000000E+00,3.531619E-01,0.000000E+00
06:00:00,1.736842E+03,0.000000E+00,8.963937E-02,0.000000E+00,2.101314E+03,0.000000E+00,1.084255E-01,0.000000E+00,2.268379E+03,0.000000E+00,1.170464E-01,0.000000E+00,2.058993E+03,0.000000E+00,1.062416E-01,0.000000E+00,6.923203E+03,0.000000E+00,3.571180E-01,0.000000E+00
06:15:00,1.563202E+03,0.000000E+00,8.067779E-02,0.000000E+00,1.873772E+03,0.000000E+00,9.668436E-02,0.000000E+00,2.039684E+03,0.000000E+00,1.052457E-01,0.000000E+00,1.831590E+03,0.000000E+00,9.450766E-02,0.000000E+00,5.404125E+03,0.000000E+00,2.787605E-01,0.000000E+00
