,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,663.28,0.00,1132.06,0.00,61.53,0.00,790.25,0.00,0.00,0.00,0.00,0.00,0.00
February,603.27,0.00,1010.30,0.00,16.59,0.00,145.38,68.20,0.00,0.00,0.00,0.00,0.00
March,692.09,0.00,1138.06,0.00,50.87,0.00,14.39,706.20,0.00,0.00,0.00,0.00,0.00
April,606.07,0.00,1049.94,0.00,134.91,0.00,0.00,2041.81,0.00,0.00,0.00,0.00,0.00
May,692.09,0.00,1138.06,0.00,221.51,0.00,0.00,3450.62,0.00,0.00,0.00,0.00,0.00
June,662.48,0.00,1095.47,0.00,237.04,0.00,0.00,3678.57,0.00,0.00,0.00,0.00,0.00
July,635.67,0.00,1092.52,0.00,187.12,0.00,0.00,2776.57,0.00,0.00,0.00,0.00,0.00
August,692.09,0.00,1138.06,0.00,187.73,0.00,0.00,2760.53,0.00,0.00,0.00,0.00,0.00
September,634.87,0.00,1055.93,0.00,171.38,0.00,0.00,2533.36,0.00,0.00,0.00,0.00,0.00
October,663.28,0.00,1132.06,0.00,88.69,0.00,0.00,1272.14,0.00,0.00,0.00,0.00,0.00
November,662.48,0.00,1095.47,0.00,18.64,0.00,26.88,235.17,0.00,0.00,0.00,0.00,0.00
December,635.67,0.00,1092.52,0.00,42.06,0.00,556.05,2.34,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,7843.36,,13170.47,,1418.09,,1532.95,19525.51,,,,,
Minimum of Months,603.27,0.00,1010.30,0.00,16.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,692.09,0.00,1138.06,0.00,237.04,0.00,790.25,3678.57,0.00,0.00,0.00,0.00,0.00
