Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.652458E+03,0.000000E+00,8.527427E-02,0.000000E+00,2.024027E+03,0.000000E+00,1.044489E-01,0.000000E+00,2.215201E+03,0.000000E+00,1.143144E-01,0.000000E+00,1.993183E+03,0.000000E+00,1.028572E-01,0.000000E+00,6.192486E+03,0.000000E+00,3.195301E-01,0.000000E+00
00:30:00,1.742413E+03,0.000000E+00,8.991461E-02,0.000000E+00,2.112364E+03,0.000000E+00,1.090055E-01,0.000000E+00,2.301398E+03,0.000000E+00,1.187605E-01,0.000000E+00,2.080466E+03,0.000000E+00,1.073594E-01,0.000000E+00,6.449510E+03,0.000000E+00,3.327832E-01,0.000000E+00
00:45:00,1.831827E+03,0.000000E+00,9.452702E-02,0.000000E+00,2.200142E+03,0.000000E+00,1.135333E-01,0.000000E+00,2.387042E+03,0.000000E+00,1.231780E-01,0.000000E+00,2.167241E+03,0.000000E+00,1.118355E-01,0.000000E+00,6.700518E+03,0.000000E+00,3.457256E-01,0.000000E+00
01:00:00,1.920650E+03,0.000000E+00,9.910895E-02,0.000000E+00,2.287323E+03,0.000000E+00,1.180302E-01,0.000000E+00,2.472093E+03,0.000000E+00,1.275649E-01,0.000000E+00,2.253465E+03,0.000000E+00,1.162830E-01,0.000000E+00,6.945468E+03,0.000000E+00,3.583552E-01,0.000000E+00
01:15:00,1.955093E+03,0.000000E+00,1.008861E-01,0.000000E+00,2.319896E+03,0.000000E+00,1.197109E-01,0.000000E+00,2.503178E+03,0.000000E+00,1.291688E-01,0.000000E+00,2.285860E+03,0.000000E+00,1.179546E-01,0.000000E+00,7.009177E+03,0.000000E+00,3.616409E-01,0.000000E+00
01:30:00,1.989686E+03,0.000000E+00,1.026709E-01,0.000000E+00,2.352620E+03,0.000000E+00,1.213993E-01,0.000000E+00,2.534422E+03,0.000000E+00,1.307807E-01,0.000000E+00,2.318448E+03,0.000000E+00,1.196359E-01,0.000000E+00,7.073211E+03,0.000000E+00,3.649423E-01,0.000000E+00
01:45:00,2.024397E+03,0.000000E+00,1.044617E-01,0.000000E+00,2.385472E+03,0.000000E+00,1.230941E-01,0.000000E+00,2.565800E+03,0.000000E+00,1.323994E-01,0.000000E+00,2.351202E+03,0.000000E+00,1.213256E-01,0.000000E+00,7.137564E+03,0.000000E+00,3.682603E-01,0.000000E+00
02:00:00,2.059189E+03,0.000000E+00,1.062566E-01,0.000000E+00,2.418422E+03,0.000000E+00,1.247939E-01,0.000000E+00,2.597281E+03,0.000000E+00,1.340235E-01,0.000000E+00,2.384086E+03,0.000000E+00,1.230221E-01,0.000000E+00,7.202196E+03,0.000000E+00,3.715931E-01,0.000000E+00
02:15:00,2.094109E+03,0.000000E+00,1.080582E-01,0.000000E+00,2.451525E+03,0.000000E+00,1.265018E-01,0.000000E+00,2.628922E+03,0.000000E+00,1.356558E-01,0.000000E+00,2.417153E+03,0.000000E+00,1.247281E-01,0.000000E+00,7.267053E+03,0.000000E+00,3.749381E-01,0.000000E+00
02:30:00,2.129124E+03,0.000000E+00,1.098648E-01,0.000000E+00,2.484756E+03,0.000000E+00,1.282163E-01,0.000000E+00,2.660694E+03,0.000000E+00,1.372951E-01,0.000000E+00,2.450374E+03,0.000000E+00,1.264421E-01,0.000000E+00,7.332098E+03,0.000000E+00,3.782933E-01,0.000000E+00
