Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.270576E+02,0.000000E+00,4.784183E-02,0.000000E+00,1.475579E+03,0.000000E+00,7.614640E-02,0.000000E+00,1.691333E+03,0.000000E+00,8.728071E-02,0.000000E+00,1.371419E+03,0.000000E+00,7.077051E-02,0.000000E+00,4.772961E+03,0.000000E+00,2.462766E-01,0.000000E+00
00:30:00,1.070790E+03,0.000000E+00,5.525763E-02,0.000000E+00,1.615656E+03,0.000000E+00,8.337347E-02,0.000000E+00,1.830832E+03,0.000000E+00,9.447781E-02,0.000000E+00,1.509395E+03,0.000000E+00,7.788937E-02,0.000000E+00,5.092538E+03,0.000000E+00,2.627526E-01,0.000000E+00
00:45:00,1.213086E+03,0.000000E+00,6.259924E-02,0.000000E+00,1.755995E+03,0.000000E+00,9.061411E-02,0.000000E+00,1.970186E+03,0.000000E+00,1.016674E-01,0.000000E+00,1.648179E+03,0.000000E+00,8.504993E-02,0.000000E+00,5.405653E+03,0.000000E+00,2.788936E-01,0.000000E+00
01:00:00,1.353597E+03,0.000000E+00,6.984859E-02,0.000000E+00,1.896390E+03,0.000000E+00,9.785755E-02,0.000000E+00,2.109245E+03,0.000000E+00,1.088417E-01,0.000000E+00,1.787445E+03,0.000000E+00,9.223522E-02,0.000000E+00,5.711051E+03,0.000000E+00,2.946339E-01,0.000000E+00
01:15:00,1.415229E+03,0.000000E+00,7.302849E-02,0.000000E+00,1.958595E+03,0.000000E+00,1.010675E-01,0.000000E+00,2.169843E+03,0.000000E+00,1.119687E-01,0.000000E+00,1.850104E+03,0.000000E+00,9.546864E-02,0.000000E+00,5.809891E+03,0.000000E+00,2.997226E-01,0.000000E+00
01:30:00,1.474362E+03,0.000000E+00,7.607915E-02,0.000000E+00,2.021050E+03,0.000000E+00,1.042902E-01,0.000000E+00,2.230588E+03,0.000000E+00,1.151031E-01,0.000000E+00,1.913141E+03,0.000000E+00,9.872141E-02,0.000000E+00,5.910474E+03,0.000000E+00,3.049004E-01,0.000000E+00
01:45:00,1.533770E+03,0.000000E+00,7.914348E-02,0.000000E+00,2.083679E+03,0.000000E+00,1.075217E-01,0.000000E+00,2.291415E+03,0.000000E+00,1.182416E-01,0.000000E+00,1.976462E+03,0.000000E+00,1.019887E-01,0.000000E+00,6.013534E+03,0.000000E+00,3.102116E-01,0.000000E+00
02:00:00,1.593734E+03,0.000000E+00,8.223704E-02,0.000000E+00,2.146402E+03,0.000000E+00,1.107581E-01,0.000000E+00,2.352256E+03,0.000000E+00,1.213809E-01,0.000000E+00,2.039970E+03,0.000000E+00,1.052656E-01,0.000000E+00,6.120379E+03,0.000000E+00,3.157233E-01,0.000000E+00
02:15:00,1.655242E+03,0.000000E+00,8.541057E-02,0.000000E+00,2.209363E+03,0.000000E+00,1.140068E-01,0.000000E+00,2.413266E+03,0.000000E+00,1.245288E-01,0.000000E+00,2.103795E+03,0.000000E+00,1.085589E-01,0.000000E+00,6.230958E+03,0.000000E+00,3.214345E-01,0.000000E+00
02:30:00,1.719815E+03,0.000000E+00,8.874263E-02,0.000000E+00,2.272410E+03,0.000000E+00,1.172600E-01,0.000000E+00,2.474307E+03,0.000000E+00,1.276784E-01,0.000000E+00,2.167772E+03,0.000000E+00,1.118601E-01,0.000000E+00,6.342760E+03,0.000000E+00,3.272115E-01,0.000000E+00
02:45:00,1.785002E+03,0.000000E+00,9.210704E-02,0.000000E+00,2.335519E+03,0.000000E+00,1.205163E-01,0.000000E+00,2.535363E+03,0.000000E+00,1.308289E-01,0.000000E+00,2.231868E+03,0.000000E+00,1.151674E-01,0.000000E+00,6.455651E+03,0.000000E+00,3.330420E-01,0.000000E+00
03:00:00,1.850931E+03,0.000000E+00,9.550935E-02,0.000000E+00,2.398669E+03,0.000000E+00,1.237749E-01,0.000000E+00,2.596422E+03,0.000000E+00,1.339794E-01,0.000000E+00,2.296054E+03,0.000000E+00,1.184795E-01,0.000000E+00,6.569550E+03,0.000000E+00,3.389226E-01,0.000000E+00
03:15:00,1.917300E+03,0.000000E+00,9.893419E-02,0.000000E+00,2.461711E+03,0.000000E+00,1.270278E-01,0.000000E+00,2.657339E+03,0.000000E+00,1.371227E-01,0.000000E+00,2.360175E+03,0.000000E+00,1.217881E-01,0.000000E+00,6.684305E+03,0.000000E+00,3.448464E-01,0.000000E+00
03:30:00,1.984046E+03,0.000000E+00,1.023784E-01,0.000000E+00,2.524699E+03,0.000000E+00,1.302780E-01,0.000000E+00,2.718171E+03,0.000000E+00,1.402616E-01,0.000000E+00,2.424279E+03,0.000000E+00,1.250959E-01,0.000000E+00,6.799963E+03,0.000000E+00,3.508161E-01,0.000000E+00
03:45:00,2.051020E+03,0.000000E+00,1.058344E-01,0.000000E+00,2.587571E+03,0.000000E+00,1.335222E-01,0.000000E+00,2.778861E+03,0.000000E+00,1.433932E-01,0.000000E+00,2.488299E+03,0.000000E+00,1.283993E-01,0.000000E+00,6.916358E+03,0.000000E+00,3.568229E-01,0.000000E+00
04:00:00,2.118094E+03,0.000000E+00,1.092954E-01,0.000000E+00,2.650277E+03,0.000000E+00,1.367576E-01,0.000000E+00,2.839365E+03,0.000000E+00,1.465150E-01,0.000000E+00,2.552179E+03,0.000000E+00,1.316954E-01,0.000000E+00,7.033340E+03,0.000000E+00,3.628592E-01,0.000000E+00
04:15:00,2.185188E+03,0.000000E+00,1.127574E-01,0.000000E+00,2.712796E+03,0.000000E+00,1.399834E-01,0.000000E+00,2.899665E+03,0.000000E+00,1.496262E-01,0.000000E+00,2.615893E+03,0.000000E+00,1.349828E-01,0.000000E+00,7.150843E+03,0.000000E+00,3.689216E-01,0.000000E+00
04:30:00,2.252236E+03,0.000000E+00,1.162168E-01,0.000000E+00,2.775108E+03,0.000000E+00,1.431983E-01,0.000000E+00,2.959744E+03,0.000000E+00,1.527258E-01,0.000000E+00,2.679415E+03,0.000000E+00,1.382602E-01,0.000000E+00,7.268792E+03,0.000000E+00,3.750062E-01,0.000000E+00
04:45:00,2.319181E+03,0.000000E+00,1.196708E-01,0.000000E+00,2.837194E+03,0.000000E+00,1.464015E-01,0.000000E+00,3.019588E+03,0.000000E+00,1.558132E-01,0.000000E+00,2.742726E+03,0.000000E+00,1.415266E-01,0.000000E+00,7.387131E+03,0.000000E+00,3.811107E-01,0.000000E+00
05:00:00,2.385972E+03,0.000000E+00,1.231169E-01,0.000000E+00,2.899039E+03,0.000000E+00,1.495922E-01,0.000000E+00,3.079181E+03,0.000000E+00,1.588877E-01,0.000000E+00,2.805805E+03,0.000000E+00,1.447810E-01,0.000000E+00,7.505800E+03,0.000000E+00,3.872321E-01,0.000000E+00
05:15:00,2.452488E+03,0.000000E+00,1.265487E-01,0.000000E+00,2.960546E+03,0.000000E+00,1.527655E-01,0.000000E+00,3.138431E+03,0.000000E+00,1.619445E-01,0.000000E+00,2.868554E+03,0.000000E+00,1.480184E-01,0.000000E+00,7.624344E+03,0.000000E+00,3.933470E-01,0.000000E+00
05:30:00,2.518688E+03,0.000000E+00,1.299642E-01,0.000000E+00,3.021703E+03,0.000000E+00,1.559207E-01,0.000000E+00,3.197323E+03,0.000000E+00,1.649828E-01,0.000000E+00,2.930956E+03,0.000000E+00,1.512379E-01,0.000000E+00,7.742704E+03,0.000000E+00,3.994526E-01,0.000000E+00
05:45:00,2.584537E+03,0.000000E+00,1.333616E-01,0.000000E+00,3.082493E+03,0.000000E+00,1.590570E-01,0.000000E+00,3.255846E+03,0.000000E+00,1.680020E-01,0.000000E+00,2.992996E+03,0.000000E+00,1.544387E-01,0.000000E+00,7.860825E+03,0.000000E+00,4.055458E-01,0.000000E+00
06:00:00,2.650004E+03,0.000000E+00,1.367393E-01,0.000000E+00,3.142907E+03,0.000000E+00,1.621739E-01,0.000000E+00,3.313986E+03,0.000000E+00,1.710015E-01,0.000000E+00,3.054659E+03,0.000000E+00,1.576201E-01,0.000000E+00,7.978656E+03,0.000000E+00,4.116240E-01,0.000000E+00
06:15:00,2.441902E+03,0.000000E+00,1.260010E-01,0.000000E+00,2.929746E+03,0.000000E+00,1.511744E-01,0.000000E+00,3.098571E+03,0.000000E+00,1.598857E-01,0.000000E+00,2.842750E+03,0.000000E+00,1.466852E-01,0.000000E+00,6.500534E+03,0.000000E+00,3.353663E-01,0.000000E+00
06:30:00,2.229823E+03,0.000000E+00,1.150597E-01,0.000000E+00,2.712614E+03,0.000000E+00,1.399722E-01,0.000000E+00,2.879209E+03,0.000000E+00,1.485684E-01,0.000000E+00,2.626873E+03,0.000000E+00,1.355479E-01,0.000000E+00,5.013365E+03,0.000000E+00,2.586503E-01,0.000000E+00
06:45:00,2.013597E+03,0.000000E+00,1.039056E-01,0.000000E+00,2.491370E+03,0.000000E+00,1.285597E-01,0.000000E+00,2.655766E+03,0.000000E+00,1.370428E-01,0.000000E+00,2.406883E+03,0.000000E+00,1.242000E-01,0.000000E+00,3.516178E+03,0.000000E+00,1.814188E-01,0.000000E+00
07:00:00,1.793114E+03,0.000000E+00,9.253281E-02,0.000000E+00,2.265909E+03,0.000000E+00,1.169312E-01,0.000000E+00,2.428135E+03,0.000000E+00,1.253026E-01,0.000000E+00,2.182677E+03,0.000000E+00,1.126360E-01,0.000000E+00,2.009026E+03,0.000000E+00,1.036742E-01,0.000000E+00
07:15:00,1.841384E+03,0.000000E+00,9.502842E-02,0.000000E+00,2.309287E+03,0.000000E+00,1.191758E-01,0.000000E+00,2.469348E+03,0.000000E+00,1.274361E-01,0.000000E+00,2.227303E+03,0.000000E+00,1.149448E-01,0.000000E+00,2.087812E+03,0.000000E+00,1.077497E-01,0.000000E+00
07:30:00,1.883800E+03,0.000000E+00,9.722046E-02,0.000000E+00,2.344951E+03,0.000000E+00,1.210210E-01,0.000000E+00,2.506758E+03,0.000000E+00,1.293720E-01,0.000000E+00,2.267968E+03,0.000000E+00,1.170478E-01,0.000000E+00,2.165340E+03,0.000000E+00,1.117527E-01,0.000000E+00
07:45:00,1.903575E+03,0.000000E+00,9.824340E-02,0.000000E+00,2.345417E+03,0.000000E+00,1.210484E-01,0.000000E+00,2.538385E+03,0.000000E+00,1.310080E-01,0.000000E+00,2.302627E+03,0.000000E+00,1.188398E-01,0.000000E+00,2.241531E+03,0.000000E+00,1.156864E-01,0.000000E+00
08:00:00,1.894117E+03,0.000000E+00,9.775717E-02,0.000000E+00,2.307054E+03,0.000000E+00,1.190709E-01,0.000000E+00,2.562188E+03,0.000000E+00,1.322393E-01,0.000000E+00,2.329246E+03,0.000000E+00,1.202160E-01,0.000000E+00,2.313937E+03,0.000000E+00,1.194246E-01,0.000000E+00
08:15:00,1.852536E+03,2.368546E+03,9.561262E-02,1.569365E-01,2.231625E+03,2.537310E+03,1.151796E-01,1.635295E-01,2.576834E+03,2.448474E+03,1.329971E-01,1.610790E-01,2.346674E+03,2.664529E+03,1.211173E-01,1.773723E-01,2.380801E+03,5.640279E+03,1.228767E-01,4.122271E-01
08:30:00,1.780341E+03,5.841932E+03,9.188767E-02,4.933224E-01,2.123170E+03,6.503527E+03,1.095832E-01,5.464228E-01,2.583830E+03,6.042480E+03,1.333595E-01,5.086773E-01,2.356835E+03,6.125273E+03,1.216431E-01,5.105664E-01,2.441450E+03,1.485813E+04,1.260080E-01,1.298372E+00
08:45:00,1.690929E+03,8.852323E+03,8.727375E-02,7.872814E-01,2.004060E+03,9.960906E+03,1.034363E-01,8.834303E-01,2.585695E+03,9.143286E+03,1.334567E-01,8.112465E-01,2.362537E+03,9.137094E+03,1.219383E-01,8.037075E-01,2.496100E+03,2.278572E+04,1.288296E-01,2.069945E+00
09:00:00,1.590601E+03,1.169343E+04,8.209609E-02,1.065273E+00,1.881996E+03,1.325024E+04,9.713667E-02,1.204983E+00,2.584487E+03,1.205470E+04,1.333950E-01,1.096020E+00,2.365774E+03,1.199210E+04,1.221060E-01,1.082661E+00,2.545804E+03,3.023242E+04,1.313958E-01,2.797794E+00
09:15:00,1.467772E+03,1.204421E+04,7.575687E-02,1.174645E+00,1.746947E+03,1.388070E+04,9.016657E-02,1.351538E+00,2.570612E+03,1.237698E+04,1.326792E-01,1.206245E+00,2.356355E+03,1.207244E+04,1.216203E-01,1.173937E+00,2.589953E+03,3.165876E+04,1.336751E-01,3.077375E+00
09:30:00,1.323286E+03,1.120379E+04,6.829965E-02,1.096209E+00,1.603682E+03,1.299527E+04,8.277230E-02,1.270399E+00,2.544382E+03,1.145193E+04,1.313257E-01,1.120105E+00,2.334076E+03,1.128245E+04,1.204707E-01,1.102328E+00,2.625844E+03,2.922046E+04,1.355282E-01,2.855324E+00
