Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.339098E+03,0.000000E+00,1.207087E-01,0.000000E+00,2.829064E+03,0.000000E+00,1.459934E-01,0.000000E+00,3.045798E+03,0.000000E+00,1.571778E-01,0.000000E+00,2.763853E+03,0.000000E+00,1.426282E-01,0.000000E+00,7.449484E+03,0.000000E+00,3.844014E-01,0.000000E+00
00:30:00,2.468731E+03,0.000000E+00,1.273961E-01,0.000000E+00,2.952984E+03,0.000000E+00,1.523857E-01,0.000000E+00,3.165637E+03,0.000000E+00,1.633592E-01,0.000000E+00,2.888097E+03,0.000000E+00,1.490372E-01,0.000000E+00,7.755727E+03,0.000000E+00,4.001940E-01,0.000000E+00
00:45:00,2.597446E+03,0.000000E+00,1.340362E-01,0.000000E+00,3.076032E+03,0.000000E+00,1.587330E-01,0.000000E+00,3.284580E+03,0.000000E+00,1.694945E-01,0.000000E+00,3.011493E+03,0.000000E+00,1.554026E-01,0.000000E+00,8.056823E+03,0.000000E+00,4.157209E-01,0.000000E+00
01:00:00,2.725163E+03,0.000000E+00,1.406247E-01,0.000000E+00,3.198140E+03,0.000000E+00,1.650318E-01,0.000000E+00,3.402509E+03,0.000000E+00,1.755773E-01,0.000000E+00,3.133971E+03,0.000000E+00,1.617205E-01,0.000000E+00,8.352699E+03,0.000000E+00,4.309782E-01,0.000000E+00
01:15:00,2.776308E+03,0.000000E+00,1.432638E-01,0.000000E+00,3.244299E+03,0.000000E+00,1.674135E-01,0.000000E+00,3.445610E+03,0.000000E+00,1.778010E-01,0.000000E+00,3.180876E+03,0.000000E+00,1.641408E-01,0.000000E+00,8.442384E+03,0.000000E+00,4.356045E-01,0.000000E+00
01:30:00,2.827268E+03,0.000000E+00,1.458931E-01,0.000000E+00,3.290351E+03,0.000000E+00,1.697895E-01,0.000000E+00,3.488634E+03,0.000000E+00,1.800205E-01,0.000000E+00,3.227697E+03,0.000000E+00,1.665564E-01,0.000000E+00,8.532457E+03,0.000000E+00,4.402496E-01,0.000000E+00
01:45:00,2.878011E+03,0.000000E+00,1.485111E-01,0.000000E+00,3.336272E+03,0.000000E+00,1.721586E-01,0.000000E+00,3.531589E+03,0.000000E+00,1.822364E-01,0.000000E+00,3.274406E+03,0.000000E+00,1.689662E-01,0.000000E+00,8.622879E+03,0.000000E+00,4.449127E-01,0.000000E+00
02:00:00,2.928496E+03,0.000000E+00,1.511157E-01,0.000000E+00,3.382028E+03,0.000000E+00,1.745191E-01,0.000000E+00,3.574510E+03,0.000000E+00,1.844506E-01,0.000000E+00,3.320967E+03,0.000000E+00,1.713683E-01,0.000000E+00,8.713579E+03,0.000000E+00,4.495905E-01,0.000000E+00
02:15:00,2.978902E+03,0.000000E+00,1.537163E-01,0.000000E+00,3.427810E+03,0.000000E+00,1.768811E-01,0.000000E+00,3.617587E+03,0.000000E+00,1.866731E-01,0.000000E+00,3.367570E+03,0.000000E+00,1.737727E-01,0.000000E+00,8.804473E+03,0.000000E+00,4.542788E-01,0.000000E+00
02:30:00,3.029194E+03,0.000000E+00,1.563112E-01,0.000000E+00,3.473591E+03,0.000000E+00,1.792431E-01,0.000000E+00,3.660765E+03,0.000000E+00,1.889009E-01,0.000000E+00,3.414191E+03,0.000000E+00,1.761781E-01,0.000000E+00,8.895499E+03,0.000000E+00,4.589745E-01,0.000000E+00
02:45:00,3.079332E+03,0.000000E+00,1.588981E-01,0.000000E+00,3.519339E+03,0.000000E+00,1.816035E-01,0.000000E+00,3.704019E+03,0.000000E+00,1.911328E-01,0.000000E+00,3.460800E+03,0.000000E+00,1.785830E-01,0.000000E+00,8.986594E+03,0.000000E+00,4.636740E-01,0.000000E+00
03:00:00,3.129267E+03,0.000000E+00,1.614746E-01,0.000000E+00,3.565013E+03,0.000000E+00,1.839601E-01,0.000000E+00,3.747331E+03,0.000000E+00,1.933677E-01,0.000000E+00,3.507375E+03,0.000000E+00,1.809861E-01,0.000000E+00,9.077720E+03,0.000000E+00,4.683750E-01,0.000000E+00
03:15:00,3.178807E+03,0.000000E+00,1.640306E-01,0.000000E+00,3.610399E+03,0.000000E+00,1.863018E-01,0.000000E+00,3.790572E+03,0.000000E+00,1.955989E-01,0.000000E+00,3.553774E+03,0.000000E+00,1.833801E-01,0.000000E+00,9.168831E+03,0.000000E+00,4.730754E-01,0.000000E+00
