Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.036005E+03,0.000000E+00,5.347013E-02,0.000000E+00,9.720182E+02,0.000000E+00,5.016049E-02,0.000000E+00,1.142615E+03,0.000000E+00,5.896423E-02,0.000000E+00,9.380998E+02,0.000000E+00,4.841019E-02,0.000000E+00,4.522594E+03,0.000000E+00,2.333652E-01,0.000000E+00
00:30:00,1.117317E+03,0.000000E+00,5.766689E-02,0.000000E+00,1.069642E+03,0.000000E+00,5.519687E-02,0.000000E+00,1.246971E+03,0.000000E+00,6.434834E-02,0.000000E+00,1.034112E+03,0.000000E+00,5.336302E-02,0.000000E+00,4.824161E+03,0.000000E+00,2.489161E-01,0.000000E+00
00:45:00,1.197911E+03,0.000000E+00,6.182658E-02,0.000000E+00,1.168044E+03,0.000000E+00,6.027351E-02,0.000000E+00,1.352117E+03,0.000000E+00,6.977321E-02,0.000000E+00,1.130496E+03,0.000000E+00,5.833522E-02,0.000000E+00,5.121136E+03,0.000000E+00,2.642294E-01,0.000000E+00
01:00:00,1.277728E+03,0.000000E+00,6.594615E-02,0.000000E+00,1.267297E+03,0.000000E+00,6.539410E-02,0.000000E+00,1.457846E+03,0.000000E+00,7.522814E-02,0.000000E+00,1.227398E+03,0.000000E+00,6.333429E-02,0.000000E+00,5.413059E+03,0.000000E+00,2.792811E-01,0.000000E+00
01:15:00,1.313121E+03,0.000000E+00,6.777271E-02,0.000000E+00,1.313103E+03,0.000000E+00,6.775796E-02,0.000000E+00,1.505321E+03,0.000000E+00,7.767798E-02,0.000000E+00,1.271748E+03,0.000000E+00,6.562306E-02,0.000000E+00,5.507987E+03,0.000000E+00,2.841755E-01,0.000000E+00
01:30:00,1.349316E+03,0.000000E+00,6.964068E-02,0.000000E+00,1.359854E+03,0.000000E+00,7.017050E-02,0.000000E+00,1.553390E+03,0.000000E+00,8.015837E-02,0.000000E+00,1.317277E+03,0.000000E+00,6.797274E-02,0.000000E+00,5.603279E+03,0.000000E+00,2.890872E-01,0.000000E+00
01:45:00,1.386283E+03,0.000000E+00,7.154845E-02,0.000000E+00,1.407476E+03,0.000000E+00,7.262782E-02,0.000000E+00,1.601969E+03,0.000000E+00,8.266496E-02,0.000000E+00,1.363818E+03,0.000000E+00,7.037442E-02,0.000000E+00,5.698793E+03,0.000000E+00,2.940098E-01,0.000000E+00
02:00:00,1.423990E+03,0.000000E+00,7.349446E-02,0.000000E+00,1.455849E+03,0.000000E+00,7.512391E-02,0.000000E+00,1.650974E+03,0.000000E+00,8.519355E-02,0.000000E+00,1.411273E+03,0.000000E+00,7.282319E-02,0.000000E+00,5.794320E+03,0.000000E+00,2.989329E-01,0.000000E+00
02:15:00,1.461373E+03,0.000000E+00,7.542369E-02,0.000000E+00,1.504905E+03,0.000000E+00,7.765523E-02,0.000000E+00,1.700424E+03,0.000000E+00,8.774511E-02,0.000000E+00,1.459608E+03,0.000000E+00,7.531738E-02,0.000000E+00,5.889560E+03,0.000000E+00,3.038410E-01,0.000000E+00
02:30:00,1.498401E+03,0.000000E+00,7.733457E-02,0.000000E+00,1.554545E+03,0.000000E+00,8.021667E-02,0.000000E+00,1.750252E+03,0.000000E+00,9.031615E-02,0.000000E+00,1.508651E+03,0.000000E+00,7.784806E-02,0.000000E+00,5.984031E+03,0.000000E+00,3.087090E-01,0.000000E+00
