Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,8.862621E+02,0.000000E+00,4.573610E-02,0.000000E+00,1.385147E+03,0.000000E+00,7.147862E-02,0.000000E+00,1.579053E+03,0.000000E+00,8.148546E-02,0.000000E+00,1.292297E+03,0.000000E+00,6.668639E-02,0.000000E+00,4.853004E+03,0.000000E+00,2.503799E-01,0.000000E+00
00:30:00,1.012678E+03,0.000000E+00,5.225823E-02,0.000000E+00,1.507540E+03,0.000000E+00,7.779310E-02,0.000000E+00,1.700439E+03,0.000000E+00,8.774774E-02,0.000000E+00,1.412968E+03,0.000000E+00,7.291217E-02,0.000000E+00,5.117762E+03,0.000000E+00,2.640195E-01,0.000000E+00
00:45:00,1.137626E+03,0.000000E+00,5.870448E-02,0.000000E+00,1.629937E+03,0.000000E+00,8.410775E-02,0.000000E+00,1.821485E+03,0.000000E+00,9.399254E-02,0.000000E+00,1.534126E+03,0.000000E+00,7.916306E-02,0.000000E+00,5.374737E+03,0.000000E+00,2.772534E-01,0.000000E+00
01:00:00,1.260842E+03,0.000000E+00,6.506125E-02,0.000000E+00,1.752171E+03,0.000000E+00,9.041393E-02,0.000000E+00,1.942070E+03,0.000000E+00,1.002135E-01,0.000000E+00,1.655467E+03,0.000000E+00,8.542331E-02,0.000000E+00,5.624967E+03,0.000000E+00,2.901309E-01,0.000000E+00
01:15:00,1.313437E+03,0.000000E+00,6.777473E-02,0.000000E+00,1.804496E+03,0.000000E+00,9.311397E-02,0.000000E+00,1.992799E+03,0.000000E+00,1.028311E-01,0.000000E+00,1.708216E+03,0.000000E+00,8.814530E-02,0.000000E+00,5.694789E+03,0.000000E+00,2.937177E-01,0.000000E+00
01:30:00,1.364696E+03,0.000000E+00,7.041906E-02,0.000000E+00,1.857036E+03,0.000000E+00,9.582495E-02,0.000000E+00,2.043654E+03,0.000000E+00,1.054551E-01,0.000000E+00,1.761289E+03,0.000000E+00,9.088378E-02,0.000000E+00,5.766660E+03,0.000000E+00,2.974177E-01,0.000000E+00
01:45:00,1.414101E+03,0.000000E+00,7.296738E-02,0.000000E+00,1.909730E+03,0.000000E+00,9.854377E-02,0.000000E+00,2.094585E+03,0.000000E+00,1.080829E-01,0.000000E+00,1.814607E+03,0.000000E+00,9.363486E-02,0.000000E+00,5.841343E+03,0.000000E+00,3.012718E-01,0.000000E+00
02:00:00,1.463643E+03,0.000000E+00,7.552251E-02,0.000000E+00,1.962515E+03,0.000000E+00,1.012673E-01,0.000000E+00,2.145538E+03,0.000000E+00,1.107118E-01,0.000000E+00,1.868096E+03,0.000000E+00,9.639471E-02,0.000000E+00,5.917748E+03,0.000000E+00,3.052266E-01,0.000000E+00
02:15:00,1.513920E+03,0.000000E+00,7.811612E-02,0.000000E+00,2.015441E+03,0.000000E+00,1.039981E-01,0.000000E+00,2.196573E+03,0.000000E+00,1.133450E-01,0.000000E+00,1.921791E+03,0.000000E+00,9.916522E-02,0.000000E+00,5.994539E+03,0.000000E+00,3.092027E-01,0.000000E+00
02:30:00,1.565763E+03,0.000000E+00,8.079100E-02,0.000000E+00,2.068489E+03,0.000000E+00,1.067352E-01,0.000000E+00,2.247680E+03,0.000000E+00,1.159819E-01,0.000000E+00,1.975664E+03,0.000000E+00,1.019450E-01,0.000000E+00,6.071716E+03,0.000000E+00,3.131945E-01,0.000000E+00
02:45:00,1.620005E+03,0.000000E+00,8.359012E-02,0.000000E+00,2.121639E+03,0.000000E+00,1.094777E-01,0.000000E+00,2.298847E+03,0.000000E+00,1.186220E-01,0.000000E+00,2.029689E+03,0.000000E+00,1.047326E-01,0.000000E+00,6.149339E+03,0.000000E+00,3.172060E-01,0.000000E+00
