Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.001807E+03,0.000000E+00,5.170493E-02,0.000000E+00,9.667160E+02,0.000000E+00,4.988616E-02,0.000000E+00,1.216304E+03,0.000000E+00,6.276623E-02,0.000000E+00,9.357987E+02,0.000000E+00,4.829021E-02,0.000000E+00,4.660979E+03,0.000000E+00,2.404938E-01,0.000000E+00
00:30:00,1.075023E+03,0.000000E+00,5.548388E-02,0.000000E+00,1.057147E+03,0.000000E+00,5.455135E-02,0.000000E+00,1.313646E+03,0.000000E+00,6.778825E-02,0.000000E+00,1.024587E+03,0.000000E+00,5.287019E-02,0.000000E+00,4.931978E+03,0.000000E+00,2.544650E-01,0.000000E+00
00:45:00,1.147510E+03,0.000000E+00,5.922515E-02,0.000000E+00,1.148242E+03,0.000000E+00,5.925086E-02,0.000000E+00,1.411386E+03,0.000000E+00,7.283077E-02,0.000000E+00,1.113720E+03,0.000000E+00,5.746824E-02,0.000000E+00,5.197573E+03,0.000000E+00,2.681566E-01,0.000000E+00
01:00:00,1.219216E+03,0.000000E+00,6.292606E-02,0.000000E+00,1.240155E+03,0.000000E+00,6.399271E-02,0.000000E+00,1.509369E+03,0.000000E+00,7.788576E-02,0.000000E+00,1.203128E+03,0.000000E+00,6.208058E-02,0.000000E+00,5.457429E+03,0.000000E+00,2.815511E-01,0.000000E+00
01:15:00,1.250989E+03,0.000000E+00,6.456576E-02,0.000000E+00,1.281411E+03,0.000000E+00,6.612175E-02,0.000000E+00,1.552192E+03,0.000000E+00,8.009552E-02,0.000000E+00,1.243181E+03,0.000000E+00,6.414807E-02,0.000000E+00,5.533115E+03,0.000000E+00,2.854515E-01,0.000000E+00
01:30:00,1.283530E+03,0.000000E+00,6.624517E-02,0.000000E+00,1.323480E+03,0.000000E+00,6.829256E-02,0.000000E+00,1.595513E+03,0.000000E+00,8.233084E-02,0.000000E+00,1.284200E+03,0.000000E+00,6.626492E-02,0.000000E+00,5.609116E+03,0.000000E+00,2.893667E-01,0.000000E+00
01:45:00,1.316814E+03,0.000000E+00,6.796285E-02,0.000000E+00,1.366305E+03,0.000000E+00,7.050237E-02,0.000000E+00,1.639263E+03,0.000000E+00,8.458817E-02,0.000000E+00,1.326085E+03,0.000000E+00,6.842633E-02,0.000000E+00,5.685323E+03,0.000000E+00,2.932922E-01,0.000000E+00
02:00:00,1.350814E+03,0.000000E+00,6.971749E-02,0.000000E+00,1.409778E+03,0.000000E+00,7.274552E-02,0.000000E+00,1.683371E+03,0.000000E+00,8.686401E-02,0.000000E+00,1.368761E+03,0.000000E+00,7.062845E-02,0.000000E+00,5.761556E+03,0.000000E+00,2.972188E-01,0.000000E+00
02:15:00,1.384487E+03,0.000000E+00,7.145528E-02,0.000000E+00,1.453849E+03,0.000000E+00,7.501957E-02,0.000000E+00,1.727864E+03,0.000000E+00,8.915972E-02,0.000000E+00,1.412204E+03,0.000000E+00,7.287017E-02,0.000000E+00,5.837545E+03,0.000000E+00,3.011324E-01,0.000000E+00
02:30:00,1.417808E+03,0.000000E+00,7.317485E-02,0.000000E+00,1.498437E+03,0.000000E+00,7.732031E-02,0.000000E+00,1.772684E+03,0.000000E+00,9.147231E-02,0.000000E+00,1.456268E+03,0.000000E+00,7.514394E-02,0.000000E+00,5.912935E+03,0.000000E+00,3.050144E-01,0.000000E+00
02:45:00,1.450755E+03,0.000000E+00,7.487508E-02,0.000000E+00,1.543467E+03,0.000000E+00,7.964387E-02,0.000000E+00,1.817776E+03,0.000000E+00,9.379902E-02,0.000000E+00,1.500866E+03,0.000000E+00,7.744519E-02,0.000000E+00,5.987202E+03,0.000000E+00,3.088365E-01,0.000000E+00
03:00:00,1.483309E+03,0.000000E+00,7.655505E-02,0.000000E+00,1.588874E+03,0.000000E+00,8.198684E-02,0.000000E+00,1.863095E+03,0.000000E+00,9.613741E-02,0.000000E+00,1.545918E+03,0.000000E+00,7.976991E-02,0.000000E+00,6.058996E+03,0.000000E+00,3.125273E-01,0.000000E+00
