,INTERIORLIGHTS:ELECTRICITY [kWh],EXTERIORLIGHTS:ELECTRICITY [],INTERIOREQUIPMENT:ELECTRICITY [kWh],EXTERIOREQUIPMENT:ELECTRICITY [],FANS:ELECTRICITY [kWh],PUMPS:ELECTRICITY [],HEATING:ELECTRICITY [kWh],COOLING:ELECTRICITY [kWh],HEATREJECTION:ELECTRICITY [],HUMIDIFIER:ELECTRICITY [],HEATRECOVERY:ELECTRICITY [],WATERSYSTEMS:ELECTRICITY [],COGENERATION:ELECTRICITY []
January,708.51,0.00,1209.26,0.00,63.01,0.00,806.56,0.00,0.00,0.00,0.00,0.00,0.00
February,644.41,0.00,1079.19,0.00,16.92,0.00,146.92,71.04,0.00,0.00,0.00,0.00,0.00
March,739.28,0.00,1215.66,0.00,53.00,0.00,14.27,736.75,0.00,0.00,0.00,0.00,0.00
April,647.40,0.00,1121.53,0.00,140.19,0.00,0.00,2121.92,0.00,0.00,0.00,0.00,0.00
May,739.28,0.00,1215.66,0.00,229.74,0.00,0.00,3579.48,0.00,0.00,0.00,0.00,0.00
June,707.66,0.00,1170.17,0.00,245.97,0.00,0.00,3818.19,0.00,0.00,0.00,0.00,0.00
July,679.02,0.00,1167.02,0.00,194.13,0.00,0.00,2881.37,0.00,0.00,0.00,0.00,0.00
August,739.28,0.00,1215.66,0.00,194.85,0.00,0.00,2865.98,0.00,0.00,0.00,0.00,0.00
September,678.17,0.00,1127.94,0.00,177.97,0.00,0.00,2631.48,0.00,0.00,0.00,0.00,0.00
October,708.51,0.00,1209.26,0.00,92.14,0.00,0.00,1322.30,0.00,0.00,0.00,0.00,0.00
November,707.66,0.00,1170.17,0.00,19.36,0.00,27.59,245.32,0.00,0.00,0.00,0.00,0.00
December,679.02,0.00,1167.02,0.00,43.19,0.00,568.68,2.72,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
Annual Sum or Average,8378.20,,14068.57,,1470.47,,1564.02,20276.54,,,,,
Minimum of Months,644.41,0.00,1079.19,0.00,16.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maximum of Months,739.28,0.00,1215.66,0.00,245.97,0.00,806.56,3818.19,0.00,0.00,0.00,0.00,0.00
