Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.694718E+03,0.000000E+00,8.745528E-02,0.000000E+00,2.072198E+03,0.000000E+00,1.069350E-01,0.000000E+00,2.361791E+03,0.000000E+00,1.218792E-01,0.000000E+00,2.040445E+03,0.000000E+00,1.052964E-01,0.000000E+00,6.361666E+03,0.000000E+00,3.282618E-01,0.000000E+00
00:30:00,1.786822E+03,0.000000E+00,9.220654E-02,0.000000E+00,2.162644E+03,0.000000E+00,1.116005E-01,0.000000E+00,2.449794E+03,0.000000E+00,1.264183E-01,0.000000E+00,2.129802E+03,0.000000E+00,1.099057E-01,0.000000E+00,6.625321E+03,0.000000E+00,3.418571E-01,0.000000E+00
00:45:00,1.878407E+03,0.000000E+00,9.693104E-02,0.000000E+00,2.252557E+03,0.000000E+00,1.162384E-01,0.000000E+00,2.537272E+03,0.000000E+00,1.309304E-01,0.000000E+00,2.218679E+03,0.000000E+00,1.144902E-01,0.000000E+00,6.883115E+03,0.000000E+00,3.551498E-01,0.000000E+00
01:00:00,1.969424E+03,0.000000E+00,1.016261E-01,0.000000E+00,2.341898E+03,0.000000E+00,1.208468E-01,0.000000E+00,2.624187E+03,0.000000E+00,1.354134E-01,0.000000E+00,2.307031E+03,0.000000E+00,1.190475E-01,0.000000E+00,7.135005E+03,0.000000E+00,3.681375E-01,0.000000E+00
01:15:00,2.004984E+03,0.000000E+00,1.034610E-01,0.000000E+00,2.375549E+03,0.000000E+00,1.225832E-01,0.000000E+00,2.656249E+03,0.000000E+00,1.370678E-01,0.000000E+00,2.340500E+03,0.000000E+00,1.207745E-01,0.000000E+00,7.202380E+03,0.000000E+00,3.716125E-01,0.000000E+00
01:30:00,2.040697E+03,0.000000E+00,1.053036E-01,0.000000E+00,2.409357E+03,0.000000E+00,1.243274E-01,0.000000E+00,2.688475E+03,0.000000E+00,1.387303E-01,0.000000E+00,2.374169E+03,0.000000E+00,1.225116E-01,0.000000E+00,7.270120E+03,0.000000E+00,3.751051E-01,0.000000E+00
01:45:00,2.076528E+03,0.000000E+00,1.071521E-01,0.000000E+00,2.443295E+03,0.000000E+00,1.260782E-01,0.000000E+00,2.720839E+03,0.000000E+00,1.403999E-01,0.000000E+00,2.408007E+03,0.000000E+00,1.242573E-01,0.000000E+00,7.338213E+03,0.000000E+00,3.786161E-01,0.000000E+00
02:00:00,2.112437E+03,0.000000E+00,1.090047E-01,0.000000E+00,2.477331E+03,0.000000E+00,1.278342E-01,0.000000E+00,2.753308E+03,0.000000E+00,1.420749E-01,0.000000E+00,2.441978E+03,0.000000E+00,1.260099E-01,0.000000E+00,7.406614E+03,0.000000E+00,3.821434E-01,0.000000E+00
02:15:00,2.148474E+03,0.000000E+00,1.108640E-01,0.000000E+00,2.511525E+03,0.000000E+00,1.295983E-01,0.000000E+00,2.785943E+03,0.000000E+00,1.437586E-01,0.000000E+00,2.476137E+03,0.000000E+00,1.277722E-01,0.000000E+00,7.475263E+03,0.000000E+00,3.856841E-01,0.000000E+00
02:30:00,2.184604E+03,0.000000E+00,1.127280E-01,0.000000E+00,2.545848E+03,0.000000E+00,1.313692E-01,0.000000E+00,2.818714E+03,0.000000E+00,1.454494E-01,0.000000E+00,2.510452E+03,0.000000E+00,1.295427E-01,0.000000E+00,7.544118E+03,0.000000E+00,3.892359E-01,0.000000E+00
02:45:00,2.220792E+03,0.000000E+00,1.145951E-01,0.000000E+00,2.580274E+03,0.000000E+00,1.331455E-01,0.000000E+00,2.851595E+03,0.000000E+00,1.471458E-01,0.000000E+00,2.544894E+03,0.000000E+00,1.313197E-01,0.000000E+00,7.613136E+03,0.000000E+00,3.927962E-01,0.000000E+00
03:00:00,2.257006E+03,0.000000E+00,1.164636E-01,0.000000E+00,2.614780E+03,0.000000E+00,1.349259E-01,0.000000E+00,2.884561E+03,0.000000E+00,1.488468E-01,0.000000E+00,2.579437E+03,0.000000E+00,1.331021E-01,0.000000E+00,7.682288E+03,0.000000E+00,3.963634E-01,0.000000E+00
03:15:00,2.293172E+03,0.000000E+00,1.183296E-01,0.000000E+00,2.649301E+03,0.000000E+00,1.367070E-01,0.000000E+00,2.917543E+03,0.000000E+00,1.505486E-01,0.000000E+00,2.614014E+03,0.000000E+00,1.348862E-01,0.000000E+00,7.751535E+03,0.000000E+00,3.999356E-01,0.000000E+00
03:30:00,2.329263E+03,0.000000E+00,1.201918E-01,0.000000E+00,2.683820E+03,0.000000E+00,1.384882E-01,0.000000E+00,2.950528E+03,0.000000E+00,1.522504E-01,0.000000E+00,2.648608E+03,0.000000E+00,1.366711E-01,0.000000E+00,7.820863E+03,0.000000E+00,4.035118E-01,0.000000E+00
03:45:00,2.365255E+03,0.000000E+00,1.220487E-01,0.000000E+00,2.718329E+03,0.000000E+00,1.402687E-01,0.000000E+00,2.983503E+03,0.000000E+00,1.539518E-01,0.000000E+00,2.683206E+03,0.000000E+00,1.384562E-01,0.000000E+00,7.890252E+03,0.000000E+00,4.070909E-01,0.000000E+00
04:00:00,2.401119E+03,0.000000E+00,1.238990E-01,0.000000E+00,2.752821E+03,0.000000E+00,1.420482E-01,0.000000E+00,3.016464E+03,0.000000E+00,1.556523E-01,0.000000E+00,2.717801E+03,0.000000E+00,1.402410E-01,0.000000E+00,7.959700E+03,0.000000E+00,4.106723E-01,0.000000E+00
04:15:00,2.436821E+03,0.000000E+00,1.257408E-01,0.000000E+00,2.787295E+03,0.000000E+00,1.438267E-01,0.000000E+00,3.049408E+03,0.000000E+00,1.573518E-01,0.000000E+00,2.752390E+03,0.000000E+00,1.420255E-01,0.000000E+00,8.029224E+03,0.000000E+00,4.142572E-01,0.000000E+00
04:30:00,2.472270E+03,0.000000E+00,1.275694E-01,0.000000E+00,2.821749E+03,0.000000E+00,1.456040E-01,0.000000E+00,3.082333E+03,0.000000E+00,1.590501E-01,0.000000E+00,2.786970E+03,0.000000E+00,1.438094E-01,0.000000E+00,8.098823E+03,0.000000E+00,4.178452E-01,0.000000E+00
04:45:00,2.507570E+03,0.000000E+00,1.293902E-01,0.000000E+00,2.856179E+03,0.000000E+00,1.473800E-01,0.000000E+00,3.115236E+03,0.000000E+00,1.607473E-01,0.000000E+00,2.821538E+03,0.000000E+00,1.455925E-01,0.000000E+00,8.168504E+03,0.000000E+00,4.214376E-01,0.000000E+00
05:00:00,2.542882E+03,0.000000E+00,1.312116E-01,0.000000E+00,2.890583E+03,0.000000E+00,1.491547E-01,0.000000E+00,3.148113E+03,0.000000E+00,1.624431E-01,0.000000E+00,2.856088E+03,0.000000E+00,1.473747E-01,0.000000E+00,8.238263E+03,0.000000E+00,4.250340E-01,0.000000E+00
05:15:00,2.578217E+03,0.000000E+00,1.330343E-01,0.000000E+00,2.924885E+03,0.000000E+00,1.509241E-01,0.000000E+00,3.180887E+03,0.000000E+00,1.641337E-01,0.000000E+00,2.890544E+03,0.000000E+00,1.491521E-01,0.000000E+00,8.307695E+03,0.000000E+00,4.286137E-01,0.000000E+00
05:30:00,2.613709E+03,0.000000E+00,1.348652E-01,0.000000E+00,2.959079E+03,0.000000E+00,1.526880E-01,0.000000E+00,3.213554E+03,0.000000E+00,1.658187E-01,0.000000E+00,2.924900E+03,0.000000E+00,1.509243E-01,0.000000E+00,8.376789E+03,0.000000E+00,4.321762E-01,0.000000E+00
05:45:00,2.649304E+03,0.000000E+00,1.367016E-01,0.000000E+00,2.993161E+03,0.000000E+00,1.544461E-01,0.000000E+00,3.246108E+03,0.000000E+00,1.674979E-01,0.000000E+00,2.959151E+03,0.000000E+00,1.526912E-01,0.000000E+00,8.445533E+03,0.000000E+00,4.357207E-01,0.000000E+00
06:00:00,2.684891E+03,0.000000E+00,1.385376E-01,0.000000E+00,3.027127E+03,0.000000E+00,1.561983E-01,0.000000E+00,3.278546E+03,0.000000E+00,1.691711E-01,0.000000E+00,2.993292E+03,0.000000E+00,1.544524E-01,0.000000E+00,8.513918E+03,0.000000E+00,4.392467E-01,0.000000E+00
06:15:00,2.448404E+03,0.000000E+00,1.263348E-01,0.000000E+00,2.788915E+03,0.000000E+00,1.439063E-01,0.000000E+00,3.038817E+03,0.000000E+00,1.568008E-01,0.000000E+00,2.755262E+03,0.000000E+00,1.421697E-01,0.000000E+00,6.986290E+03,0.000000E+00,3.604327E-01,0.000000E+00
06:30:00,2.209534E+03,0.000000E+00,1.140113E-01,0.000000E+00,2.548225E+03,0.000000E+00,1.314886E-01,0.000000E+00,2.796627E+03,0.000000E+00,1.443058E-01,0.000000E+00,2.514760E+03,0.000000E+00,1.297618E-01,0.000000E+00,5.449560E+03,0.000000E+00,2.811587E-01,0.000000E+00
06:45:00,1.968179E+03,0.000000E+00,1.015609E-01,0.000000E+00,2.304977E+03,0.000000E+00,1.189408E-01,0.000000E+00,2.551903E+03,0.000000E+00,1.316823E-01,0.000000E+00,2.271703E+03,0.000000E+00,1.172238E-01,0.000000E+00,3.902930E+03,0.000000E+00,2.013760E-01,0.000000E+00
07:00:00,1.724290E+03,0.000000E+00,8.898084E-02,0.000000E+00,2.059119E+03,0.000000E+00,1.062597E-01,0.000000E+00,2.304593E+03,0.000000E+00,1.189271E-01,0.000000E+00,2.026043E+03,0.000000E+00,1.045529E-01,0.000000E+00,2.346494E+03,0.000000E+00,1.210890E-01,0.000000E+00
07:15:00,1.749892E+03,0.000000E+00,9.030692E-02,0.000000E+00,2.082690E+03,0.000000E+00,1.074820E-01,0.000000E+00,2.326726E+03,0.000000E+00,1.200761E-01,0.000000E+00,2.049816E+03,0.000000E+00,1.057855E-01,0.000000E+00,2.376259E+03,0.000000E+00,1.226369E-01,0.000000E+00
07:30:00,1.773288E+03,0.000000E+00,9.151766E-02,0.000000E+00,2.103306E+03,0.000000E+00,1.085504E-01,0.000000E+00,2.347413E+03,0.000000E+00,1.211490E-01,0.000000E+00,2.072025E+03,0.000000E+00,1.069359E-01,0.000000E+00,2.405060E+03,0.000000E+00,1.241268E-01,0.000000E+00
