Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,9.103651E+02,0.000000E+00,4.697996E-02,0.000000E+00,1.406263E+03,0.000000E+00,7.256857E-02,0.000000E+00,1.604739E+03,0.000000E+00,8.281121E-02,0.000000E+00,1.310723E+03,0.000000E+00,6.763751E-02,0.000000E+00,4.839392E+03,0.000000E+00,2.496849E-01,0.000000E+00
00:30:00,1.040215E+03,0.000000E+00,5.367928E-02,0.000000E+00,1.532666E+03,0.000000E+00,7.908997E-02,0.000000E+00,1.730221E+03,0.000000E+00,8.928495E-02,0.000000E+00,1.435353E+03,0.000000E+00,7.406763E-02,0.000000E+00,5.114902E+03,0.000000E+00,2.638814E-01,0.000000E+00
00:45:00,1.168525E+03,0.000000E+00,6.029906E-02,0.000000E+00,1.659086E+03,0.000000E+00,8.561222E-02,0.000000E+00,1.855365E+03,0.000000E+00,9.574120E-02,0.000000E+00,1.560485E+03,0.000000E+00,8.052358E-02,0.000000E+00,5.383006E+03,0.000000E+00,2.776928E-01,0.000000E+00
01:00:00,1.295109E+03,0.000000E+00,6.682959E-02,0.000000E+00,1.785424E+03,0.000000E+00,9.213023E-02,0.000000E+00,1.980122E+03,0.000000E+00,1.021774E-01,0.000000E+00,1.685893E+03,0.000000E+00,8.699371E-02,0.000000E+00,5.643542E+03,0.000000E+00,2.911083E-01,0.000000E+00
01:15:00,1.349352E+03,0.000000E+00,6.962813E-02,0.000000E+00,1.839987E+03,0.000000E+00,9.494582E-02,0.000000E+00,2.033076E+03,0.000000E+00,1.049099E-01,0.000000E+00,1.740891E+03,0.000000E+00,8.983176E-02,0.000000E+00,5.718851E+03,0.000000E+00,2.949776E-01,0.000000E+00
01:30:00,1.401698E+03,0.000000E+00,7.232849E-02,0.000000E+00,1.894775E+03,0.000000E+00,9.777277E-02,0.000000E+00,2.086163E+03,0.000000E+00,1.076491E-01,0.000000E+00,1.796224E+03,0.000000E+00,9.268693E-02,0.000000E+00,5.796195E+03,0.000000E+00,2.989584E-01,0.000000E+00
01:45:00,1.453334E+03,0.000000E+00,7.499168E-02,0.000000E+00,1.949721E+03,0.000000E+00,1.006078E-01,0.000000E+00,2.139328E+03,0.000000E+00,1.103921E-01,0.000000E+00,1.851812E+03,0.000000E+00,9.555513E-02,0.000000E+00,5.876157E+03,0.000000E+00,3.030821E-01,0.000000E+00
02:00:00,1.505337E+03,0.000000E+00,7.767417E-02,0.000000E+00,2.004759E+03,0.000000E+00,1.034476E-01,0.000000E+00,2.192512E+03,0.000000E+00,1.131362E-01,0.000000E+00,1.907574E+03,0.000000E+00,9.843228E-02,0.000000E+00,5.958951E+03,0.000000E+00,3.073609E-01,0.000000E+00
02:15:00,1.558451E+03,0.000000E+00,8.041440E-02,0.000000E+00,2.059939E+03,0.000000E+00,1.062947E-01,0.000000E+00,2.245780E+03,0.000000E+00,1.158846E-01,0.000000E+00,1.963546E+03,0.000000E+00,1.013203E-01,0.000000E+00,6.042426E+03,0.000000E+00,3.116811E-01,0.000000E+00
02:30:00,1.613892E+03,0.000000E+00,8.327510E-02,0.000000E+00,2.115239E+03,0.000000E+00,1.091481E-01,0.000000E+00,2.299119E+03,0.000000E+00,1.186367E-01,0.000000E+00,2.019697E+03,0.000000E+00,1.042176E-01,0.000000E+00,6.126434E+03,0.000000E+00,3.160252E-01,0.000000E+00
02:45:00,1.670792E+03,0.000000E+00,8.621171E-02,0.000000E+00,2.170639E+03,0.000000E+00,1.120066E-01,0.000000E+00,2.352514E+03,0.000000E+00,1.213918E-01,0.000000E+00,2.075998E+03,0.000000E+00,1.071227E-01,0.000000E+00,6.211017E+03,0.000000E+00,3.203958E-01,0.000000E+00
03:00:00,1.728418E+03,0.000000E+00,8.918567E-02,0.000000E+00,2.226100E+03,0.000000E+00,1.148684E-01,0.000000E+00,2.405935E+03,0.000000E+00,1.241482E-01,0.000000E+00,2.132403E+03,0.000000E+00,1.100332E-01,0.000000E+00,6.296143E+03,0.000000E+00,3.247925E-01,0.000000E+00
03:15:00,1.786601E+03,0.000000E+00,9.218816E-02,0.000000E+00,2.281568E+03,0.000000E+00,1.177305E-01,0.000000E+00,2.459330E+03,0.000000E+00,1.269034E-01,0.000000E+00,2.188855E+03,0.000000E+00,1.129461E-01,0.000000E+00,6.381849E+03,0.000000E+00,3.292179E-01,0.000000E+00
03:30:00,1.845170E+03,0.000000E+00,9.521047E-02,0.000000E+00,2.336983E+03,0.000000E+00,1.205898E-01,0.000000E+00,2.512646E+03,0.000000E+00,1.296544E-01,0.000000E+00,2.245288E+03,0.000000E+00,1.158579E-01,0.000000E+00,6.468052E+03,0.000000E+00,3.336683E-01,0.000000E+00
03:45:00,1.903977E+03,0.000000E+00,9.824497E-02,0.000000E+00,2.392293E+03,0.000000E+00,1.234437E-01,0.000000E+00,2.565836E+03,0.000000E+00,1.323989E-01,0.000000E+00,2.301642E+03,0.000000E+00,1.187658E-01,0.000000E+00,6.554659E+03,0.000000E+00,3.381386E-01,0.000000E+00
04:00:00,1.962927E+03,0.000000E+00,1.012868E-01,0.000000E+00,2.447474E+03,0.000000E+00,1.262908E-01,0.000000E+00,2.618880E+03,0.000000E+00,1.351358E-01,0.000000E+00,2.357890E+03,0.000000E+00,1.216680E-01,0.000000E+00,6.641621E+03,0.000000E+00,3.426262E-01,0.000000E+00
04:15:00,2.021947E+03,0.000000E+00,1.043321E-01,0.000000E+00,2.502510E+03,0.000000E+00,1.291304E-01,0.000000E+00,2.671767E+03,0.000000E+00,1.378644E-01,0.000000E+00,2.414012E+03,0.000000E+00,1.245636E-01,0.000000E+00,6.728919E+03,0.000000E+00,3.471302E-01,0.000000E+00
