Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,2.127037E+03,0.000000E+00,1.097642E-01,0.000000E+00,2.572888E+03,0.000000E+00,1.327722E-01,0.000000E+00,2.767079E+03,0.000000E+00,1.427933E-01,0.000000E+00,2.513106E+03,0.000000E+00,1.296871E-01,0.000000E+00,6.563379E+03,0.000000E+00,3.386706E-01,0.000000E+00
00:30:00,2.244883E+03,0.000000E+00,1.158434E-01,0.000000E+00,2.685603E+03,0.000000E+00,1.385863E-01,0.000000E+00,2.876168E+03,0.000000E+00,1.484201E-01,0.000000E+00,2.626125E+03,0.000000E+00,1.355170E-01,0.000000E+00,6.833689E+03,0.000000E+00,3.526092E-01,0.000000E+00
00:45:00,2.361785E+03,0.000000E+00,1.218739E-01,0.000000E+00,2.797409E+03,0.000000E+00,1.443535E-01,0.000000E+00,2.984363E+03,0.000000E+00,1.540008E-01,0.000000E+00,2.738253E+03,0.000000E+00,1.413009E-01,0.000000E+00,7.098127E+03,0.000000E+00,3.662446E-01,0.000000E+00
01:00:00,2.477672E+03,0.000000E+00,1.278519E-01,0.000000E+00,2.908246E+03,0.000000E+00,1.500708E-01,0.000000E+00,3.091604E+03,0.000000E+00,1.595323E-01,0.000000E+00,2.849427E+03,0.000000E+00,1.470355E-01,0.000000E+00,7.356643E+03,0.000000E+00,3.795741E-01,0.000000E+00
01:15:00,2.523285E+03,0.000000E+00,1.302055E-01,0.000000E+00,2.949297E+03,0.000000E+00,1.521889E-01,0.000000E+00,3.130059E+03,0.000000E+00,1.615164E-01,0.000000E+00,2.891145E+03,0.000000E+00,1.491881E-01,0.000000E+00,7.426924E+03,0.000000E+00,3.831989E-01,0.000000E+00
01:30:00,2.568752E+03,0.000000E+00,1.325513E-01,0.000000E+00,2.990266E+03,0.000000E+00,1.543026E-01,0.000000E+00,3.168458E+03,0.000000E+00,1.634974E-01,0.000000E+00,2.932799E+03,0.000000E+00,1.513371E-01,0.000000E+00,7.497472E+03,0.000000E+00,3.868364E-01,0.000000E+00
01:45:00,2.614047E+03,0.000000E+00,1.348882E-01,0.000000E+00,3.031137E+03,0.000000E+00,1.564110E-01,0.000000E+00,3.206781E+03,0.000000E+00,1.654743E-01,0.000000E+00,2.974368E+03,0.000000E+00,1.534816E-01,0.000000E+00,7.568277E+03,0.000000E+00,3.904873E-01,0.000000E+00
02:00:00,2.659135E+03,0.000000E+00,1.372143E-01,0.000000E+00,3.071884E+03,0.000000E+00,1.585131E-01,0.000000E+00,3.245002E+03,0.000000E+00,1.674460E-01,0.000000E+00,3.015821E+03,0.000000E+00,1.556202E-01,0.000000E+00,7.639293E+03,0.000000E+00,3.941495E-01,0.000000E+00
02:15:00,2.704181E+03,0.000000E+00,1.395383E-01,0.000000E+00,3.112679E+03,0.000000E+00,1.606178E-01,0.000000E+00,3.283285E+03,0.000000E+00,1.694210E-01,0.000000E+00,3.057331E+03,0.000000E+00,1.577618E-01,0.000000E+00,7.710462E+03,0.000000E+00,3.978201E-01,0.000000E+00
02:30:00,2.749158E+03,0.000000E+00,1.418589E-01,0.000000E+00,3.153508E+03,0.000000E+00,1.627243E-01,0.000000E+00,3.321609E+03,0.000000E+00,1.713982E-01,0.000000E+00,3.098879E+03,0.000000E+00,1.599054E-01,0.000000E+00,7.781744E+03,0.000000E+00,4.014972E-01,0.000000E+00
