Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,1.619813E+03,0.000000E+00,8.358662E-02,0.000000E+00,1.968809E+03,0.000000E+00,1.015963E-01,0.000000E+00,2.115033E+03,0.000000E+00,1.091420E-01,0.000000E+00,1.923403E+03,0.000000E+00,9.925314E-02,0.000000E+00,5.178924E+03,0.000000E+00,2.672056E-01,0.000000E+00
00:30:00,1.709816E+03,0.000000E+00,8.822919E-02,0.000000E+00,2.054907E+03,0.000000E+00,1.060371E-01,0.000000E+00,2.198454E+03,0.000000E+00,1.134446E-01,0.000000E+00,2.009759E+03,0.000000E+00,1.037073E-01,0.000000E+00,5.399632E+03,0.000000E+00,2.785821E-01,0.000000E+00
00:45:00,1.798793E+03,0.000000E+00,9.281874E-02,0.000000E+00,2.139974E+03,0.000000E+00,1.104247E-01,0.000000E+00,2.280853E+03,0.000000E+00,1.176943E-01,0.000000E+00,2.095093E+03,0.000000E+00,1.081087E-01,0.000000E+00,5.613403E+03,0.000000E+00,2.896005E-01,0.000000E+00
01:00:00,1.886695E+03,0.000000E+00,9.735283E-02,0.000000E+00,2.223970E+03,0.000000E+00,1.147569E-01,0.000000E+00,2.362190E+03,0.000000E+00,1.218893E-01,0.000000E+00,2.179365E+03,0.000000E+00,1.124552E-01,0.000000E+00,5.820219E+03,0.000000E+00,3.002597E-01,0.000000E+00
01:15:00,1.919112E+03,0.000000E+00,9.902537E-02,0.000000E+00,2.252809E+03,0.000000E+00,1.162449E-01,0.000000E+00,2.389045E+03,0.000000E+00,1.232748E-01,0.000000E+00,2.208695E+03,0.000000E+00,1.139684E-01,0.000000E+00,5.863955E+03,0.000000E+00,3.025144E-01,0.000000E+00
01:30:00,1.951455E+03,0.000000E+00,1.006939E-01,0.000000E+00,2.281603E+03,0.000000E+00,1.177302E-01,0.000000E+00,2.415875E+03,0.000000E+00,1.246587E-01,0.000000E+00,2.237990E+03,0.000000E+00,1.154796E-01,0.000000E+00,5.907753E+03,0.000000E+00,3.047709E-01,0.000000E+00
01:45:00,1.983713E+03,0.000000E+00,1.023579E-01,0.000000E+00,2.310344E+03,0.000000E+00,1.192127E-01,0.000000E+00,2.442673E+03,0.000000E+00,1.260410E-01,0.000000E+00,2.267241E+03,0.000000E+00,1.169885E-01,0.000000E+00,5.951640E+03,0.000000E+00,3.070323E-01,0.000000E+00
02:00:00,2.015864E+03,0.000000E+00,1.040165E-01,0.000000E+00,2.339018E+03,0.000000E+00,1.206918E-01,0.000000E+00,2.469426E+03,0.000000E+00,1.274209E-01,0.000000E+00,2.296430E+03,0.000000E+00,1.184942E-01,0.000000E+00,5.995609E+03,0.000000E+00,3.092985E-01,0.000000E+00
02:15:00,2.048026E+03,0.000000E+00,1.056757E-01,0.000000E+00,2.367746E+03,0.000000E+00,1.221738E-01,0.000000E+00,2.496252E+03,0.000000E+00,1.288048E-01,0.000000E+00,2.325678E+03,0.000000E+00,1.200030E-01,0.000000E+00,6.039637E+03,0.000000E+00,3.115684E-01,0.000000E+00
02:30:00,2.080184E+03,0.000000E+00,1.073349E-01,0.000000E+00,2.396521E+03,0.000000E+00,1.236584E-01,0.000000E+00,2.523146E+03,0.000000E+00,1.301923E-01,0.000000E+00,2.354975E+03,0.000000E+00,1.215146E-01,0.000000E+00,6.083719E+03,0.000000E+00,3.138416E-01,0.000000E+00
