Time,ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_1:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_1:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_2:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_2:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_3:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_3:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_4:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_4:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Load [W],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Sens Cool Load [W],ZN_1_FLR_1_SEC_5:WINTERDESIGNPERIOD:Des Heat Mass Flow [kg/s],ZN_1_FLR_1_SEC_5:SUMMERDESIGNPERIOD:Des Cool Mass Flow [kg/s]
00:15:00,5.796414E+02,0.000000E+00,2.991384E-02,0.000000E+00,9.563642E+02,0.000000E+00,4.935088E-02,0.000000E+00,1.103098E+03,0.000000E+00,5.692372E-02,0.000000E+00,9.292980E+02,0.000000E+00,4.795395E-02,0.000000E+00,4.774597E+03,0.000000E+00,2.463381E-01,0.000000E+00
00:30:00,6.753825E+02,0.000000E+00,3.485389E-02,0.000000E+00,1.038459E+03,0.000000E+00,5.358586E-02,0.000000E+00,1.190813E+03,0.000000E+00,6.144891E-02,0.000000E+00,1.009774E+03,0.000000E+00,5.210499E-02,0.000000E+00,5.018532E+03,0.000000E+00,2.589095E-01,0.000000E+00
00:45:00,7.708126E+02,0.000000E+00,3.977782E-02,0.000000E+00,1.121101E+03,0.000000E+00,5.784915E-02,0.000000E+00,1.278697E+03,0.000000E+00,6.598285E-02,0.000000E+00,1.090363E+03,0.000000E+00,5.626206E-02,0.000000E+00,5.256293E+03,0.000000E+00,2.711613E-01,0.000000E+00
01:00:00,8.658485E+02,0.000000E+00,4.468129E-02,0.000000E+00,1.204497E+03,0.000000E+00,6.215143E-02,0.000000E+00,1.366619E+03,0.000000E+00,7.051872E-02,0.000000E+00,1.171113E+03,0.000000E+00,6.042751E-02,0.000000E+00,5.487721E+03,0.000000E+00,2.830852E-01,0.000000E+00
01:15:00,9.067261E+02,0.000000E+00,4.679043E-02,0.000000E+00,1.240370E+03,0.000000E+00,6.400265E-02,0.000000E+00,1.403507E+03,0.000000E+00,7.242214E-02,0.000000E+00,1.205991E+03,0.000000E+00,6.222770E-02,0.000000E+00,5.546642E+03,0.000000E+00,2.861196E-01,0.000000E+00
01:30:00,9.476843E+02,0.000000E+00,4.890363E-02,0.000000E+00,1.276915E+03,0.000000E+00,6.588841E-02,0.000000E+00,1.440830E+03,0.000000E+00,7.434792E-02,0.000000E+00,1.241660E+03,0.000000E+00,6.406844E-02,0.000000E+00,5.605798E+03,0.000000E+00,2.891644E-01,0.000000E+00
01:45:00,9.886077E+02,0.000000E+00,5.101496E-02,0.000000E+00,1.314092E+03,0.000000E+00,6.780670E-02,0.000000E+00,1.478533E+03,0.000000E+00,7.629321E-02,0.000000E+00,1.278043E+03,0.000000E+00,6.594587E-02,0.000000E+00,5.665075E+03,0.000000E+00,2.922152E-01,0.000000E+00
02:00:00,1.029368E+03,0.000000E+00,5.311779E-02,0.000000E+00,1.351823E+03,0.000000E+00,6.975355E-02,0.000000E+00,1.516558E+03,0.000000E+00,7.825511E-02,0.000000E+00,1.315081E+03,0.000000E+00,6.785704E-02,0.000000E+00,5.724360E+03,0.000000E+00,2.952662E-01,0.000000E+00
02:15:00,1.069884E+03,0.000000E+00,5.520796E-02,0.000000E+00,1.390066E+03,0.000000E+00,7.172688E-02,0.000000E+00,1.554925E+03,0.000000E+00,8.023472E-02,0.000000E+00,1.352784E+03,0.000000E+00,6.980251E-02,0.000000E+00,5.783483E+03,0.000000E+00,2.983083E-01,0.000000E+00
02:30:00,1.110177E+03,0.000000E+00,5.728659E-02,0.000000E+00,1.428758E+03,0.000000E+00,7.372334E-02,0.000000E+00,1.593588E+03,0.000000E+00,8.222958E-02,0.000000E+00,1.391019E+03,0.000000E+00,7.177549E-02,0.000000E+00,5.842270E+03,0.000000E+00,3.013321E-01,0.000000E+00
